cycle,mode,soc_bin_id,soc_start_pct,soc_end_pct,actual_soc_start_pct,actual_soc_end_pct,soc_coverage_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,soh_pct,q_ref_ah,q_ref_node,lli_pct,negative_lam_pct,positive_lam_pct,external_charge_ah,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,time_start_s,time_end_s,duration_s,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,mean_current_a,mean_voltage_v,maximum_voltage_v,temperature_start_k,temperature_end_k,temperature_mean_k,temperature_max_k,temperature_rise_k,negative_surface_stoichiometry,negative_average_stoichiometry,negative_particle_radial_stoichiometry_gradient,minimum_electrolyte_concentration_mol_m3,negative_reaction_overpotential_v,plating_reaction_overpotential_v,negative_intercalation_current_density_mean_a_m2,negative_intercalation_current_density_max_a_m2,negative_plating_current_density_mean_a_m2,negative_plating_current_density_extreme_a_m2,negative_sei_current_density_mean_a_m2,negative_sei_current_density_max_a_m2,electrolyte_ohmic_loss_mean_v,electrolyte_ohmic_loss_max_v,negative_particle_concentration_overpotential_mean_v,negative_particle_concentration_overpotential_max_v,irreversible_heating_energy_wh,ohmic_heating_energy_wh,reversible_heating_energy_wh,total_heating_energy_wh,soc_crossing_count,soc_crossing_selection_rule,charge_trace_path,trace_start_row,trace_end_row,trace_start_time_s,trace_end_time_s,primary_status,status_flags,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,1.1551194476834454,0.04274926258206297,0.07904312382823774,0.9727292378484359,,,,,0.18227857614552745,0.0,,,4.2023629063416863e-05,,,0.001657378921032826,84.21027278167749,99.99033574495641,-0.0015877688606140694,-0.1374549501177812,0.1374549501177812,SOC_UPPER_BOUND_NOT_REACHED,0.0,337.74664595567725,337.74664595567725,0.10991671893185419,1.0452027287515913,90.48438504327075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7545.42432642039,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,0.9335899527788767,0.07904312382823774,0.1153369850744125,0.9727292378484362,,,,,-0.03936997911604395,0.03936997911604395,,,5.171416972664031e-05,,,0.0012458405433882047,104.1923421468986,99.97528957485052,-0.0010668606666303093,-0.11427508013070896,0.11427508013070896,SOC_UPPER_BOUND_NOT_REACHED,337.74664595567725,655.1094372680096,317.3627913123324,0.0,0.9335899527788767,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7545.42432642039,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,0.8452197124578341,0.1153369850744125,0.15163084632058726,0.9727292378484358,,,,,-0.12809972643690257,0.12809972643690257,,,8.703957330566281e-05,,,0.0027274820685498306,115.08596208905419,99.93017187867228,-0.002224320595554552,-0.2631647798519036,0.2631647798519036,SOC_UPPER_BOUND_NOT_REACHED,655.1094372680096,3509.0695594126996,2853.96012214469,0.21355555250642289,0.6316641599514112,74.7337231540164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7545.42432642039,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7545.42432642039,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,1.032466721573507,0.04302955154439927,0.07932341279057403,0.9727292378484359,,,,,0.05968281520559038,0.0,,,1.6958608017704512e-05,,,0.0001430583596812099,94.21410080568701,99.9947050574766,-0.00010534844821830092,-0.010203568407294236,0.010203568407294236,SOC_UPPER_BOUND_NOT_REACHED,31118.90433699402,31426.758574261483,307.85423726746404,0.10403376908385595,0.9284329524896511,89.92376539504288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31118.90433699402,38718.10140710621,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,0.970202021362053,0.07932341279057403,0.11561727403674879,0.9727292378484358,,,,,-0.0026461157371906116,0.0026461157371906116,,,1.138123756977633e-05,,,0.0002959029198492391,100.26048353134071,99.98774489764091,-0.00018838490661121643,-0.019417080408340677,0.019417080408340677,SOC_UPPER_BOUND_NOT_REACHED,31426.758574261483,31729.15275139654,302.39417713505867,0.0,0.970202021362053,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31118.90433699402,38718.10140710621,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,0.9305437354899819,0.11561727403674879,0.15191113528292358,0.9727292378484366,,,,,-0.04256420994655024,0.04256420994655024,,,3.129598662430209e-05,,,0.0011077276158359874,104.53342500191478,99.95930254821434,-0.0007603160143647703,-0.08170663939448504,0.08170663939448504,SOC_UPPER_BOUND_NOT_REACHED,31729.15275139654,34695.67103970332,2966.5182883067737,0.2243502514654504,0.7061934840245315,75.89041300167179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31118.90433699402,38718.10140710621,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31118.90433699402,38718.10140710621,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,1.175978949696296,0.04294055826608413,0.0792344195122589,0.9727292378484362,,,,,0.20320186070964136,0.0,,,2.5360202051612787e-05,,,0.00013141966946015465,82.71655186512052,99.99593095282609,-0.0001089287332933786,-0.009262813192490404,0.009262813192490404,SOC_UPPER_BOUND_NOT_REACHED,62291.59353729285,62658.12266760141,366.5291303085619,0.09742876267558087,1.078550187020715,91.71509296992582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62291.59353729285,69939.8774931181,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9915827413973717,4.85,100.0,4.86364618924218,0,,,,0.9227711948258029,0.0792344195122589,0.11552828075843366,0.9727292378484358,,,,,-0.050095163432417045,0.050095163432417045,,,2.9995995786585513e-05,,,0.00023053374334415164,105.41391444626355,99.98514036734642,-0.00012340932934651327,-0.013373773481281022,0.013373773481281022,SOC_UPPER_BOUND_NOT_REACHED,62658.12266760141,62999.353845959515,341.23117835810183,0.0,0.9227711948258029,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62291.59353729285,69939.8774931181,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
