cycle,mode,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,q_ref_ah,q_ref_node,soh_pct,soc_start_pct,soc_at_charge_end_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,soc_anchor_validation_status,time_start_s,time_end_s,duration_s,post_100_charge_ah,post_100_duration_s,external_charge_ah,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,faraday_constant_c_per_mol,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,accounted_charge_ah,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,reversible_plating_inventory_crosscheck_ah,reversible_plating_crosscheck_error_ah,reversible_plating_crosscheck_status,charge_trace_path,charge_trace_sha256,charge_trace_row_count,charge_integration_method,charge_integration_point_count,primary_status,status_flags,negative_electrode_min_potential_v,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.98764156140794,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,INITIAL_SOC_CONFIGURATION,VALID,0.0,7545.42432642039,7545.42432642039,0.0,0.0,3.901700889883966,1.1211471529558428,2.7805537369281232,71.2651690993877,0.04274926258206297,0.18790228079398805,96485.33212,3.8903158806661113,0.0,0.010265911140650329,0.0,0.010020488825965448,0.010020488825965448,0.0,0.0,0.0002454223146848809,0.0002454223146848809,-8.674676171068103e-19,0.007281298457392447,0.007281298457392448,99.70820394645389,99.96502755002498,3.9078630902641542,-0.006162200380188221,-0.1579362579065224,0.1579362579065224,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-001.csv,3c2c526591d8f3e131b9f2bbca9513013b2bd932cb54cfff0897f44eadd8973e,7989,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7986,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1959857579625987,False,False,3,charge-efficiency-v1
2,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.78346659996328,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,31118.90433699402,38718.10140710621,7599.197070112194,0.0,0.0,3.890791627542654,1.1101178664368658,2.7806737611057883,71.46807198364426,0.04302955154439927,0.1878120548702936,96485.33212,3.8803855329344215,0.0003027290104812405,0.009967885938755723,2.384072790035692e-05,0.009586714878119632,0.009562874150219275,0.0,0.0002788882825808836,0.00038117106063609074,0.00010228277805520716,0.013838950321095,0.016210062813800045,0.002371112492705045,99.73254556901561,99.9783277919063,3.892421802355401,-0.001630174812746965,-0.04189828109033304,0.04189828109033304,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-002.csv,2bf7f05c0aaece60ff5cbb9b05406071cce0c252b8af0aaeb0c14f47e63a83f9,7981,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7978,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20027942815985858,False,False,3,charge-efficiency-v1
3,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.79207773271263,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,62291.59353729285,69939.8774931181,7648.283955825244,0.0,0.0,3.890800871412829,1.1004032821175609,2.790397589295268,71.71782061110771,0.04294055826608413,0.1877386881548373,96485.33212,3.880804347964236,0.0004271222604789535,0.009849521834638787,2.300189787671702e-05,0.00930941471436525,0.009286412816488532,0.0,0.0004041203626022365,0.0005401071202735383,0.00013598675767130178,0.020442061729883092,0.022206300570664868,0.0017642388407817754,99.7430728588029,99.98174898547694,3.8919909863791777,-0.0011901149663486876,-0.030587917646798836,0.030587917646798836,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-003.csv,41c33a4e568f518a36495d892b5fc49ab60cc0f51f5fae98ab16d99aeb80ac22,8015,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8012,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.21522441708706336,False,False,3,charge-efficiency-v1
4,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.79867753654489,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,93513.37973445524,101208.36621299759,7694.9864785423415,0.0,0.0,3.890767935439974,1.0930281358613816,2.7977397995785926,71.90713622610905,0.042865254820460406,0.1876753613274406,96485.33212,3.881125339071821,0.0005807415072411873,0.009767158509099674,2.2375683518152602e-05,0.009087768228925543,0.00906539254540739,0.0,0.0005583658237230347,0.0006793902801741299,0.0001210244564510952,0.025597795062153837,0.02707652856167443,0.0014787334995205945,99.75216727062231,99.98516478411658,3.8917904895732,-0.0010225541332262722,-0.02628155033128801,0.02628155033128801,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-004.csv,7f87a4caab34cafddd52b6f5b71008505a4ecde0e587d50cb6f3923b0d0135d5,8067,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8064,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20626943286868185,False,False,3,charge-efficiency-v1
5,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.80391206096857,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,124781.87462995223,132524.39568975082,7742.521059798579,0.0,0.0,3.8908087729730227,1.086831859818501,2.803976913154522,72.06668527715802,0.042798879849237734,0.18761848541137402,96485.33212,3.881379927819478,0.0007166849566094772,0.009704342286416609,2.1852730577905295e-05,0.00889771699974661,0.008875864269168705,0.0,0.0006948322260315719,0.0008066252866699984,0.00011179306063842658,0.029990359535099504,0.03129085040994234,0.001300490874842835,99.7576636194757,99.98578750803132,3.891668076024128,-0.0008593030511052646,-0.022085460922014393,0.022085460922014393,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-005.csv,b8897b8a7cc42531edae336cbed3af62449ee648b7a6ce6c01dce603874acb5a,8111,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8108,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20845337276083512,False,False,3,charge-efficiency-v1
6,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.80829670366185,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,156097.91206756563,163889.12154424656,7791.209476680946,0.0,0.0,3.8907889462301157,1.0813508902269382,2.8094380560031778,72.20741332488141,0.042738561963654303,0.18756612430646682,96485.33212,3.8815931813267426,0.0008415299481657246,0.009654959717443224,2.139320375756516e-05,0.008729152312693106,0.008707759108935542,0.0,0.0008201367444081594,0.0009258074047501185,0.00010567066034195905,0.033885640066156325,0.03506148254310619,0.0011758424769498649,99.76365294981412,99.98745740770877,3.89158245357297,-0.0007935073428542161,-0.0203945100549097,0.0203945100549097,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-006.csv,89dcaed0acdc3473a1db44ec017966f0b2a22fb7cc11d459c141df2a6f5d53db,8159,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8157,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.2106900689291235,False,False,3,charge-efficiency-v1
7,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.81216416630663,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,187462.64220331202,195303.04576142816,7840.403558116152,0.0,0.0,3.890793200704985,1.0763466802239445,2.8144465204810407,72.33606042004705,0.04268264826509865,0.1875172288655414,96485.33212,3.8817812810262855,0.0009588660181169778,0.009614519881870265,2.0976071143068565e-05,0.008576259787122264,0.008555283715979196,0.0,0.0009378899469739092,0.0010382600947479999,0.00010037014777409062,0.037423593366554556,0.03850609288637092,0.0010824995198163642,99.76837834308267,99.98826367943077,3.891519434409855,-0.0007262337048699052,-0.01866544088589228,0.01866544088589228,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-007.csv,8794258efbc36f70bcba3c029aa2564a5b711f839487ed8f8b3f2bba3ccccc69,8224,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8224,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.21232224821517814,False,False,3,charge-efficiency-v1
8,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.81560920189068,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,218876.57053891825,226767.6201714048,7891.049632486542,0.0,0.0,3.890813607518133,1.071676069092298,2.819137538425835,72.4562475308115,0.042630200027520986,0.1874710323101375,96485.33212,3.881948835368187,0.001069819885181817,0.009581843603373,2.0589891285874642e-05,0.0084356988772576,0.008415108985971725,0.0,0.0010492299938959424,0.0011461447261154,9.691473221945762e-05,0.04068874577885738,0.0416981299013618,0.0010093841225044184,99.77216147972709,99.98844295282854,3.8914702432088824,-0.0006566356907491411,-0.016876565083465793,0.016876565083465793,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-008.csv,d28ad4b5b32e76af54d736e09f069c12b47382220682058c7054a0b0afea6f19,8254,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8257,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.21398920302110838,False,False,3,charge-efficiency-v1
9,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.81886755759639,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,250341.14956242876,258284.15108180183,7943.00151937306,0.0,0.0,3.890807686833203,1.0672615391576794,2.8235461476755237,72.56966611921284,0.042580509210365394,0.18742725440847557,96485.33212,3.8821073102612997,0.0011764434113052816,0.009554644051141481,2.022688117838821e-05,0.008304051630364434,0.008283824749186045,0.0,0.0011562165301268934,0.001250592420777047,9.437589065015351e-05,0.04373687979563669,0.04468708372579426,0.0009502039301575727,99.77638636313623,99.98929394983651,3.8914357148312932,-0.0006280279980903636,-0.01614132716493954,0.01614132716493954,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-009.csv,16297b477d1a33a11d7284ab43d37957d9babcfdd875a600b6c9b0f2218a686a,8355,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8368,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.22556089037421576,False,False,3,charge-efficiency-v1
10,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.82218232388144,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,281857.6846445521,289854.6923489763,7997.007704424181,0.0,0.0,3.890822387792715,1.06305574953128,2.827766638261435,72.67786489389567,0.042533279817624,0.18738604029911485,96485.33212,3.8822685287654046,0.001279801817499848,0.009529427992690305,1.9882443390322e-05,0.008177076690042395,0.008157194246652073,0.0,0.001259919374109526,0.0013523513026479099,9.243192853838379e-05,0.04660708195880151,0.04750822112186126,0.0009011391630597484,99.7801529297727,99.98980511724456,3.8914192941036547,-0.0005969063109398931,-0.015341391907599292,0.015341391907599292,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-010.csv,a13514661379926c0fe8448f256ac6ec0e78cf36c4b0541bbbb797a9af0f9979,8369,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8378,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.2215405453843063,False,False,3,charge-efficiency-v1
11,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.82551714726563,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,313428.2287789316,321483.2688339277,8055.040054996116,0.0,0.0,3.8908406532327047,1.059021490179701,2.831819163053004,72.78167921629448,0.042488571321806445,0.1873473834841566,96485.33212,3.8824307227758474,0.0013805996094195694,0.009504631718121066,1.955265188777113e-05,0.008052055377706157,0.008032502725818385,0.0,0.0013610469575317983,0.0014525763404149088,9.152938288311055e-05,0.04932803593424023,0.05018778648773457,0.00085975055349434,99.78385312567684,99.9902995839543,3.891414505438043,-0.0005738522053384543,-0.014748797406073908,0.014748797406073908,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-011.csv,65f97589cb6162026206aac48c8a215e4245b7c6dccd480833d0796b94f47386,8399,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8412,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.22192701872000853,False,False,3,charge-efficiency-v1
12,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.82880892799595,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,345056.8041096945,353171.28237438045,8114.478264685946,0.0,0.0,3.8908751051274564,1.0551320032306422,2.835743101896814,72.8818845446832,0.042446325240945604,0.18731111097494973,96485.33212,3.8825908233438966,0.00147996258453848,0.00947893462524093,1.9235157334228153e-05,0.007927882454505968,0.00790864729717174,0.0,0.0014607274272042518,0.001551052170734961,9.032474353070914e-05,0.05192158688553496,0.05274584657401991,0.0008242596884849504,99.78708435609659,99.99034575831301,3.8914140550730845,-0.0005389499456280866,-0.013851638283579186,0.013851638283579186,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-012.csv,0fb92bb6193ed0784d02fe83868943f8279b144b5fdf7930877dd6f347a129db,8482,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8499,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.22233302835048677,False,False,3,charge-efficiency-v1
13,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.83190685459138,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,376744.81804872974,384922.4810156508,8177.662966921056,0.0,0.0,3.8909426795710726,1.0513623646868948,2.839580314884178,72.97923790532957,0.04240636231151407,0.18727676983141844,96485.33212,3.8827414955327,0.0015776550599066604,0.00945361795563424,1.8928262046984676e-05,0.007805113599956627,0.007786185337909642,0.0,0.0015587267978596758,0.001648504355677613,8.977755781793733e-05,0.05440473852646005,0.05519827665415876,0.0007935381276987091,99.78922372510311,99.98933423762212,3.8914109965561265,-0.00046831698505389596,-0.01203608029264317,0.01203608029264317,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-013.csv,b8396552904afb7667b05049cc32a363c6f414f8bf1cb6d2d12e878cdd3b6a72,8512,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8525,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.2233230512516561,False,False,3,charge-efficiency-v1
14,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.83485831107127,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,408496.01743509277,416741.8544714668,8245.837036374029,0.0,0.0,3.890899365083467,1.0476942306392785,2.8432051344441884,73.07321181212808,0.04236827587514793,0.1872440393826501,96485.33212,3.882885043933312,0.0016743881432118427,0.009429702332619347,1.863077848850473e-05,0.007683929031337817,0.007665298252849312,0.0,0.001655757364723338,0.0017457733012815303,9.001593655819226e-05,0.05679115571103937,0.05755789349108227,0.0007667377800429018,99.79402394155771,99.99102976292735,3.8914070959027622,-0.0005077308192951158,-0.013049189188788592,0.013049189188788592,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-014.csv,1c6e1664f3858f2f4da54d372c52c16d1d3bfb306b114325e0333233626a60de,8595,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8609,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.2233259038147673,False,False,3,charge-efficiency-v1
15,virtual,14.55,3.0000000000000004,2.9915827413973717,4.85,4.86364618924218,0,100.0,20.0,99.83768443954702,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86364618924218,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,440315.3915104172,448633.3447038405,8317.953193423293,0.0,0.0,3.89092040337187,1.0441118791859747,2.8468085241858954,73.16542691849601,0.042331771159028385,0.18721266322226868,96485.33212,3.883022496823225,0.0017709915515248655,0.009407602245245877,1.834185423244504e-05,0.007564525875305381,0.007546184021072936,0.0,0.0017526496972924204,0.0018430763699404953,9.042667264807483e-05,0.05909201341983644,0.059835126463591765,0.0007431130437553224,99.79701701063325,99.99096042861049,3.8914022205607015,-0.000481817188831446,-0.012383116046627512,0.012383116046627512,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-015.csv,96fa2248cd287c68b8702b6480c377d0f5b6f7b5133aa29208dab7b00e31f66e,8747,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8761,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.22341995632097697,False,False,3,charge-efficiency-v1
