cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484358,2.9181877135453087,2.9327786521130403,0.014590938567726544,2.918187713545348,3.8909169513937836,0.0,31118.90433699402,event: W10_CAPACITY_WINDOW [experiment],31118.90433699402,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.70820394645389,99.96502755002498,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.195889220252585,2847.811823575439,3002.416134009367,1668.0004796153307,1800.0,0.0,0.0,0.0,2888.1033041279134,18885.376706445713,0.42100000008940697,0.75,0.5319999998901039,0.5309999999590218,0.4690000000409782,0.0,0.0,0.0,0.7970000000204891,141.6720000000205,3.4558021710298785,297.168361142784,296.15,328.9577195680975,296.15,32.807719568097525,4.810694973855217,4.799888444196413,-0.010806529658803576,0.0464473488077175,0.0028232890371461625,0.011015661283948838,0.013838950321095,0.013838950321095,0.0003027290104812405,0.0002788882825808836,2.384072790035692e-05,0.0003027290104812405,0.0002788882825808836,8.142887827456341e-09,6.426857178260061e-09,-0.1959857579625987,0.0029518921734847936,0.003830408196819235,0.24406756294522397,0.33499999999999996,0.749977860808699,0.6649745277854914,3.4240454016191826e-16,2.9327786521130403,1.665649504380807e-15
2,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453624,3.8909169513937987,31118.90433699402,62291.59353729285,event: W10_CAPACITY_WINDOW [experiment],62291.59353729285,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.73254556901561,99.9783277919063,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.740314000129302,2884.9143018839127,2987.136289048111,1701.4061651800403,1800.0,0.0,0.0,0.0,2888.103304127908,18885.388826058726,0.4059999999590218,0.7339999999385327,0.5470000000204891,0.5470000000204891,0.375,0.0,0.0,0.0,0.875,138.03099999995902,3.4555667981292526,297.1806965273622,296.1802560610246,330.2701297253669,296.15,34.12012972536695,4.7997856814758535,4.799890482931247,0.00010480145539393249,0.0792297764530474,0.004838602615929303,0.015603459113953791,0.020442061729883096,0.020442061729883096,0.0004271222604789535,0.0004041203626022365,2.300189787671702e-05,0.0004271222604789535,0.0004041203626022365,1.0386537834649326e-08,9.103579051583823e-09,-0.20027942815985858,0.0059029903676730555,0.007507157592982594,0.241238187173523,0.33499999999999996,0.7499557275722426,0.6649500774020068,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
3,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453087,3.890916951393745,62291.59353729285,93513.37973445524,event: W10_CAPACITY_WINDOW [experiment],93513.37973445524,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.7430728588029,99.98174898547694,SOC_UPPER_BOUND_NOT_REACHED,3,3,24.106085610452997,2924.934519814719,2977.9037278277337,1721.3396225723382,1800.0,0.0,0.0,0.0,2888.103304127915,18885.398937209233,0.4220000000204891,0.7809999999590218,0.5470000000204891,0.5779999999795109,0.375,0.0,0.0,0.0,0.7809999999590218,137.76600000006147,3.4553662617571432,297.19065076604085,296.1801623223747,328.34030541795335,296.15,32.19030541795337,4.799787532507391,4.7998847986481765,9.726614078520157e-05,0.10733202796832586,0.0064859563472955805,0.01911183871485826,0.025597795062153837,0.025597795062153837,0.0005807415072411874,0.0005583658237230348,2.2375683518152602e-05,0.0005807415072411874,0.0005583658237230348,1.2220702054555629e-08,1.1150641884747033e-08,-0.21522441708706336,0.008853607176249056,0.011155243603852227,0.23902571401344816,0.33499999999999996,0.7499335979461782,0.6649258176300346,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
4,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453087,3.890916951393745,93513.37973445524,124781.87462995223,event: W10_CAPACITY_WINDOW [experiment],124781.87462995223,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.75216727062231,99.98516478411658,SOC_UPPER_BOUND_NOT_REACHED,3,3,22.91436962649901,2965.2047601265535,2970.3069781735367,1736.5603706157526,1800.0,0.0,0.0,0.0,2888.103304127915,18885.40511282673,0.4059999999590218,0.7970000000204891,0.5310000001918525,0.5629999998491257,0.6559999999590218,0.0,0.0,0.0,0.7810000001918525,137.4529999999795,3.4551145916715758,297.1994507036483,296.18010244133023,328.0149685893985,296.15,31.86496858939853,4.7997464712714555,4.7998777096979754,0.00013123842651996398,0.13220308264452285,0.007917953125610461,0.022072406409489043,0.029990359535099504,0.029990359535099504,0.0007166849566094772,0.0006948322260315717,2.185273057790551e-05,0.0007166849566094772,0.0006948322260315717,1.3815228958912586e-08,1.2878169048406165e-08,-0.20626943286868185,0.011803840629724505,0.014764484699298919,0.23714043725888487,0.33499999999999996,0.7499114711952771,0.6649018161767498,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
5,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.918187713545309,3.8909169513937454,124781.87462995223,156097.91206756563,event: W10_CAPACITY_WINDOW [experiment],156097.91206756563,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.7576636194757,99.98578750803132,SOC_UPPER_BOUND_NOT_REACHED,3,3,21.94796246291561,3007.816443821163,2963.5066734112834,1749.2499801032172,1800.0,0.0,0.0,0.0,2888.1033041279006,18885.413073686912,0.4220000000204891,0.7969999997876585,0.5310000001918525,0.578999999910593,0.375,0.0,0.0,0.0,0.875,138.23499999986961,3.454926385111584,297.207524806273,296.1800689159173,327.7144960683942,296.15,31.56449606839425,4.799786501346135,4.799878228869317,9.172752318153954e-05,0.15486793076556182,0.009202402242903203,0.024683237823253126,0.033885640066156325,0.033885640066156325,0.0008415299481657246,0.0008201367444081595,2.139320375756505e-05,0.0008415299481657246,0.0008201367444081595,1.5245588050712442e-08,1.4401709292500932e-08,-0.20845337276083512,0.014753731928550451,0.01833875046483513,0.23546833882759374,0.33499999999999996,0.749889347010536,0.664878047309409,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
6,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453096,3.890916951393746,156097.91206756563,187462.64220331202,event: W10_CAPACITY_WINDOW [experiment],187462.64220331202,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.76365294981412,99.98745740770877,SOC_UPPER_BOUND_NOT_REACHED,3,3,21.1246570382502,3052.761286019859,2957.1129442560296,1760.2105893668067,1800.0,0.0,0.0,0.0,2888.1033041279006,18885.417354937526,0.4380000000819564,0.8279999999795109,0.5309999999590218,0.7970000000204891,0.39000000013038516,0.0,0.0,0.0,0.7819999998901039,137.46900000004098,3.454669015518509,297.215100707112,296.18006006407336,327.43131933642354,296.15,31.281319336423564,4.79976803669053,4.799880301035381,0.00011226434485145376,0.1759046564672957,0.010377655290543422,0.027045938076011137,0.037423593366554556,0.037423593366554556,0.0009588660181169778,0.0009378899469739094,2.0976071143068457e-05,0.0009588660181169778,0.0009378899469739094,1.655446210592856e-08,1.5780533465433223e-08,-0.2106900689291235,0.017703298081869434,0.021880444893753292,0.2339493944080889,0.33499999999999996,0.7498672252643861,0.6648544950414568,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
7,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453105,3.8909169513937467,187462.64220331202,218876.57053891825,event: W10_CAPACITY_WINDOW [experiment],218876.57053891825,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.76837834308267,99.98826367943077,SOC_UPPER_BOUND_NOT_REACHED,3,3,20.402250972643834,3099.1097879663357,2950.923956415861,1769.9675627613115,1800.0,0.0,0.0,0.0,2888.1033041279006,18885.421473362192,0.39099999982863665,0.8440000000409782,0.5470000000204891,0.5779999999795109,0.3910000000614673,0.0,0.0,0.0,0.7809999999590218,137.4069999998901,3.454418422839043,297.2223116837855,296.18007115799594,327.18160714611906,296.15,31.031607146119086,4.799773789819998,4.799882480128338,0.00010869030834026461,0.19566343731490576,0.01146789859569056,0.02922084718316682,0.04068874577885738,0.04068874577885738,0.001069819885181817,0.0010492299938959424,2.0589891285874642e-05,0.001069819885181817,0.0010492299938959424,1.776876810381409e-08,1.704983992984779e-08,-0.21232224821517814,0.02065254717521725,0.025392722337088003,0.23254741287748124,0.33499999999999996,0.749845105896186,0.6648311383964586,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
8,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453114,3.8909169513937476,218876.57053891825,250341.14956242876,event: W10_CAPACITY_WINDOW [experiment],250341.14956242876,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.77216147972709,99.98844295282854,SOC_UPPER_BOUND_NOT_REACHED,3,3,19.75574241917149,3147.718258064756,2944.8146775532596,1778.7609544493553,1800.0,0.0,0.0,0.0,2888.1033041279006,18885.42608689607,0.39000000013038516,0.8279999999795109,0.5319999998901039,0.5619999999180436,0.39099999982863665,0.0,0.0,0.0,0.7810000001918525,137.8430000001099,3.454187454631553,297.2292392512919,296.1801032028981,326.92463572855434,296.15,30.774635728554358,4.799785193674525,4.799874236153434,8.904247890839656e-05,0.2143985278481182,0.012489568659134236,0.031247311136502448,0.04373687979563669,0.04373687979563669,0.0011764434113052816,0.0011562165301268936,2.0226881178387994e-05,0.0011764434113052816,0.0011562165301268936,1.890679771081192e-08,1.8232580090243774e-08,-0.21398920302110838,0.0236014809907914,0.028875840509755335,0.23123843436474817,0.33499999999999996,0.7498229888925692,0.6648079756606103,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
9,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.9181877135453127,3.890916951393749,250341.14956242876,281857.6846445521,event: W10_CAPACITY_WINDOW [experiment],281857.6846445521,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.77638636313623,99.98929394983651,SOC_UPPER_BOUND_NOT_REACHED,3,3,19.16875497902769,3197.994994708389,2938.751468884777,1787.0863008008655,1800.0,0.0,0.0,0.0,2888.1033041279006,18885.430258622393,0.4059999999590218,0.8910000000614673,0.5309999999590218,0.5779999999795109,0.46899999980814755,0.0,0.0,0.0,0.7650000001303852,139.6720000000205,3.45395303233572,297.2359652649613,296.18014314461834,326.67046422997066,296.15,30.520464229970685,4.799771984622488,4.799867631435916,9.564681342766335e-05,0.2322867739692498,0.013454427584295166,0.03315265437450635,0.04660708195880152,0.04660708195880152,0.001279801817499848,0.0012599193741095263,1.9882443390321783e-05,0.001279801817499848,0.0012599193741095263,1.9981640225143784e-08,1.934469260452073e-08,-0.22556089037421576,0.026550096342759844,0.03233056971205883,0.23000569188647502,0.33499999999999996,0.7498008742774294,0.664785001711415,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
10,virtual,4.86364618924218,0,0.9727292378484361,3.8909169513937445,0.9727292378484362,2.9181877135453083,2.9327786521130403,0.014590938567726542,2.918187713545313,3.8909169513937494,281857.6846445521,313428.2287789316,event: W10_CAPACITY_WINDOW [experiment],313428.2287789316,3.8909169513937445,EXPECTED_PROTOCOL_EVENT,3.0,2.9915827413973717,99.7801529297727,99.98980511724456,SOC_UPPER_BOUND_NOT_REACHED,3,3,18.63000043390686,3249.7647474026858,2932.7292305148553,1795.8837260727323,1800.0,0.0,0.0,0.0,2888.1033041279297,18885.433125827345,0.4059999999590218,0.875,0.5160000000614673,0.5940000000409782,0.375,0.0,0.0,0.0,0.875,139.45300000021234,3.45369484543265,297.24252714679886,296.180159579039,326.41789327432696,296.15,30.26789327432698,4.799786743809006,4.799868158382382,8.141457337629276e-05,0.24945900584168612,0.014371246791728087,0.03495678914251215,0.04932803593424023,0.04932803593424023,0.0013805996094195696,0.0013610469575317983,1.955265188777135e-05,0.0013805996094195696,0.0013610469575317983,2.1003056530435243e-08,2.0397792298147417e-08,-0.2215405453843063,0.02949838259310411,0.03575772115736697,0.22883688546395378,0.33499999999999996,0.7497787621305518,0.6647622111543037,1.141348467206394e-16,2.9327786521130403,1.8170721865972443e-15
