cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.0464473488077175,0.0028232890371461625,0.011015661283948838,0.013838950321095,0.013838950321095,0.0003027290104812405,0.0002788882825808836,2.384072790035692e-05,0.0003027290104812405,0.0002788882825808836,8.142887827456341e-09,6.426857178260061e-09,-0.1959857579625987,328.9577195680975,296.15,32.807719568097525,0.0029518921734847936,0.003830408196819235,0.24406756294522397,0.33499999999999996,0.749977860808699,0.6649745277854914
2,virtual,0.0792297764530474,0.004838602615929303,0.015603459113953791,0.020442061729883096,0.020442061729883096,0.0004271222604789535,0.0004041203626022365,2.300189787671702e-05,0.0004271222604789535,0.0004041203626022365,1.0386537834649326e-08,9.103579051583823e-09,-0.20027942815985858,330.2701297253669,296.15,34.12012972536695,0.0059029903676730555,0.007507157592982594,0.241238187173523,0.33499999999999996,0.7499557275722426,0.6649500774020068
3,virtual,0.10733202796832586,0.0064859563472955805,0.01911183871485826,0.025597795062153837,0.025597795062153837,0.0005807415072411874,0.0005583658237230348,2.2375683518152602e-05,0.0005807415072411874,0.0005583658237230348,1.2220702054555629e-08,1.1150641884747033e-08,-0.21522441708706336,328.34030541795335,296.15,32.19030541795337,0.008853607176249056,0.011155243603852227,0.23902571401344816,0.33499999999999996,0.7499335979461782,0.6649258176300346
4,virtual,0.13220308264452285,0.007917953125610461,0.022072406409489043,0.029990359535099504,0.029990359535099504,0.0007166849566094772,0.0006948322260315717,2.185273057790551e-05,0.0007166849566094772,0.0006948322260315717,1.3815228958912586e-08,1.2878169048406165e-08,-0.20626943286868185,328.0149685893985,296.15,31.86496858939853,0.011803840629724505,0.014764484699298919,0.23714043725888487,0.33499999999999996,0.7499114711952771,0.6649018161767498
5,virtual,0.15486793076556182,0.009202402242903203,0.024683237823253126,0.033885640066156325,0.033885640066156325,0.0008415299481657246,0.0008201367444081595,2.139320375756505e-05,0.0008415299481657246,0.0008201367444081595,1.5245588050712442e-08,1.4401709292500932e-08,-0.20845337276083512,327.7144960683942,296.15,31.56449606839425,0.014753731928550451,0.01833875046483513,0.23546833882759374,0.33499999999999996,0.749889347010536,0.664878047309409
6,virtual,0.1759046564672957,0.010377655290543422,0.027045938076011137,0.037423593366554556,0.037423593366554556,0.0009588660181169778,0.0009378899469739094,2.0976071143068457e-05,0.0009588660181169778,0.0009378899469739094,1.655446210592856e-08,1.5780533465433223e-08,-0.2106900689291235,327.43131933642354,296.15,31.281319336423564,0.017703298081869434,0.021880444893753292,0.2339493944080889,0.33499999999999996,0.7498672252643861,0.6648544950414568
7,virtual,0.19566343731490576,0.01146789859569056,0.02922084718316682,0.04068874577885738,0.04068874577885738,0.001069819885181817,0.0010492299938959424,2.0589891285874642e-05,0.001069819885181817,0.0010492299938959424,1.776876810381409e-08,1.704983992984779e-08,-0.21232224821517814,327.18160714611906,296.15,31.031607146119086,0.02065254717521725,0.025392722337088003,0.23254741287748124,0.33499999999999996,0.749845105896186,0.6648311383964586
8,virtual,0.2143985278481182,0.012489568659134236,0.031247311136502448,0.04373687979563669,0.04373687979563669,0.0011764434113052816,0.0011562165301268936,2.0226881178387994e-05,0.0011764434113052816,0.0011562165301268936,1.890679771081192e-08,1.8232580090243774e-08,-0.21398920302110838,326.92463572855434,296.15,30.774635728554358,0.0236014809907914,0.028875840509755335,0.23123843436474817,0.33499999999999996,0.7498229888925692,0.6648079756606103
9,virtual,0.2322867739692498,0.013454427584295166,0.03315265437450635,0.04660708195880152,0.04660708195880152,0.001279801817499848,0.0012599193741095263,1.9882443390321783e-05,0.001279801817499848,0.0012599193741095263,1.9981640225143784e-08,1.934469260452073e-08,-0.22556089037421576,326.67046422997066,296.15,30.520464229970685,0.026550096342759844,0.03233056971205883,0.23000569188647502,0.33499999999999996,0.7498008742774294,0.664785001711415
10,virtual,0.24945900584168612,0.014371246791728087,0.03495678914251215,0.04932803593424023,0.04932803593424023,0.0013805996094195696,0.0013610469575317983,1.955265188777135e-05,0.0013805996094195696,0.0013610469575317983,2.1003056530435243e-08,2.0397792298147417e-08,-0.2215405453843063,326.41789327432696,296.15,30.26789327432698,0.02949838259310411,0.03575772115736697,0.22883688546395378,0.33499999999999996,0.7497787621305518,0.6647622111543037
11,virtual,0.2660233302448489,0.015246792685536904,0.03667479419999805,0.05192158688553496,0.05192158688553496,0.00147996258453848,0.0014607274272042516,1.923515733422837e-05,0.00147996258453848,0.0014607274272042516,2.197857612176955e-08,2.1400674468423225e-08,-0.22192701872000853,326.1359017942522,296.15,29.985901794252243,0.03244632473590059,0.03915682123218289,0.22772261342386538,0.33499999999999996,0.7497566525644809,0.6647396071388062
12,virtual,0.28205131203773703,0.01608638428291674,0.03831835424354331,0.05440473852646005,0.05440473852646005,0.0015776550599066607,0.0015587267978596758,1.8928262046984893e-05,0.0015776550599066607,0.0015587267978596758,2.291411770369995e-08,2.236015455809674e-08,-0.22233302835048677,325.87399920137017,296.15,29.72399920137019,0.03539390985730506,0.04253039382489021,0.22665562218412763,0.33499999999999996,0.7497345456760703,0.6647171728810647
13,virtual,0.29761048910482657,0.0168943339472703,0.03989682176376907,0.05679115571103937,0.05679115571103937,0.0016743881432118427,0.0016557573647233378,1.8630778488504945e-05,0.0016743881432118427,0.0016557573647233378,2.381447972686408e-08,2.3281687599999056e-08,-0.2233230512516561,325.5908471914185,296.15,29.440847191418527,0.03834112311940885,0.0458758931705745,0.22563003029818546,0.33499999999999996,0.7497124415766045,0.6646949253104159
14,virtual,0.31276043715172364,0.01767419415008008,0.04141781926975636,0.05909201341983644,0.05909201341983644,0.0017709915515248655,0.0017526496972924202,1.8341854232445257e-05,0.0017709915515248655,0.0017526496972924202,2.468361501222055e-08,2.4169719515651265e-08,-0.2233259038147673,325.2710035993525,296.15,29.121003599352548,0.041287954393652626,0.04919266737906014,0.22464101360087987,0.33499999999999996,0.7496903403420477,0.6646728687619294
15,virtual,0.3275442877433079,0.018428901033885232,0.04288759561502119,0.06131649664890642,0.06131649664890642,0.0018676740380577507,0.001849613663717739,1.806037434001176e-05,0.0018676740380577507,0.001849613663717739,2.5524790497580338e-08,2.5027894955409172e-08,-0.22341995632097697,324.9279415856446,296.15,28.777941585644612,0.044234391108005866,0.05248056666158618,0.2236846344130718,0.33499999999999996,0.74966824206669,0.6646510042317006
