W10 PyBaMM run started
cycle=1 UDDS window error=1.004e-14
cycle=2 UDDS window error=1.392e-14
cycle=3 UDDS window error=1.141e-16
cycle=4 UDDS window error=1.141e-16
cycle=5 UDDS window error=2.283e-16
cycle=6 UDDS window error=3.424e-16
cycle=7 UDDS window error=5.707e-16
cycle=8 UDDS window error=7.989e-16
cycle=9 UDDS window error=1.141e-15
cycle=10 UDDS window error=1.255e-15
cycle=11 UDDS window error=1.255e-15
cycle=12 UDDS window error=1.370e-15
cycle=13 UDDS window error=1.370e-15
cycle=14 UDDS window error=1.484e-15
cycle=15 UDDS window error=1.712e-15
cycle=16 UDDS window error=1.826e-15
cycle=17 UDDS window error=1.940e-15
cycle=18 UDDS window error=2.054e-15
cycle=19 UDDS window error=2.397e-15
cycle=20 UDDS window error=2.397e-15
cycle=21 UDDS window error=2.511e-15
cycle=22 UDDS window error=2.625e-15
