cycle,mode,soc_bin_id,soc_start_pct,soc_end_pct,actual_soc_start_pct,actual_soc_end_pct,soc_coverage_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,soh_pct,q_ref_ah,q_ref_node,lli_pct,negative_lam_pct,positive_lam_pct,external_charge_ah,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,time_start_s,time_end_s,duration_s,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,mean_current_a,mean_voltage_v,maximum_voltage_v,temperature_start_k,temperature_end_k,temperature_mean_k,temperature_max_k,temperature_rise_k,negative_surface_stoichiometry,negative_average_stoichiometry,negative_particle_radial_stoichiometry_gradient,minimum_electrolyte_concentration_mol_m3,negative_reaction_overpotential_v,plating_reaction_overpotential_v,negative_intercalation_current_density_mean_a_m2,negative_intercalation_current_density_max_a_m2,negative_plating_current_density_mean_a_m2,negative_plating_current_density_extreme_a_m2,negative_sei_current_density_mean_a_m2,negative_sei_current_density_max_a_m2,electrolyte_ohmic_loss_mean_v,electrolyte_ohmic_loss_max_v,negative_particle_concentration_overpotential_mean_v,negative_particle_concentration_overpotential_max_v,irreversible_heating_energy_wh,ohmic_heating_energy_wh,reversible_heating_energy_wh,total_heating_energy_wh,soc_crossing_count,soc_crossing_selection_rule,charge_trace_path,trace_start_row,trace_end_row,trace_start_time_s,trace_end_time_s,primary_status,status_flags,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,1.0571467693227858,0.04274926258206297,0.0790803869293887,0.9737279441513169,,,,,0.08342274872900415,0.0,,,1.6440739566235074e-05,,,0.0004685551402935046,92.10905925343673,100.00037114596091,-0.0004889194373949302,-0.04624896481574973,0.04624896481574973,SOC_UPPER_BOUND_NOT_REACHED,0.0,299.5755305561374,299.5755305561374,0.11052120199330136,0.9466255673294844,89.5453303930445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7406.495947454476,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,0.9695181146336108,0.0790803869293887,0.11541151127671445,0.9737279441513178,,,,,-0.004254697457980766,0.004254697457980766,,,2.49905912273183e-05,,,0.00036745006922186225,100.43421875818152,99.99537214007695,-0.000347572720175382,-0.03585004910472794,0.03585004910472794,SOC_UPPER_BOUND_NOT_REACHED,299.5755305561374,600.3404232087103,300.7648926525729,0.0,0.9695181146336108,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7406.495947454476,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,0.9104323175418358,0.11541151127671445,0.15174263562404017,0.9737279441513167,,,,,-0.06346905658768529,0.06346905658768529,,,9.116929571269026e-05,,,0.0007886566766020254,106.95226052392107,99.98095081041579,-0.0007063959941102649,-0.07758907285030607,0.07758907285030607,SOC_UPPER_BOUND_NOT_REACHED,600.3404232087103,3397.540806466066,2797.2003832573555,0.21723059612478057,0.6932017214170553,76.13984126669598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7406.495947454476,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7406.495947454476,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,0.9751827900183713,0.0429855345085619,0.07931665885588764,0.9737279441513174,,,,,0.0014466688245932129,0.0,,,8.94431991592089e-06,,,3.309842708014866e-05,99.85081300839748,99.9991614861804,-3.386570453534077e-05,-0.0034727545319685944,0.0034727545319685944,SOC_UPPER_BOUND_NOT_REACHED,31002.87382136241,31275.105921861636,272.23210049922744,0.11504638973044638,0.8601364002879249,88.20258202790075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31002.87382136241,38609.5706058659,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,0.9406417131196071,0.07931665885588764,0.11564778320321337,0.973727944151317,,,,,-0.0331252771310423,0.0331252771310423,,,-7.519795848256918e-06,,,7.083971635277967e-05,103.51741056878932,99.99584899342781,-2.427382117220489e-05,-0.002580559721480091,0.002580559721480091,SOC_UPPER_BOUND_NOT_REACHED,31275.105921861636,31531.97390876977,256.8679869081331,0.0,0.9406417131196071,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31002.87382136241,38609.5706058659,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,0.9946115911006822,0.11564778320321337,0.1519789075505391,0.9737279441513175,,,,,0.020870168158201155,0.0,,,-5.552521339845248e-05,,,0.00031421775077112874,97.90032137809153,99.9986448186122,-0.0002452137462091164,-0.024654221648246807,0.024654221648246807,SOC_UPPER_BOUND_NOT_REACHED,31531.97390876977,34500.92198753023,2968.948078760463,0.19614803009126977,0.7984635610094124,80.27893181154228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31002.87382136241,38609.5706058659,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31002.87382136241,38609.5706058659,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,1.0552090581994245,0.042972083284040764,0.0793032076313665,0.9737279441513174,,,,,0.08147799515958423,0.0,,,1.3797184851929977e-05,,,2.8197957915042197e-05,92.27820180134314,99.99970442932624,-3.887625424425778e-05,-0.003684222945412826,0.003684222945412826,SOC_UPPER_BOUND_NOT_REACHED,62205.946533313625,62505.43821760695,299.4916842933203,0.11278124289763028,0.9424278153017942,89.31195273379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62205.946533313625,69631.40994946951,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868639720756586,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885144176860416,4.85,100.0,4.868639720756586,0,,,,0.9696443832968016,0.0793032076313665,0.11563433197869223,0.973727944151317,,,,,-0.004199008992342254,0.004199008992342254,,,2.125844838170895e-05,,,5.863434772484383e-05,100.42114005143115,99.98809376511475,3.555534172028363e-05,0.0036668434668177085,0.0036668434668177085,SOC_UPPER_BOUND_NOT_REACHED,62505.43821760695,62808.49479788647,303.056580279527,0.0,0.9696443832968016,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62205.946533313625,69631.40994946951,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
