cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.9211838324540964,3.8949117766054138,0.0,31002.87382136241,event: W10_CAPACITY_WINDOW [experiment],31002.87382136241,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.65397985239316,99.99147532490073,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.34545203957971,2725.222038097241,3013.4204023731572,1640.5080549444974,1800.000000000001,0.0,0.0,0.0,2891.068535212751,18905.30933869518,0.4380000000819564,0.8119999999180436,0.5779999999795109,0.5940000000409782,0.4059999999590218,0.0,0.0,0.0,0.8130000000819564,139.18799999984913,3.3952910443628337,297.15586682343627,296.15,329.60010091774046,296.15,33.450100917740485,4.8122303023920825,4.805221455256249,-0.007008847135833385,0.00917438494771261,0.00035592168897687765,0.0034783019232109335,0.003834223612187811,0.003834223612187811,0.0002861908058973783,0.0002569988114296336,2.9191994467744724e-05,0.0002861908058973783,0.0002569988114296336,5.3961980356994115e-09,2.0294678225274973e-09,-0.19581534540301085,0.00029655052523480663,0.0003851914410262225,0.24834450081381676,0.33499999999999996,0.7499977758710609,0.6649974384769174,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
2,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.9211838324539516,3.894911776605269,31002.87382136241,62205.946533313625,event: W10_CAPACITY_WINDOW [experiment],62205.946533313625,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.85050431141147,99.9970767417418,SOC_UPPER_BOUND_NOT_REACHED,3,3,28.465086118873327,2887.2054236954896,3001.500985674337,1689.5252890147858,1800.0,0.0,0.0,0.0,2891.068535212755,18905.307392234972,0.4220000000204891,0.7819999998901039,0.5619999999180436,0.5779999999795109,0.4839999999385327,0.0,0.0,0.0,0.8279999999795109,140.18799999984913,3.394914206387484,297.1593069096702,296.17894979422164,331.92836220824677,296.15,35.77836220824679,4.8049421586761785,4.805216535449291,0.0002743767731123725,0.009737724867633801,0.0006916323604970196,0.004935315573643398,0.005626947934140418,0.005626947934140418,-3.361849703084911e-05,0.00022298131873808088,-0.00025659981576893,-3.361849703084911e-05,0.00022298131873808088,5.769901103948519e-09,2.8794538375734137e-09,-0.1951836117621335,0.0005934080015492782,0.0007598844070599853,0.24759683927324028,0.33499999999999996,0.7499955494399885,0.6649949467686932,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
3,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.9211838324540964,3.8949117766054138,62205.946533313625,93227.7929572343,event: W10_CAPACITY_WINDOW [experiment],93227.7929572343,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.6525486087076,99.99076048855837,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.904637417970374,2735.513609522696,3006.924534948325,1655.120634266892,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.31447255204,0.48499999986961484,0.8279999999795109,0.5620000001508743,0.578999999910593,0.3910000000614673,0.0,0.0,0.0,0.8280000002123415,142.46900000004098,3.394709123396447,297.1619854090462,296.18079493564886,329.88037993571317,296.15,33.73037993571319,4.80558270749442,4.805218995175965,-0.00036371231845500063,0.021299276471239637,0.0010036901352645355,0.006040593499776061,0.007044283635040597,0.007044283635040597,0.00047067152831351455,0.0004420293319945571,2.8642196318957457e-05,0.00047067152831351455,0.0004420293319945571,6.117277723092933e-09,3.524231524785646e-09,-0.1963230413165129,0.0008899082540381187,0.0011361812500041424,0.24696184563258394,0.33499999999999996,0.7499933256880948,0.6649924443946876,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
4,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.9211838324540964,3.8949117766054138,93227.7929572343,124301.39138641498,event: W10_CAPACITY_WINDOW [experiment],124301.39138641498,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.66487930319724,99.99240759574401,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.47734959856106,2785.485405371199,3004.1799585630247,1660.0717243921226,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.315456043027,0.4369999999180436,0.7660000000614673,0.5470000000204891,0.5619999999180436,0.7180000001098961,0.0,0.0,0.0,0.8439999998081475,140.15599999995902,3.394473812253736,297.1642833858684,296.1806869101278,330.6376262723314,296.15,34.4876262723314,4.8052836606295495,4.805219786119664,-6.387450988576404e-05,0.02800045058120304,0.001300006039412294,0.006976021544862382,0.008276027584274676,0.008276027584274676,0.0006370178502970253,0.0006085724183892457,2.8445431907779604e-05,0.0006370178502970253,0.0006085724183892457,6.447133669659594e-09,4.069913355478828e-09,-0.19695905376166034,0.0011863971099046466,0.001511096321308969,0.24642576153624043,0.33499999999999996,0.7499911020216758,0.6649899512094635,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
5,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513169,2.921183832453952,2.9357897516162264,0.01460591916226976,2.921183832454222,3.894911776605539,124301.39138641498,155337.71787829115,event: W10_CAPACITY_WINDOW [experiment],155337.71787829115,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.66527840713758,99.99268044255598,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.119474866067364,2747.758518984739,3002.2930617595657,1662.7707096216427,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.316191431397,0.45399999991059303,0.7809999999590218,0.5620000001508743,0.5469999997876585,0.4220000000204891,0.0,0.0,0.0,0.8119999999180436,143.25,3.394259288282737,297.16633422306586,296.1807944433601,329.7564102899617,296.15,33.60641028996173,4.805253138544039,4.805220697078467,-3.244146557168648e-05,0.03493176906891904,0.0015809733852041475,0.0077975065033431,0.009378479888547248,0.009378479888547248,0.000835498740019442,0.0008072242034059289,2.827453661351318e-05,0.000835498740019442,0.0008072242034059289,6.7599065964585294e-09,4.5491159876988164e-09,-0.197714977750696,0.0014828775711777098,0.001885656295982585,0.24594307286574008,0.33499999999999996,0.7499888784182163,0.664987460385632,3.420533521586892e-16,2.9357897516162264,1.5126737519455573e-15
6,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.9211838324541795,3.894911776605497,155337.71787829115,186494.0247197103,event: W10_CAPACITY_WINDOW [experiment],186494.0247197103,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.67199919859081,99.9949935318452,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.806921424979496,2866.2372717399944,2999.2345145971726,1667.6427949499684,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.316803494265,0.43700000015087426,0.7969999997876585,0.5630000000819564,0.5930000001098961,0.3910000000614673,0.0,0.0,0.0,0.8279999999795109,141.73399999993853,3.3940586838300177,297.1682108130002,296.18056794705615,331.1137022996848,296.15,34.963702299684826,4.805245759411005,4.805222218140585,-2.3541270420146532e-05,0.04048541136745598,0.0018514011945653889,0.008545482036316079,0.010396883230881468,0.010396883230881468,0.0009443790344461225,0.0009162597090108785,2.8119325435243918e-05,0.0009443790344461225,0.0009162597090108785,7.060949444759769e-09,4.985428594940473e-09,-0.19844595767418394,0.0017793504682686034,0.002257343395768885,0.24550149975438054,0.33499999999999996,0.7499866548714881,0.6649849886664183,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
7,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.921183832454146,3.8949117766054635,186494.0247197103,217544.12456653512,event: W10_CAPACITY_WINDOW [experiment],217544.12456653512,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.66905860181294,99.99370359062871,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.524756392788255,2760.1247635385903,2998.194002049216,1668.8705903718337,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.317199259647,0.4220000000204891,0.8590000001713634,0.5629999998491257,0.5470000000204891,0.4059999999590218,0.0,0.0,0.0,0.9220000000204891,142.4529999999795,3.3938699543285518,297.16995806197076,296.180803110012,329.65080978234903,296.15,33.50080978234905,4.805241418048939,4.805225088897614,-1.6329151325322755e-05,0.046884502970272024,0.0021090190032720703,0.009228538509949837,0.011337557513221908,0.011337557513221908,0.001127549102658429,0.0010995696443791077,2.79794582793212e-05,0.001127549102658429,0.0010995696443791077,7.347734768333579e-09,5.383863421787293e-09,-0.19922575904823486,0.002075817051576223,0.002630548429763735,0.24508884114730448,0.33499999999999996,0.7499844313721132,0.6649825068529422,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
8,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.921183832453953,3.8949117766052703,217544.12456653512,248647.98243374037,event: W10_CAPACITY_WINDOW [experiment],248647.98243374037,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.67361780426668,99.99490483336297,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.268154069195653,2812.1624837237177,2996.503161442369,1672.5375776106266,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.317955146602,0.4369999999180436,0.7970000000204891,0.5630000000819564,0.5930000001098961,0.39099999982863665,0.0,0.0,0.0,0.8119999999180436,142.39099999982864,3.393691948753212,297.1716019411318,296.1806854063228,330.94248610793966,296.15,34.79248610793968,4.805253253323658,4.805236323612714,-1.69297109433586e-05,0.052389245117325345,0.002358154370346502,0.009867460166872236,0.012225614537218737,0.012225614537218737,0.0012541287455771378,0.0012262800882445349,2.7848657332602868e-05,0.0012541287455771378,0.0012262800882445349,7.625079628792304e-09,5.756545990446124e-09,-0.19947331689589565,0.0023722792512756996,0.0030030343866371823,0.24470195100468092,0.33499999999999996,0.7499822079056155,0.6649800298213291,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
9,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.9211838324540964,3.8949117766054138,248647.98243374037,279782.59877351567,event: W10_CAPACITY_WINDOW [experiment],279782.59877351567,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.67651530365202,99.99588757904687,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.030051391940145,2842.2322408669115,2994.4819680385294,1675.485192662517,1800.0,0.0,0.0,0.0,2891.0685352127475,18905.318351602647,0.43700000015087426,0.7819999998901039,0.546000000089407,0.5939999998081475,0.5,0.0,0.0,0.0,0.8119999999180436,142.7970000000205,3.3935202165131235,297.1731798584105,296.1806400920921,331.4685805813884,296.15,35.3185805813884,4.805252190875929,4.805248138858054,-4.0520178750114155e-06,0.05746863568555227,0.0025990947420428314,0.010468833573832142,0.013067928315874973,0.013067928315874973,0.0013579822412496843,0.0013302554580041255,2.772678324555874e-05,0.0013579822412496843,0.0013302554580041255,7.893303911537084e-09,6.107319173090699e-09,-0.19996255607473432,0.0026687359753481132,0.003374721439300288,0.24433592846857047,0.33499999999999996,0.749979984480185,0.6649775581024289,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
10,virtual,4.868639720756586,0,0.9737279441513172,3.894911776605269,0.9737279441513174,2.9211838324539516,2.935789751616225,0.014605919162269759,2.921183832453952,3.8949117766052694,279782.59877351567,310853.0755165048,event: W10_CAPACITY_WINDOW [experiment],310853.0755165048,3.894911776605269,EXPECTED_PROTOCOL_EVENT,3.0,2.9885144176860416,99.67106427499067,99.99229498350651,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.807446528034767,2779.414682893806,2992.7224758495236,1676.1450895627058,1800.0,0.0,0.0,0.0,2891.0685352127766,18905.318512942293,0.4220000000204891,0.8589999999385327,0.5470000000204891,0.5630000000819564,0.39000000013038516,0.0,0.0,0.0,0.7970000000204891,141.9220000000205,3.393354138689774,297.1746623373057,296.1808324359988,329.50997256346943,296.15,33.359972563469455,4.8053412289667845,4.805248267381441,-9.296158534333188e-05,0.06326900803449576,0.0028305576690209437,0.011033744329624387,0.01386430199864533,0.01386430199864533,0.001523826574989675,0.0014962135042202718,2.7613070769403258e-05,0.001523826574989675,0.0014962135042202718,8.150979978641548e-09,6.436816730770002e-09,-0.2003103320240631,0.0029651885524657473,0.0037462366665010904,0.24398594706483184,0.33499999999999996,0.7499777610858566,0.664975087526168,1.140177840528964e-16,2.935789751616225,1.210139001556446e-15
