cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.00917438494771261,0.00035592168897687765,0.0034783019232109335,0.003834223612187811,0.003834223612187811,0.0002861908058973783,0.0002569988114296336,2.9191994467744724e-05,0.0002861908058973783,0.0002569988114296336,5.3961980356994115e-09,2.0294678225274973e-09,-0.19581534540301085,329.60010091774046,296.15,33.450100917740485,0.00029655052523480663,0.0003851914410262225,0.24834450081381676,0.33499999999999996,0.7499977758710609,0.6649974384769174
2,virtual,0.009737724867633801,0.0006916323604970196,0.004935315573643398,0.005626947934140418,0.005626947934140418,-3.361849703084911e-05,0.00022298131873808088,-0.00025659981576893,-3.361849703084911e-05,0.00022298131873808088,5.769901103948519e-09,2.8794538375734137e-09,-0.1951836117621335,331.92836220824677,296.15,35.77836220824679,0.0005934080015492782,0.0007598844070599853,0.24759683927324028,0.33499999999999996,0.7499955494399885,0.6649949467686932
3,virtual,0.021299276471239637,0.0010036901352645355,0.006040593499776061,0.007044283635040597,0.007044283635040597,0.00047067152831351455,0.0004420293319945571,2.8642196318957457e-05,0.00047067152831351455,0.0004420293319945571,6.117277723092933e-09,3.524231524785646e-09,-0.1963230413165129,329.88037993571317,296.15,33.73037993571319,0.0008899082540381187,0.0011361812500041424,0.24696184563258394,0.33499999999999996,0.7499933256880948,0.6649924443946876
4,virtual,0.02800045058120304,0.001300006039412294,0.006976021544862382,0.008276027584274676,0.008276027584274676,0.0006370178502970253,0.0006085724183892457,2.8445431907779604e-05,0.0006370178502970253,0.0006085724183892457,6.447133669659594e-09,4.069913355478828e-09,-0.19695905376166034,330.6376262723314,296.15,34.4876262723314,0.0011863971099046466,0.001511096321308969,0.24642576153624043,0.33499999999999996,0.7499911020216758,0.6649899512094635
5,virtual,0.03493176906891904,0.0015809733852041475,0.0077975065033431,0.009378479888547248,0.009378479888547248,0.000835498740019442,0.0008072242034059289,2.827453661351318e-05,0.000835498740019442,0.0008072242034059289,6.7599065964585294e-09,4.5491159876988164e-09,-0.197714977750696,329.7564102899617,296.15,33.60641028996173,0.0014828775711777098,0.001885656295982585,0.24594307286574008,0.33499999999999996,0.7499888784182163,0.664987460385632
6,virtual,0.04048541136745598,0.0018514011945653889,0.008545482036316079,0.010396883230881468,0.010396883230881468,0.0009443790344461225,0.0009162597090108785,2.8119325435243918e-05,0.0009443790344461225,0.0009162597090108785,7.060949444759769e-09,4.985428594940473e-09,-0.19844595767418394,331.1137022996848,296.15,34.963702299684826,0.0017793504682686034,0.002257343395768885,0.24550149975438054,0.33499999999999996,0.7499866548714881,0.6649849886664183
7,virtual,0.046884502970272024,0.0021090190032720703,0.009228538509949837,0.011337557513221908,0.011337557513221908,0.001127549102658429,0.0010995696443791077,2.79794582793212e-05,0.001127549102658429,0.0010995696443791077,7.347734768333579e-09,5.383863421787293e-09,-0.19922575904823486,329.65080978234903,296.15,33.50080978234905,0.002075817051576223,0.002630548429763735,0.24508884114730448,0.33499999999999996,0.7499844313721132,0.6649825068529422
8,virtual,0.052389245117325345,0.002358154370346502,0.009867460166872236,0.012225614537218737,0.012225614537218737,0.0012541287455771378,0.0012262800882445349,2.7848657332602868e-05,0.0012541287455771378,0.0012262800882445349,7.625079628792304e-09,5.756545990446124e-09,-0.19947331689589565,330.94248610793966,296.15,34.79248610793968,0.0023722792512756996,0.0030030343866371823,0.24470195100468092,0.33499999999999996,0.7499822079056155,0.6649800298213291
9,virtual,0.05746863568555227,0.0025990947420428314,0.010468833573832142,0.013067928315874973,0.013067928315874973,0.0013579822412496843,0.0013302554580041255,2.772678324555874e-05,0.0013579822412496843,0.0013302554580041255,7.893303911537084e-09,6.107319173090699e-09,-0.19996255607473432,331.4685805813884,296.15,35.3185805813884,0.0026687359753481132,0.003374721439300288,0.24433592846857047,0.33499999999999996,0.749979984480185,0.6649775581024289
10,virtual,0.06326900803449576,0.0028305576690209437,0.011033744329624387,0.01386430199864533,0.01386430199864533,0.001523826574989675,0.0014962135042202718,2.7613070769403258e-05,0.001523826574989675,0.0014962135042202718,8.150979978641548e-09,6.436816730770002e-09,-0.2003103320240631,329.50997256346943,296.15,33.359972563469455,0.0029651885524657473,0.0037462366665010904,0.24398594706483184,0.33499999999999996,0.7499777610858566,0.664975087526168
