cycle,mode,soc_bin_id,soc_start_pct,soc_end_pct,actual_soc_start_pct,actual_soc_end_pct,soc_coverage_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,soh_pct,q_ref_ah,q_ref_node,lli_pct,negative_lam_pct,positive_lam_pct,external_charge_ah,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,time_start_s,time_end_s,duration_s,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,mean_current_a,mean_voltage_v,maximum_voltage_v,temperature_start_k,temperature_end_k,temperature_mean_k,temperature_max_k,temperature_rise_k,negative_surface_stoichiometry,negative_average_stoichiometry,negative_particle_radial_stoichiometry_gradient,minimum_electrolyte_concentration_mol_m3,negative_reaction_overpotential_v,plating_reaction_overpotential_v,negative_intercalation_current_density_mean_a_m2,negative_intercalation_current_density_max_a_m2,negative_plating_current_density_mean_a_m2,negative_plating_current_density_extreme_a_m2,negative_sei_current_density_mean_a_m2,negative_sei_current_density_max_a_m2,electrolyte_ohmic_loss_mean_v,electrolyte_ohmic_loss_max_v,negative_particle_concentration_overpotential_mean_v,negative_particle_concentration_overpotential_max_v,irreversible_heating_energy_wh,ohmic_heating_energy_wh,reversible_heating_energy_wh,total_heating_energy_wh,soc_crossing_count,soc_crossing_selection_rule,charge_trace_path,trace_start_row,trace_end_row,trace_start_time_s,trace_end_time_s,primary_status,status_flags,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,1.0571283321513654,0.04274926258206297,0.0790796310699544,0.9737076859989409,,,,,0.08342202706067317,0.0,,,1.6440206161103138e-05,,,0.00046854866033991854,92.10874937173854,100.00013062825077,-0.00048636977474969534,-0.0460085838168657,0.0460085838168657,SOC_UPPER_BOUND_NOT_REACHED,0.0,299.5706577249176,299.5706577249176,0.11052120241259203,0.9466071297387734,89.54514801550442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7405.664301304164,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,0.9695518135900211,0.0790796310699544,0.11540999955784585,0.9737076859989414,,,,,-0.004256498550867932,0.004256498550867932,,,2.4991160404800372e-05,,,0.0003674426668682357,100.42863850602602,99.98962137551216,-0.0002918076853254403,-0.030097172862267717,0.030097172862267717,SOC_UPPER_BOUND_NOT_REACHED,299.5706577249176,600.3506758395937,300.78001811467607,0.0,0.9695518135900211,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7405.664301304164,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,0.9104012873158609,0.11540999955784585,0.1517403680457373,0.973707685998941,,,,,-0.06346503008760067,0.06346503008760067,,,9.116177835150372e-05,,,0.0007885838259602561,106.95368070817722,99.98257566122427,-0.0007211141997912618,-0.07920838973298523,0.07920838973298523,SOC_UPPER_BOUND_NOT_REACHED,600.3506758395937,3397.0645583506994,2796.7138825111056,0.2172106064681384,0.6931906808477225,76.14122371151944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7405.664301304164,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7405.664301304164,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,1.0548640965485387,0.04298314303852033,0.07931351152641178,0.9737076859989414,,,,,0.08113827537346477,0.0,,,1.4579927334809172e-05,,,3.763287169013989e-05,92.30645816696797,99.99828080449491,-3.407762289242555e-05,-0.0032305225861725493,0.0032305225861725493,SOC_UPPER_BOUND_NOT_REACHED,31001.894286609993,31299.491772887286,297.597486277294,0.11500541407022626,0.9398586824783125,89.09760845529598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31001.894286609993,38411.080116123754,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,0.969604810656073,0.07931351152641178,0.11564388001430322,0.973707685998941,,,,,-0.0041637782897287895,0.0041637782897287895,,,2.259977707822782e-05,,,7.806269796081485e-05,100.42314923541807,99.99371878664468,-3.975952817825146e-05,-0.004100591059500684,0.004100591059500684,SOC_UPPER_BOUND_NOT_REACHED,31299.491772887286,31601.07855645292,301.5867835656328,0.0,0.969604810656073,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31001.894286609993,38411.080116123754,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,0.9124018783607872,0.11564388001430322,0.15197424850219465,0.973707685998941,,,,,-0.06145994884639615,0.06145994884639615,,,8.279188229524584e-05,,,0.0002871214468063779,106.71916718850855,99.9831059961736,-0.0002157721208592145,-0.023648802789278413,0.023648802789278413,SOC_UPPER_BOUND_NOT_REACHED,31601.07855645292,34418.58742173377,2817.5088652808518,0.22410805050934596,0.6882938278514413,75.43757243113349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31001.894286609993,38411.080116123754,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31001.894286609993,38411.080116123754,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,1.0551510357512592,0.04295477744752071,0.07928514593541215,0.9737076859989413,,,,,0.08143605388067572,0.0,,,1.3872868608523275e-05,,,2.8265084674459692e-05,92.28135622363003,99.99930854717525,-3.4842081640729106e-05,-0.0033020942462442656,0.0033020942462442656,SOC_UPPER_BOUND_NOT_REACHED,62007.31361695175,62306.84048709475,299.5268701429958,0.11274728573168291,0.9424037500195762,89.31458322917649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62007.31361695175,69426.86888459852,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868538429994706,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9885765942317564,4.85,100.0,4.868538429994706,0,,,,0.969551223037212,0.07928514593541215,0.11561551442330359,0.973707685998941,,,,,-0.004229009625323674,0.004229009625323674,,,2.133693073377548e-05,,,5.876886329921147e-05,100.42869967702258,99.99251750068785,-7.559130438372641e-06,-0.0007796525091983219,0.0007796525091983219,SOC_UPPER_BOUND_NOT_REACHED,62306.84048709475,62609.95602917344,303.11554207868767,0.0,0.969551223037212,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62007.31361695175,69426.86888459852,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
