cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579969696,3.894830743995911,0.0,31001.894286609993,event: W10_CAPACITY_WINDOW [experiment],31001.894286609993,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.6528534809463,99.99036232812782,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.34545214332174,2724.8051406112554,3013.3338502345077,1640.1798583150785,1800.0,0.0,0.0,0.0,2891.008387296417,18905.22159800941,0.5160000000614673,0.9839999999385327,0.5630000000819564,0.7029999999795109,0.48499999986961484,0.0,0.0,0.0,1.0939999998081475,188.85900000017136,3.394791730737699,297.155565020127,296.15,329.5980941274237,296.15,33.4480941274237,4.81220617865728,4.805140428789442,-0.007065749867837923,0.01234214723776006,0.00035590470329915826,0.003478213084996156,0.003834117788295314,0.003834117788295314,0.0002862105978959748,0.00025698346581874373,2.9227132077231093e-05,0.0002862105978959748,0.00025698346581874373,5.3963231580401794e-09,2.029470161825747e-09,-0.19566744953749862,0.002965571461942318,0.0038519976366444553,0.24834449409778303,0.33499999999999996,0.7499777582140356,0.6649743842157165,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
2,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579969696,3.894830743995911,31001.894286609993,62007.31361695175,event: W10_CAPACITY_WINDOW [experiment],62007.31361695175,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.65776668528986,99.99120064042889,SOC_UPPER_BOUND_NOT_REACHED,3,3,28.454947811189996,2722.8452126044276,3009.387419739365,1648.4982493587777,1800.0,0.0,0.0,0.0,2891.008387296417,18905.225113531582,0.5160000000614673,0.9839999999385327,0.5940000000409782,0.7809999999590218,0.4529999999795109,0.0,0.0,0.0,0.9369999999180436,186.26599999982864,3.3944575573125526,297.15904120385466,296.1808747151532,329.93075593654345,296.15,33.78075593654347,4.805091063043871,4.80513932044822,4.8257404348994726e-05,0.023579515452198052,0.0006880383678193784,0.004921558409912828,0.0056095967777322064,0.0056095967777322064,0.0005200594091970334,0.0004911426646759604,2.8916744521072972e-05,0.0005200594091970334,0.0004911426646759604,5.766208335088325e-09,2.8715814153237423e-09,-0.1952187512384873,0.005931107306210492,0.0076269459095499315,0.24757205960082548,0.33499999999999996,0.7499555166952036,0.6649492808097017,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
3,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579968244,3.8948307439957657,62007.31361695175,93023.10400206536,event: W10_CAPACITY_WINDOW [experiment],93023.10400206536,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.66069096134402,99.99171227127678,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.896235644952473,2731.5836780789377,3006.4961280171765,1653.5792259056952,1800.0,0.0,0.0,0.0,2891.0083872964315,18905.226730170412,0.5149999998975545,0.8280000002123415,0.6879999998491257,0.6089999999385327,0.40600000019185245,0.0,0.0,0.0,1.0,189.14100000006147,3.39417511931113,297.1617658916895,296.18086334600923,329.8778839281029,296.15,33.727883928102926,4.8051013853509135,4.805138028259698,3.6642908784578765e-05,0.03433238012614481,0.0010002094088101769,0.006029057003710486,0.007029266412520663,0.007029266412520663,0.0007392659354268366,0.0007105832390644556,2.8682696362380988e-05,0.0007392659354268366,0.0007105832390644556,6.113892766679633e-09,3.517783041915852e-09,-0.19616659601715014,0.008896674515071368,0.011389929398859522,0.24695254425677235,0.33499999999999996,0.749933274941137,0.6649242569694978,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
4,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579968244,3.8948307439957657,93023.10400206536,124045.57465680425,event: W10_CAPACITY_WINDOW [experiment],124045.57465680425,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.66270022031892,99.99187046568393,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.46968949857566,2737.3842853338024,3003.904923576323,1657.4756434527771,1800.0,0.0,0.0,0.0,2891.008387296417,18905.22772558099,0.5309999999590218,0.8279999999795109,0.5940000000409782,0.5940000000409782,0.4220000000204891,0.0,0.0,0.0,0.9529999999795109,188.65599999995902,3.3939216329167428,297.16410008920997,296.1808716542724,329.8150311272825,296.15,33.66503112728253,4.80511298832464,4.805138781626527,2.579330188723361e-05,0.044704136297667674,0.0012956011252704411,0.006962699002035779,0.00825830012730622,0.00825830012730622,0.0009480280836501004,0.0009195398039885552,2.848827966154513e-05,0.0009480280836501004,0.0009195398039885552,6.442918281768699e-09,4.062575034985586e-09,-0.19713639849204215,0.011862325982647803,0.015143649865905218,0.24641511106495206,0.33499999999999996,0.7499110325551303,0.6648992947283919,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
5,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579969696,3.894830743995911,124045.57465680425,155092.7412309921,event: W10_CAPACITY_WINDOW [experiment],155092.7412309921,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.6655151990365,99.99231433078415,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.11229742112293,2760.8773648147812,3001.672990805867,1661.2670741116117,1800.0,0.0,0.0,0.0,2891.0083872964315,18905.22845973805,0.5,0.7810000001918525,0.5939999998081475,0.6410000000614673,0.5,0.0,0.0,0.0,1.1560000001918525,182.56299999984913,3.3936877033444626,297.1661885374505,296.1808327375123,330.13137959372284,296.15,33.98137959372286,4.805129855552377,4.805139693297875,9.837745497343064e-06,0.05446495604063273,0.0015771063828436535,0.00778653738320837,0.009363643766052024,0.009363643766052024,0.001126809733966146,0.0010984911413708018,2.8318592595344156e-05,0.001126809733966146,0.0010984911413708018,6.756503794343431e-09,4.5433232348727106e-09,-0.19780006678516873,0.014828086208169111,0.018884856360784852,0.2459322802005649,0.33499999999999996,0.7498887893534388,0.664874415705201,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
6,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.921123057996824,3.8948307439957652,155092.7412309921,186129.33043415018,event: W10_CAPACITY_WINDOW [experiment],186129.33043415018,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.66561718201874,99.99173944530186,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.799074072372058,2750.5384917012143,2999.236575170945,1663.7775535814271,1800.0,0.0,0.0,0.0,2891.0083872964315,18905.229121335695,0.46899999980814755,0.9380000000819564,0.6720000000204891,0.671000000089407,0.46800000010989606,0.0,0.0,0.0,0.9379999998491257,148.8430000001099,3.3934685653904655,297.16810125263316,296.18089574041113,329.7140029059134,296.15,33.56400290591341,4.805146969158593,4.805140363867124,-6.605291469341523e-06,0.0642059162356361,0.0018457333230818742,0.008530157658893306,0.01037589098197518,0.01037589098197518,0.0013172540243135725,0.0012890867345062376,2.816728980733498e-05,0.0013172540243135725,0.0012890867345062376,7.0557703106449575e-09,4.977285929520664e-09,-0.19830372005587243,0.017793973049094802,0.02262366936554372,0.24548856258710572,0.33499999999999996,0.7498665452021319,0.6648495525987194,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
7,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579968244,3.8948307439957657,186129.33043415018,217173.01435670943,event: W10_CAPACITY_WINDOW [experiment],217173.01435670943,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.66726691531657,99.992074013021,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.518060763863396,2757.4723854355775,2997.0802271800344,1666.375394274215,1800.0,0.0,0.0,0.0,2891.0083872964315,18905.22946760914,0.4059999999590218,0.75,0.5470000000204891,0.5620000001508743,0.375,0.0,0.0,0.0,0.7819999998901039,156.2970000000205,3.39325907258537,297.1698849315205,296.1809126099589,329.67042920867414,296.15,33.52042920867416,4.805147890028709,4.805144069610819,-3.820417890487704e-06,0.07368333976194208,0.0021034612149452092,0.009214060074804287,0.011317521289749496,0.011317521289749496,0.0014997718736841947,0.0014717422722196692,2.8029601464525482e-05,0.0014997718736841947,0.0014717422722196692,7.342920171626521e-09,5.376421738697203e-09,-0.19903742904488994,0.020760003373894165,0.026356095921755696,0.24507548601858362,0.33499999999999996,0.7498442999746959,0.6648247319621206,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
8,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989409,2.921123057996824,2.935728673286812,0.01460561528998412,2.92112305799697,3.894830743995911,217173.01435670943,248222.36787573516,event: W10_CAPACITY_WINDOW [experiment],248222.36787573516,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.66944315809657,99.99310208509442,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.261201398535952,2763.186641766547,2994.979292362961,1668.6876908396443,1800.0,0.0,0.0,0.0,2891.0083872964315,18905.23030536159,0.5,0.875,0.6559999999590218,0.625,0.40699999989010394,0.0,0.0,0.0,1.0150000001303852,185.6710000000894,3.3930615060310845,297.17156525038746,296.1809357674071,329.6118988398536,296.15,33.46189883985363,4.805126974623177,4.805155396040121,2.8421416943480438e-05,0.08294882747779297,0.0023515022255188537,0.009850641077372631,0.012202143302891485,0.012202143302891485,0.0016768731656816413,0.00164897086295286,2.7902302728781284e-05,0.0016768731656816413,0.00164897086295286,7.619301903335851e-09,5.74796176898978e-09,-0.1993943992021103,0.023726187029325274,0.030082791709872936,0.24468708880257609,0.33499999999999996,0.7498220535972802,0.6647999494351295,3.420604686362814e-16,2.935728673286812,1.3614347010399258e-15
9,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579968235,3.894830743995765,248222.36787573516,279278.4437215104,event: W10_CAPACITY_WINDOW [experiment],279278.4437215104,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.67115126698842,99.99368601193552,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.023779421989598,2770.08015103469,2993.0227817494288,1670.7101671169276,1800.0,0.0,0.0,0.0,2891.0083872964315,18905.23057915579,0.5149999998975545,0.8440000000409782,0.5779999999795109,0.5940000000409782,0.4850000001024455,0.0,0.0,0.0,0.8440000000409782,224.09400000004098,3.3928680804052123,297.17317931120385,296.18095974004837,329.5836298242956,296.15,33.43362982429562,4.80512049655126,4.80516477528329,4.4278732029390255e-05,0.09200192359440962,0.002590897564165976,0.01044861089882973,0.013039508462995706,0.013039508462995706,0.0018474857634099735,0.0018197011382773084,2.7784625132665133e-05,0.0018474857634099735,0.0018197011382773084,7.88607384504395e-09,6.096986797828805e-09,-0.1998653707863973,0.02669253021872464,0.033803634732933574,0.2443192653654661,0.33499999999999996,0.7497998060233597,0.6647752058290262,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
10,virtual,4.868538429994706,0,0.9737076859989412,3.894830743995765,0.9737076859989413,2.9211230579968235,2.9357286732868113,0.014605615289984117,2.9211230579968244,3.8948307439957657,279278.4437215104,310366.95990231127,event: W10_CAPACITY_WINDOW [experiment],310366.95990231127,3.894830743995765,EXPECTED_PROTOCOL_EVENT,3.0,2.9885765942317564,99.67455165513088,99.9942791730705,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.80200425290983,2800.8230279960667,2992.0421290516206,1673.6098651863394,1800.0,0.0,0.0,0.0,2891.0083872964024,18905.23076701752,0.4380000000819564,0.921000000089407,0.6879999998491257,0.5940000000409782,0.4839999999385327,0.0,0.0,0.0,1.1100000001024455,188.34399999980815,3.392680788743115,297.1746989717727,296.18088742364404,330.5770208461685,296.15,34.427020846168546,4.8051417310330224,4.805167272927477,2.554189445458377e-05,0.10035656455740138,0.0028232678491850642,0.011016125513105069,0.013839393362290134,0.013839393362290134,0.0019745623100354817,0.0019468900552877019,2.76722547477798e-05,0.0019745623100354817,0.0019468900552877019,8.145039613298446e-09,6.428254583944034e-09,-0.20039893932477998,0.029659030259054475,0.03751620731428318,0.24396998411339177,0.33499999999999996,0.7497775572730572,0.6647505172213602,1.140201562120938e-16,2.9357286732868113,1.2101641787021563e-15
