cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.01234214723776006,0.00035590470329915826,0.003478213084996156,0.003834117788295314,0.003834117788295314,0.0002862105978959748,0.00025698346581874373,2.9227132077231093e-05,0.0002862105978959748,0.00025698346581874373,5.3963231580401794e-09,2.029470161825747e-09,-0.19566744953749862,329.5980941274237,296.15,33.4480941274237,0.002965571461942318,0.0038519976366444553,0.24834449409778303,0.33499999999999996,0.7499777582140356,0.6649743842157165
2,virtual,0.023579515452198052,0.0006880383678193784,0.004921558409912828,0.0056095967777322064,0.0056095967777322064,0.0005200594091970334,0.0004911426646759604,2.8916744521072972e-05,0.0005200594091970334,0.0004911426646759604,5.766208335088325e-09,2.8715814153237423e-09,-0.1952187512384873,329.93075593654345,296.15,33.78075593654347,0.005931107306210492,0.0076269459095499315,0.24757205960082548,0.33499999999999996,0.7499555166952036,0.6649492808097017
3,virtual,0.03433238012614481,0.0010002094088101769,0.006029057003710486,0.007029266412520663,0.007029266412520663,0.0007392659354268366,0.0007105832390644556,2.8682696362380988e-05,0.0007392659354268366,0.0007105832390644556,6.113892766679633e-09,3.517783041915852e-09,-0.19616659601715014,329.8778839281029,296.15,33.727883928102926,0.008896674515071368,0.011389929398859522,0.24695254425677235,0.33499999999999996,0.749933274941137,0.6649242569694978
4,virtual,0.044704136297667674,0.0012956011252704411,0.006962699002035779,0.00825830012730622,0.00825830012730622,0.0009480280836501004,0.0009195398039885552,2.848827966154513e-05,0.0009480280836501004,0.0009195398039885552,6.442918281768699e-09,4.062575034985586e-09,-0.19713639849204215,329.8150311272825,296.15,33.66503112728253,0.011862325982647803,0.015143649865905218,0.24641511106495206,0.33499999999999996,0.7499110325551303,0.6648992947283919
5,virtual,0.05446495604063273,0.0015771063828436535,0.00778653738320837,0.009363643766052024,0.009363643766052024,0.001126809733966146,0.0010984911413708018,2.8318592595344156e-05,0.001126809733966146,0.0010984911413708018,6.756503794343431e-09,4.5433232348727106e-09,-0.19780006678516873,330.13137959372284,296.15,33.98137959372286,0.014828086208169111,0.018884856360784852,0.2459322802005649,0.33499999999999996,0.7498887893534388,0.664874415705201
6,virtual,0.0642059162356361,0.0018457333230818742,0.008530157658893306,0.01037589098197518,0.01037589098197518,0.0013172540243135725,0.0012890867345062376,2.816728980733498e-05,0.0013172540243135725,0.0012890867345062376,7.0557703106449575e-09,4.977285929520664e-09,-0.19830372005587243,329.7140029059134,296.15,33.56400290591341,0.017793973049094802,0.02262366936554372,0.24548856258710572,0.33499999999999996,0.7498665452021319,0.6648495525987194
7,virtual,0.07368333976194208,0.0021034612149452092,0.009214060074804287,0.011317521289749496,0.011317521289749496,0.0014997718736841947,0.0014717422722196692,2.8029601464525482e-05,0.0014997718736841947,0.0014717422722196692,7.342920171626521e-09,5.376421738697203e-09,-0.19903742904488994,329.67042920867414,296.15,33.52042920867416,0.020760003373894165,0.026356095921755696,0.24507548601858362,0.33499999999999996,0.7498442999746959,0.6648247319621206
8,virtual,0.08294882747779297,0.0023515022255188537,0.009850641077372631,0.012202143302891485,0.012202143302891485,0.0016768731656816413,0.00164897086295286,2.7902302728781284e-05,0.0016768731656816413,0.00164897086295286,7.619301903335851e-09,5.74796176898978e-09,-0.1993943992021103,329.6118988398536,296.15,33.46189883985363,0.023726187029325274,0.030082791709872936,0.24468708880257609,0.33499999999999996,0.7498220535972802,0.6647999494351295
9,virtual,0.09200192359440962,0.002590897564165976,0.01044861089882973,0.013039508462995706,0.013039508462995706,0.0018474857634099735,0.0018197011382773084,2.7784625132665133e-05,0.0018474857634099735,0.0018197011382773084,7.88607384504395e-09,6.096986797828805e-09,-0.1998653707863973,329.5836298242956,296.15,33.43362982429562,0.02669253021872464,0.033803634732933574,0.2443192653654661,0.33499999999999996,0.7497998060233597,0.6647752058290262
10,virtual,0.10035656455740138,0.0028232678491850642,0.011016125513105069,0.013839393362290134,0.013839393362290134,0.0019745623100354817,0.0019468900552877019,2.76722547477798e-05,0.0019745623100354817,0.0019468900552877019,8.145039613298446e-09,6.428254583944034e-09,-0.20039893932477998,330.5770208461685,296.15,34.427020846168546,0.029659030259054475,0.03751620731428318,0.24396998411339177,0.33499999999999996,0.7497775572730572,0.6647505172213602
