cycle,mode,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,q_ref_ah,q_ref_node,soh_pct,soc_start_pct,soc_at_charge_end_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,soc_anchor_validation_status,time_start_s,time_end_s,duration_s,post_100_charge_ah,post_100_duration_s,external_charge_ah,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,faraday_constant_c_per_mol,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,accounted_charge_ah,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,reversible_plating_inventory_crosscheck_ah,reversible_plating_crosscheck_error_ah,reversible_plating_crosscheck_status,charge_trace_path,charge_trace_sha256,charge_trace_row_count,charge_integration_method,charge_integration_point_count,primary_status,status_flags,negative_electrode_min_potential_v,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.866527152396,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,INITIAL_SOC_CONFIGURATION,VALID,0.0,7406.026601973415,7406.026601973415,0.0,0.0,3.9019060446809677,1.1254510538749534,2.7764549908060143,71.15637739639695,0.04274926258206297,0.18783023458127307,96485.33212,3.8883849354545026,0.0,0.013377577039905435,0.0,0.013169319686441654,0.013169319686441654,0.0,0.0,0.00020825735346378084,0.00020825735346378084,-8.674676171068103e-19,0.002073325026449932,0.002073325026449933,99.65347424895336,99.99098416168931,3.903835837520858,-0.0019297928398902542,-0.04945769625900975,0.04945769625900975,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-001.csv,263d3ce5893c6493af5e6f71cb2a865b18181ec5363eadcfd11d605b5b37cd20,7804,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7801,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19580161680888927,False,False,3,charge-efficiency-v1
2,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.72614102595654,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,31002.352245677364,38413.36005466897,7411.00780899161,0.0,0.0,3.8948691186273097,1.1286647800771128,2.766204338550197,71.02175334520884,0.04298527417991304,0.1878112287593701,96485.33212,3.8815500908874854,0.00028644772322329164,0.013459544531377848,2.9204400960585386e-05,0.013013900418351758,0.012984696017391172,0.0,0.00025724332226270626,0.0004456441130260906,0.00018840079076338432,0.0038341706625218018,0.004458433237103772,0.0006242625745819701,99.65803657750332,99.99141609866082,3.8953474502702217,-0.0004783316429119999,-0.012281071028147437,0.012281071028147437,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-002.csv,92f22668091df9a51fd1560c7c07d36d3b01a2a7eaf614f87ea6b778b9e02d2d,7797,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7794,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19544625458951584,False,False,3,charge-efficiency-v1
3,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.72866911905481,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,62009.68922297184,69430.45926627607,7420.770043304228,0.0,0.0,3.894870391306435,1.1254661943485877,2.769404196957847,71.10388584789136,0.04296123046094729,0.18779177742994574,96485.33212,3.8816731737291876,0.00051953485192461,0.013588900177575261,2.889381850545178e-05,0.012920615001679927,0.012891721183174476,0.0,0.0004906410334191582,0.0006682851758953335,0.0001776441424761753,0.005609834573654128,0.006088831742744633,0.0004789971690905047,99.66116414023162,99.99215644261861,3.8952215362239286,-0.0003511449174937731,-0.009015573875771267,0.009015573875771267,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-003.csv,257a5ef7d2c125eb766536a422cb9a3c9a3ae4acddcc3c67c40cbe689a003bc7,7752,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7749,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1962573692898749,False,False,3,charge-efficiency-v1
4,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.73056285700129,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,93026.79005791526,100454.78048878875,7427.990430873478,0.0,0.0,3.8949069903085127,1.1229042998215262,2.7720026904869868,71.1699328734784,0.042938917555167676,0.1877729045803672,96485.33212,3.8817653723305963,0.0007388314314494351,0.013727054193189175,2.8659165317678815e-05,0.012847365064615441,0.012818705899297763,0.0,0.0007101722661317563,0.0008796891285737336,0.0001695168624419773,0.007029623013349701,0.007437490304808689,0.00040786729145898815,99.66259481906458,99.99170937638763,3.895161462383795,-0.000254472075282397,-0.006533457048283468,0.006533457048283468,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-004.csv,f720a12e3e9a310924398574aa2d3c50f5d8aef9d6dc2ab6f9829e4ad9ad7bfd,7780,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7777,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19730491059936642,False,False,3,charge-efficiency-v1
5,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.73215523573369,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,124051.11227018577,131486.50494069295,7435.392670507183,0.0,0.0,3.8948612232713256,1.1206834531921381,2.7741777700791874,71.22661401910318,0.04291783023457547,0.1877547098840385,96485.33212,3.8818428989452536,0.0009474829587224464,0.013864647110911506,2.8463801125832504e-05,0.012783913166390421,0.01275544936526459,0.0,0.0009190191575966139,0.001080733944521085,0.0001617147869244711,0.008258811832721025,0.008621846280933263,0.0003630344482122381,99.66575640106792,99.99325072330596,3.895123097545655,-0.0002618742743294433,-0.006723584213085081,0.006723584213085081,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-005.csv,5d5dcbb7d3eef3bb621c9210171758dc5ffa5ba9f920b84c0d24d995a7c38543,7781,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7778,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19768894669446496,False,False,3,charge-efficiency-v1
6,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.7373043762944,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,155082.83745387493,162630.43907117145,7547.601617296517,0.0,0.0,3.894980389927834,1.1184838351917914,2.7764965547360427,71.28396748584107,0.04289771127335438,0.1877439445574895,96485.33212,3.882093590208549,0.0011461973685838577,0.013809710019889121,2.8293433947300167e-05,0.012615173105866517,0.012586879671919217,0.0,0.0011179039346365576,0.0011945369140226032,7.663297938604566e-05,0.009362650178796533,0.009700677067178769,0.0003380268883822358,99.66914339921686,99.99229983164636,3.8950951297482366,-0.00011473982040266506,-0.002945838204972091,0.002945838204972091,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-006.csv,7c334d73c34e2a0190dbfb5fc03779cfa277ef4bb7b9eab03bf093e483933a3d,7923,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7920,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1983779467370397,False,False,3,charge-efficiency-v1
7,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.73490512871966,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,186226.7722553005,193676.557660544,7449.78540524352,0.0,0.0,3.894906903685974,1.1168619413854217,2.778044962300552,71.32506709394079,0.042881039431746495,0.1877229143797598,96485.33212,3.8819767803451595,0.0012579142891595563,0.014055796818925813,2.8138781300147877e-05,0.012676386428219286,0.012648247646919138,0.0,0.0012297755078594084,0.0013794103907065276,0.00014963488284711925,0.010381714457942736,0.010688485940240654,0.0003067714822979177,99.66802484217074,99.99276296710383,3.8950814343572233,-0.0001745306712495065,-0.0044809972501355065,0.0044809972501355065,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-007.csv,6d18b7e14f0c027f5dde7a8ffe4be114660fa2f67910c173f567d1c0a88ba03a,7823,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7820,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19909995160743407,False,False,3,charge-efficiency-v1
8,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.73598263347436,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,217272.8911780416,224729.6191021562,7456.727924114586,0.0,0.0,3.894873607662673,1.1151634889657118,2.7797101186969613,71.36842934333559,0.042862628676502174,0.1877064609581159,96485.33212,3.8820292397847447,0.0014410905161402544,0.014186027904406569,2.7999564244115963e-05,0.012628824845898338,0.012600825281654222,0.0,0.0014130909518961384,0.0015572030585082315,0.00014411210661209313,0.01132321246415733,0.011610687375106529,0.0002874749109491991,99.67022375635865,99.99374709885848,3.8950616520839603,-0.00018804442128717014,-0.004827998036116408,0.004827998036116408,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-008.csv,5c681fbc44e9854dfbfe63b9d296a9acecbc506613845bcce57ebee60bcbe520,7804,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7801,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19948193774070927,False,False,3,charge-efficiency-v1
9,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.73699097244696,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,248325.95340577612,255788.7466221297,7462.793216353571,0.0,0.0,3.894903820882453,1.1135604427521955,2.7813433781302574,71.40980897187083,0.042844700763090805,0.18769036473569534,96485.33212,3.8820783318162966,0.0016173223632349766,0.014316342342819628,2.7870657743327837e-05,0.012586504821790526,0.012558634164047199,0.0,0.0015894517054916488,0.0017298375210291006,0.00014038581553745184,0.012207839681939172,0.0124793787297734,0.0002715390478342291,99.67071101993861,99.99314861381998,3.8950488908437153,-0.00014506996126240068,-0.0037246095907326605,0.0037246095907326605,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-009.csv,a1d4a0b1ab63cdcd9557fef1c3ca265884138bfeb050864cb98ece14f8db4823,7822,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7819,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19978586144827534,False,False,3,charge-efficiency-v1
10,virtual,14.55,3.0000000000000004,2.9885363444129593,4.85,4.868603999814521,0,100.0,20.0,99.73796216815148,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868603999814521,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,279385.0813421581,286854.2307249092,7469.149382751148,0.0,0.0,3.8948806160704983,1.1120523277900447,2.782828288280453,71.44835907930901,0.04282729437514435,0.18767472256640014,96485.33212,3.882125615489213,0.0017885614202345905,0.014443709159962766,2.775125035014308e-05,0.01254615968988965,0.012518408439539507,0.0,0.0017608101698844475,0.0018975494700731166,0.00013673930018866915,0.013045190472020948,0.013303303617561263,0.00025811314554031496,99.6725188307786,99.99392556113865,3.8950388763744814,-0.00015826030398313762,-0.004063290241301534,0.004063290241301534,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-010.csv,d4977702a568c7d9d8a2813f637fbe20bb3891877824944d84a31bfbdefb9742,7826,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7823,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20045448458413728,False,False,3,charge-efficiency-v1
