cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629045,2.9211623998887126,2.9357682118881603,0.014605811999443564,2.9211623998887135,3.894883199851618,0.0,31002.352245677364,event: W10_CAPACITY_WINDOW [experiment],31002.352245677364,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.65347424895336,99.99098416168931,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.345452064478994,2724.890832694341,3013.3999722982776,1640.3903449163172,1799.999999999999,0.0,0.0,0.0,2891.047323601795,18905.278320102152,0.4220000000204891,0.7809999999590218,0.5470000000204891,0.5309999999590218,0.375,0.0,0.0,0.0,0.796000000089407,132.93699999991804,3.3951159320392743,297.15575704163206,296.15,329.5973571204343,296.15,33.44735712043433,4.812232536540663,4.805192880122515,-0.007039656418148077,0.009938049541986516,0.0003559130192555748,0.003478257643266227,0.0038341706625218018,0.0038341706625218018,0.00028644772322329164,0.0002572433222627063,2.920440096058533e-05,0.00028644772322329164,0.0002572433222627063,5.396222951006953e-09,2.029454989731661e-09,-0.19580161680888927,0.0009371029485549798,0.0012172246671298126,0.2483444963605517,0.33499999999999996,0.7499929717278859,0.6649919054559638,2.2803724120249924e-16,2.9357682118881603,1.361416365388055e-15
2,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629045,2.9211623998887126,2.9357682118881603,0.014605811999443564,2.921162399888713,3.8948831998516176,31002.352245677364,62009.68922297184,event: W10_CAPACITY_WINDOW [experiment],62009.68922297184,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.65803657750332,99.99141609866082,SOC_UPPER_BOUND_NOT_REACHED,3,3,28.461512553878915,2724.143413800017,3009.549031438076,1648.8538511996376,1800.0,0.0,0.0,0.0,2891.0473236018006,18905.281844701065,0.4220000000204891,0.8119999999180436,0.5310000001918525,0.5319999998901039,0.3910000000614673,0.0,0.0,0.0,0.796000000089407,134.4529999999795,3.394794719497993,297.15920719155343,296.1808584468186,329.9379424939672,296.15,33.78794249396725,4.805192057017256,4.805191765542676,-2.914745795834506e-07,0.01879816577427107,0.000688087248546178,0.00492174732510795,0.005609834573654128,0.005609834573654128,0.00051953485192461,0.0004906410334191583,2.8893818505451672e-05,0.00051953485192461,0.0004906410334191583,5.766028808980653e-09,2.8715751289266183e-09,-0.19544625458951584,0.0018741493237115492,0.002410028843101486,0.24757206503743484,0.33499999999999996,0.7499859438800722,0.6649839733081936,2.2803724120249924e-16,2.9357682118881603,1.361416365388055e-15
3,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629036,2.9211623998887135,2.935768211888161,0.014605811999443568,2.921162399888715,3.8948831998516185,62009.68922297184,93026.79005791526,event: W10_CAPACITY_WINDOW [experiment],93026.79005791526,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.66116414023162,99.99215644261861,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.90272591372519,2732.175049643428,3006.757639266156,1653.9346284809199,1800.0,0.0,0.0,0.0,2891.047323601786,18905.283468037407,0.4059999999590218,0.7339999999385327,0.5470000000204891,0.5779999999795109,0.4839999999385327,0.0,0.0,0.0,0.7970000000204891,135.07800000021234,3.3945253884929194,297.1619059737364,296.180847608596,329.8750394046761,296.15,33.725039404676124,4.805190925740856,4.805190485269182,-4.4047167424565714e-07,0.027191563076570446,0.0010002917200698756,0.0060293312932798255,0.007029623013349701,0.007029623013349701,0.0007388314314494351,0.0007101722661317562,2.8659165317678923e-05,0.0007388314314494351,0.0007101722661317562,6.113612318946362e-09,3.5177289872635052e-09,-0.1962573692898749,0.0028111603891005643,0.0035990802576719716,0.24695253125637864,0.33499999999999996,0.7499789162970818,0.6649760661162867,6.841117236074977e-16,2.935768211888161,1.3614163653880547e-15
4,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629045,2.9211623998887126,2.9357682118881603,0.014605811999443564,2.9211623998888583,3.894883199851763,93026.79005791526,124051.11227018577,event: W10_CAPACITY_WINDOW [experiment],124051.11227018577,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.66259481906458,99.99170937638763,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.476128910728235,2738.2836149876493,3004.2703535722862,1657.9603334028134,1800.0,0.0,0.0,0.0,2891.0473236018006,18905.28445779522,0.4220000000204891,0.7649999998975545,0.5630000000819564,0.5309999999590218,0.39099999982863665,0.0,0.0,0.0,0.8279999999795109,149.17199999978766,3.3942854572260144,297.1642138990963,296.1808498397166,329.81066806149414,296.15,33.660668061494164,4.805227591538132,4.805191237314977,-3.635422315451109e-05,0.03520604353039403,0.001295727942712389,0.006963083890008637,0.008258811832721025,0.008258811832721025,0.0009474829587224464,0.000919019157596614,2.8463801125832395e-05,0.0009474829587224464,0.000919019157596614,6.442536640402485e-09,4.0624699356591725e-09,-0.19730491059936642,0.0037481527268710124,0.004785171604694938,0.24641507528095677,0.33499999999999996,0.7499718888545486,0.664968178608829,2.2803724120249924e-16,2.9357682118881603,1.361416365388055e-15
5,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629041,2.921162399888713,2.935768211888161,0.014605811999443566,2.9211623998887135,3.8948831998516176,124051.11227018577,155082.83745387493,event: W10_CAPACITY_WINDOW [experiment],155082.83745387493,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.66575640106792,99.99325072330596,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.118638906054937,2744.967523503347,3001.9663797184303,1661.34012837935,1800.0,0.0,0.0,0.0,2891.047323601786,18905.2851895802,0.40699999989010394,0.796000000089407,0.5629999998491257,0.5470000000204891,0.6720000000204891,0.0,0.0,0.0,0.7810000001918525,135.31300000008196,3.394065349614014,297.1662761626881,296.1808582447698,329.75877764176045,296.15,33.60877764176047,4.805182227061103,4.805192146574408,9.919513304978977e-06,0.04288535488242928,0.0015768472093954213,0.007785802969401108,0.00936265017879653,0.00936265017879653,0.0011461973685838577,0.0011179039346365576,2.8293433947300167e-05,0.0011461973685838577,0.0011179039346365576,6.755529949840363e-09,4.542433965004659e-09,-0.19768894669446496,0.004685135740388091,0.0059687591315338295,0.2459317691703978,0.33499999999999996,0.7499648614819472,0.6649603077517755,2.2803724120249924e-16,2.935768211888161,1.5126848504311721e-15
6,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629041,2.921162399888713,2.935768211888161,0.014605811999443566,2.9211623998887135,3.8948831998516176,155082.83745387493,186226.7722553005,event: W10_CAPACITY_WINDOW [experiment],186226.7722553005,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.66914339921686,99.99229983164636,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.805668103306,2855.4845874245016,2999.1912047730684,1666.120156995641,1800.0,0.0,0.0,0.0,2891.047323601786,18905.28586052725,0.43700000015087426,0.75,0.5319999998901039,0.5779999999795109,0.375,0.0,0.0,0.0,0.7970000000204891,135.93700000015087,3.3938600052454024,297.16816349856265,296.18064347919346,331.056732881669,296.15,34.90673288166903,4.805301614539207,4.805192829743044,-0.00010878479616316383,0.04921724302846542,0.0018473050553734919,0.008534409402569243,0.010381714457942736,0.010381714457942736,0.001257914289159556,0.0012297755078594084,2.813878130014766e-05,0.001257914289159556,0.0012297755078594084,7.05666106191953e-09,4.979160543585003e-09,-0.1983779467370397,0.0056221092376347315,0.007143324148344732,0.24548973758605988,0.33499999999999996,0.7499578341807178,0.6649524968944137,2.2803724120249924e-16,2.935768211888161,1.5126848504311721e-15
7,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629045,2.9211623998887126,2.9357682118881603,0.014605811999443564,2.9211623998887126,3.894883199851617,186226.7722553005,217272.8911780416,event: W10_CAPACITY_WINDOW [experiment],217272.8911780416,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.66802484217074,99.99276296710383,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.52330045761978,2758.1876290038836,2997.7640967663083,1667.3103790157074,1800.0,0.0,0.0,0.0,2891.047323601786,18905.286193895823,0.4220000000204891,0.8279999999795109,0.5629999998491257,0.5470000000204891,0.6560000001918525,0.0,0.0,0.0,0.7970000000204891,136.43699999991804,3.3936655761468697,297.16991999991274,296.18087184783604,329.65395826692094,296.15,33.50395826692096,4.805231602005996,4.805196536688497,-3.506531749941644e-05,0.056358474625909594,0.002105039367384211,0.009218173096773117,0.011323212464157328,0.011323212464157328,0.0014410905161402546,0.0014130909518961386,2.7999564244115963e-05,0.0014410905161402546,0.0014130909518961386,7.3436341220979715e-09,5.3780577555260194e-09,-0.19909995160743407,0.006559077196669705,0.008322638668900595,0.24507671527057406,0.33499999999999996,0.7499508069210251,0.664944654452852,2.2803724120249924e-16,2.9357682118881603,1.361416365388055e-15
8,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629041,2.921162399888713,2.935768211888161,0.014605811999443566,2.9211623998888587,3.894883199851763,217272.8911780416,248325.95340577612,event: W10_CAPACITY_WINDOW [experiment],248325.95340577612,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.67022375635865,99.99374709885848,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.26644501908249,2764.940648948819,2995.803534225907,1669.7172959207783,1800.0,0.0,0.0,0.0,2891.047323601786,18905.286980018136,0.40600000019185245,0.7659999998286366,0.5779999999795109,0.7660000000614673,0.39099999982863665,0.0,0.0,0.0,0.7809999999590218,134.9220000000205,3.393482613859174,297.1715732896508,296.18088808682427,329.61407093061615,296.15,33.464070930616174,4.805209045266551,4.805207819990129,-1.225276421656929e-06,0.06327013342951204,0.0023531161612146793,0.00985472352072449,0.01220783968193917,0.01220783968193917,0.0016173223632349766,0.001589451705491649,2.787065774332762e-05,0.0016173223632349766,0.001589451705491649,7.619861819279006e-09,5.749410552733375e-09,-0.19948193774070927,0.007496048545334588,0.009500052697717365,0.2446884017195303,0.33499999999999996,0.7499437796359101,0.6649368246495604,2.2803724120249924e-16,2.935768211888161,1.5126848504311721e-15
9,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629041,2.921162399888713,2.935768211888161,0.014605811999443566,2.921162399888713,3.894883199851617,248325.95340577612,279385.0813421581,event: W10_CAPACITY_WINDOW [experiment],279385.0813421581,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.67071101993861,99.99314861381998,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.02895796217847,2771.021172860619,2993.893819017077,1671.8492665136955,1800.0,0.0,0.0,0.0,2891.047323601786,18905.287396426604,0.4059999999590218,0.7970000000204891,0.5470000000204891,0.5309999999590218,0.3899999998975545,0.0,0.0,0.0,0.7810000001918525,136.35999999986961,3.393305321315978,297.1731608007885,296.1809103120084,329.55958712760986,296.15,33.40958712760988,4.805248440271409,4.80521729017697,-3.115009443899197e-05,0.06999288147927984,0.002592535898438362,0.010452654573582586,0.013045190472020948,0.013045190472020948,0.0017885614202345905,0.0017608101698844475,2.775125035014308e-05,0.0017885614202345905,0.0017608101698844475,7.886457575000809e-09,6.098232595353643e-09,-0.19978586144827534,0.008433025007022366,0.010675706978872768,0.24432058326242026,0.33499999999999996,0.7499367523124474,0.6649290065485907,2.2803724120249924e-16,2.935768211888161,1.5126848504311721e-15
10,virtual,4.868603999814521,0,0.9737207999629043,3.894883199851617,0.9737207999629045,2.9211623998887126,2.9357682118881603,0.014605811999443564,2.921162399888858,3.8948831998517623,279385.0813421581,310450.56554445456,event: W10_CAPACITY_WINDOW [experiment],310450.56554445456,3.894883199851617,EXPECTED_PROTOCOL_EVENT,3.0,2.9885363444129593,99.6725188307786,99.99392556113865,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.807314981579808,2777.441036196972,2992.075832628598,1673.8251989439977,1800.0,0.0,0.0,0.0,2891.047323601786,18905.287495943543,0.40600000019185245,0.75,0.5629999998491257,0.5779999999795109,0.375,0.0,0.0,0.0,0.8279999999795109,136.51600000006147,3.3931327654616137,297.1746536864891,296.18093169465277,329.51206896725785,296.15,33.36206896725787,4.805227613820735,4.805219737820432,-7.876000302609043e-06,0.0765413501006833,0.002824152323885028,0.01101826424765618,0.013842416571541208,0.013842416571541208,0.0019550127258307804,0.0019273744437798336,2.7638282050946802e-05,0.0019550127258307804,0.0019273744437798336,8.14437152451844e-09,6.428198119775549e-09,-0.20045448458413728,0.009370008151549314,0.011849716979668301,0.24397019141978848,0.33499999999999996,0.7499297249388635,0.6649211993820854,2.2803724120249924e-16,2.9357682118881603,1.361416365388055e-15
