cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.009938049541986516,0.0003559130192555748,0.003478257643266227,0.0038341706625218018,0.0038341706625218018,0.00028644772322329164,0.0002572433222627063,2.920440096058533e-05,0.00028644772322329164,0.0002572433222627063,5.396222951006953e-09,2.029454989731661e-09,-0.19580161680888927,329.5973571204343,296.15,33.44735712043433,0.0009371029485549798,0.0012172246671298126,0.2483444963605517,0.33499999999999996,0.7499929717278859,0.6649919054559638
2,virtual,0.01879816577427107,0.000688087248546178,0.00492174732510795,0.005609834573654128,0.005609834573654128,0.00051953485192461,0.0004906410334191583,2.8893818505451672e-05,0.00051953485192461,0.0004906410334191583,5.766028808980653e-09,2.8715751289266183e-09,-0.19544625458951584,329.9379424939672,296.15,33.78794249396725,0.0018741493237115492,0.002410028843101486,0.24757206503743484,0.33499999999999996,0.7499859438800722,0.6649839733081936
3,virtual,0.027191563076570446,0.0010002917200698756,0.0060293312932798255,0.007029623013349701,0.007029623013349701,0.0007388314314494351,0.0007101722661317562,2.8659165317678923e-05,0.0007388314314494351,0.0007101722661317562,6.113612318946362e-09,3.5177289872635052e-09,-0.1962573692898749,329.8750394046761,296.15,33.725039404676124,0.0028111603891005643,0.0035990802576719716,0.24695253125637864,0.33499999999999996,0.7499789162970818,0.6649760661162867
4,virtual,0.03520604353039403,0.001295727942712389,0.006963083890008637,0.008258811832721025,0.008258811832721025,0.0009474829587224464,0.000919019157596614,2.8463801125832395e-05,0.0009474829587224464,0.000919019157596614,6.442536640402485e-09,4.0624699356591725e-09,-0.19730491059936642,329.81066806149414,296.15,33.660668061494164,0.0037481527268710124,0.004785171604694938,0.24641507528095677,0.33499999999999996,0.7499718888545486,0.664968178608829
5,virtual,0.04288535488242928,0.0015768472093954213,0.007785802969401108,0.00936265017879653,0.00936265017879653,0.0011461973685838577,0.0011179039346365576,2.8293433947300167e-05,0.0011461973685838577,0.0011179039346365576,6.755529949840363e-09,4.542433965004659e-09,-0.19768894669446496,329.75877764176045,296.15,33.60877764176047,0.004685135740388091,0.0059687591315338295,0.2459317691703978,0.33499999999999996,0.7499648614819472,0.6649603077517755
6,virtual,0.04921724302846542,0.0018473050553734919,0.008534409402569243,0.010381714457942736,0.010381714457942736,0.001257914289159556,0.0012297755078594084,2.813878130014766e-05,0.001257914289159556,0.0012297755078594084,7.05666106191953e-09,4.979160543585003e-09,-0.1983779467370397,331.056732881669,296.15,34.90673288166903,0.0056221092376347315,0.007143324148344732,0.24548973758605988,0.33499999999999996,0.7499578341807178,0.6649524968944137
7,virtual,0.056358474625909594,0.002105039367384211,0.009218173096773117,0.011323212464157328,0.011323212464157328,0.0014410905161402546,0.0014130909518961386,2.7999564244115963e-05,0.0014410905161402546,0.0014130909518961386,7.3436341220979715e-09,5.3780577555260194e-09,-0.19909995160743407,329.65395826692094,296.15,33.50395826692096,0.006559077196669705,0.008322638668900595,0.24507671527057406,0.33499999999999996,0.7499508069210251,0.664944654452852
8,virtual,0.06327013342951204,0.0023531161612146793,0.00985472352072449,0.01220783968193917,0.01220783968193917,0.0016173223632349766,0.001589451705491649,2.787065774332762e-05,0.0016173223632349766,0.001589451705491649,7.619861819279006e-09,5.749410552733375e-09,-0.19948193774070927,329.61407093061615,296.15,33.464070930616174,0.007496048545334588,0.009500052697717365,0.2446884017195303,0.33499999999999996,0.7499437796359101,0.6649368246495604
9,virtual,0.06999288147927984,0.002592535898438362,0.010452654573582586,0.013045190472020948,0.013045190472020948,0.0017885614202345905,0.0017608101698844475,2.775125035014308e-05,0.0017885614202345905,0.0017608101698844475,7.886457575000809e-09,6.098232595353643e-09,-0.19978586144827534,329.55958712760986,296.15,33.40958712760988,0.008433025007022366,0.010675706978872768,0.24432058326242026,0.33499999999999996,0.7499367523124474,0.6649290065485907
10,virtual,0.0765413501006833,0.002824152323885028,0.01101826424765618,0.013842416571541208,0.013842416571541208,0.0019550127258307804,0.0019273744437798336,2.7638282050946802e-05,0.0019550127258307804,0.0019273744437798336,8.14437152451844e-09,6.428198119775549e-09,-0.20045448458413728,329.51206896725785,296.15,33.36206896725787,0.009370008151549314,0.011849716979668301,0.24397019141978848,0.33499999999999996,0.7499297249388635,0.6649211993820854
11,virtual,0.08294497719506921,0.003048674517519709,0.01155627534171139,0.014604949859231098,0.014604949859231098,0.0021181033345428184,0.0020905721810522203,2.753115349059818e-05,0.0021181033345428184,0.0020905721810522203,8.394392793362385e-09,6.742062400140652e-09,-0.20063113239859356,329.4524156617722,296.15,33.302415661772216,0.010306999369603886,0.013022213495119672,0.24363482193580493,0.33499999999999996,0.7499226975047281,0.6649134022802576
12,virtual,0.08916962372813941,0.003266753873169617,0.012070461767351446,0.015337215640521063,0.015337215640521063,0.0022747000882568807,0.002247270848457747,2.7429239799133497e-05,0.0022747000882568807,0.002247270848457747,8.6372463180264e-09,7.0420271319103564e-09,-0.2010605545137578,329.4380803156277,296.15,33.288080315627724,0.011243999382003267,0.014193085202791167,0.24331276506744254,0.33499999999999996,0.7499156700046351,0.6649056159834016
13,virtual,0.09461861396297877,0.0034798502410387355,0.012565899593985113,0.016045749835023847,0.016045749835023847,0.00237987313496349,0.0023525426161531853,2.7330518810304502e-05,0.00237987313496349,0.0023525426161531853,8.874557077111373e-09,7.331053666195242e-09,-0.2016793361176638,330.8644306271434,296.15,34.71443062714343,0.012181006466846611,0.01536179832713458,0.24300383151719537,0.33499999999999996,0.7499086424514988,0.6648978440411247
14,virtual,0.10057943393830726,0.003686501134363562,0.013040496283353119,0.01672699741771668,0.01672699741771668,0.002528859210257116,0.002501622255914966,2.7236954342149938e-05,0.002528859210257116,0.002501622255914966,9.104696784088705e-09,7.60792127000579e-09,-0.20220017907678067,329.3646133950188,296.15,33.21461339501883,0.013118019090569533,0.016529793992546615,0.24270402077829606,0.33499999999999996,0.7499016148568208,0.6648900768699497
15,virtual,0.10558669561049783,0.0038891383424903333,0.013500869674574778,0.01739000801706511,0.01739000801706511,0.002612838491196361,0.002585693125064771,2.714536613159001e-05,0.002612838491196361,0.002585693125064771,9.330372481059411e-09,7.876490733252862e-09,-0.20988424643980025,330.62404571349464,296.15,34.47404571349466,0.0140550391492269,0.017689189772653435,0.24241577220236446,0.33499999999999996,0.7498945872063809,0.664882366888012
16,virtual,0.11131741506537196,0.0040859947387102,0.013943832775166408,0.018029827513876606,0.018029827513876606,0.0027550237139990683,0.0027279652851755964,2.70584288234719e-05,0.0027550237139990683,0.0027279652851755964,9.549616730871762e-09,8.134902828837826e-09,-0.20249627208196522,329.2964594311153,296.15,33.14645943111532,0.014992064473332789,0.018854495972703944,0.24213406189861106,0.33499999999999996,0.7498875595164501,0.6648746176017817
