cycle,mode,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,q_ref_ah,q_ref_node,soh_pct,soc_start_pct,soc_at_charge_end_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,soc_anchor_validation_status,time_start_s,time_end_s,duration_s,post_100_charge_ah,post_100_duration_s,external_charge_ah,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,faraday_constant_c_per_mol,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,accounted_charge_ah,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,reversible_plating_inventory_crosscheck_ah,reversible_plating_crosscheck_error_ah,reversible_plating_crosscheck_status,charge_trace_path,charge_trace_sha256,charge_trace_row_count,charge_integration_method,charge_integration_point_count,primary_status,status_flags,negative_electrode_min_potential_v,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.9030459051401,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,INITIAL_SOC_CONFIGURATION,VALID,0.0,7478.162628994267,7478.162628994267,0.0,0.0,3.9018398501581406,1.1248073974686297,2.777032452689511,71.17238429396221,0.04274926258206297,0.18789371170454514,96485.33212,3.8900862163769823,0.0,0.011625167013874917,0.0,0.011400151821177627,0.011400151821177627,0.0,0.0,0.00022501519269729002,0.00022501519269729002,-8.674676171068103e-19,0.0020797863348657377,0.0020797863348657386,99.698766883508,99.99094063381493,3.903791169725723,-0.0019513195675822104,-0.050010242411746446,0.050010242411746446,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-001.csv,0ea47e3c27e82dbbb4d3c37497d22b4b951446668c7da3cfec291ff781699fa5,7875,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7872,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19573581574334042,False,False,3,charge-efficiency-v1
2,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.76210511084335,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,31074.339034327535,38547.53355210076,7473.194517773221,0.0,0.0,3.8948611698482267,1.1280287590862008,2.7668324107620257,71.03802395272135,0.042986447478632075,0.18787487664949223,96485.33212,3.8832245024709833,0.0002993161013434642,0.011739695581138717,2.8323189504209545e-05,0.011256957140901911,0.011228633951397702,0.0,0.00027099291183925467,0.0004827384402368053,0.00021174552839755065,0.003837964914811993,0.0044642858387262665,0.0006263209239142737,99.7012302398009,99.98952380051426,3.8952912028746924,-0.00043003302646571484,-0.011041036065541514,0.011041036065541514,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-002.csv,f136b9fae873455a48fa291a3a9bdf4f9de948dd5df72a0919703fc4e21ba762,7832,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7829,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19549337561733424,False,False,3,charge-efficiency-v1
3,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.76456704363717,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,62143.711392058,69621.83002177185,7478.118629713842,0.0,0.0,3.894844211821212,1.124894565154997,2.769949646666215,71.11836818168905,0.042963021180134814,0.1878559224693615,96485.33212,3.8833443618670596,0.0005529965623146217,0.01189324656265874,2.8030996817667323e-05,0.011166094516360388,0.011138063519542721,0.0,0.0005249655654969543,0.0007271520462983518,0.00020218648080139743,0.005614672755204717,0.00609507783340495,0.00048040507820023334,99.70474172190895,99.99071114491532,3.895165016945604,-0.00032080512439192077,-0.00823666126152742,0.00823666126152742,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-003.csv,be04adc66a42f509b226fea671ace1943f9d391d2c80bfe21c6cc312776ba27d,7824,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7821,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19633194915272242,False,False,3,charge-efficiency-v1
4,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.76650358230494,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,93218.00877256268,100700.9946150818,7482.985842519117,0.0,0.0,3.894841019869535,1.1224033000920604,2.7724377197774746,71.18230771510007,0.04294128838247531,0.18783770740791533,96485.33212,3.8834386424078526,0.0007942633918840091,0.012051215012300241,2.7811146178143573e-05,0.011093255763524327,0.011065444617346184,0.0,0.0007664522457058655,0.0009579592487759137,0.00019150700307004817,0.00703518027541038,0.007444243779237611,0.0004090635038272311,99.70724408509838,99.9913492529575,3.8951046575320967,-0.00026363766256176646,-0.006768894063116279,0.006768894063116279,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-004.csv,c8b3d45f7a2fa7d8cbf025e4fbc49af8c7f705b07bc64f5384d9d59deae2b121,7822,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7819,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1973205276869869,False,False,3,charge-efficiency-v1
5,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.76808270707372,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,124297.17404797082,131783.87999367132,7486.705945700491,0.0,0.0,3.8948545439529014,1.1202620596158646,2.774592484337037,71.23738391321524,0.042920867981898536,0.1878201554986716,96485.33212,3.883515522224228,0.0010224815106254872,0.012208934306267948,2.7628743004642648e-05,0.011031067602416452,0.01100343885941181,0.0,0.0009948527676208446,0.0011778667038514958,0.00018301393623065126,0.008265021135168167,0.008629036417320214,0.00036401528215204704,99.70887175372754,99.99138394347017,3.895065990302023,-0.00021144634912140248,-0.005428863818539545,0.005428863818539545,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-005.csv,7766bd7329aa29cbb7449d04538cbad32dac3d081b69d3dd98c15f01e78befbc,7844,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7841,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19779404932701478,False,False,3,charge-efficiency-v1
6,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.76948319732615,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,155380.06000079628,162870.48515942416,7490.425158627889,0.0,0.0,3.8948106555867192,1.1183485612269979,2.7764620943597214,71.28618923688016,0.04290143357622888,0.18780326509347012,96485.33212,3.883583705204807,0.001240198385466905,0.012363824577733346,2.7470081620133103e-05,0.010975805228984593,0.010948335147364461,0.0,0.001212728303846772,0.0013880193487487533,0.00017529104490198138,0.009369385892161552,0.009701387509880081,0.0003320016177185293,99.71174592619005,99.99284650117335,3.895039333014792,-0.00022867742807264335,-0.005871336203330662,0.005871336203330662,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-006.csv,4e0c619676e599df0017b44c7417cd8f50ab3e7f74e1a949c461395e123ab1f4,7841,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7838,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19859112188428388,False,False,3,charge-efficiency-v1
7,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.77073496272924,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,186466.66580065925,193960.47111012065,7493.805309461409,0.0,0.0,3.8948304249982058,1.116605683715111,2.7782247412830947,71.33108346519026,0.04288286122032366,0.18778696657829028,96485.33212,3.8836446475041333,0.0014484611030605226,0.012515703802414947,2.7328085448171183e-05,0.010925597471917063,0.010898269386468892,0.0,0.0014211330176123515,0.0015901063304978825,0.00016897331288553107,0.010382382895931797,0.010689987261764233,0.0003076043658324368,99.71280450562678,99.99261821244492,3.8950194945693197,-0.0001890695711139756,-0.004854372347008219,0.004854372347008219,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-007.csv,be3fd38bcbbb86eeeee1bbb6b74fc56daeaed39c1b01ea569bfb6e3b6628efe8,7832,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7829,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1991136731417534,False,False,3,charge-efficiency-v1
8,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.77327857798127,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,217556.6521473194,225096.08066590835,7539.428518588931,0.0,0.0,3.894857840840735,1.1148588938919837,2.7799989469487514,71.37613388088812,0.04286502329515091,0.18777374914824824,96485.33212,3.8837684836172577,0.0016488932979323323,0.0125923505936327,2.719881419507549e-05,0.010874569148419708,0.010847370334224633,0.0,0.0016216944837372568,0.0017177814452129922,9.60869614757354e-05,0.011324648695093462,0.011617061743799707,0.0002924130487062457,99.71528210587826,99.99378701613406,3.8950043539616646,-0.00014651312092972546,-0.003761706509372868,0.003761706509372868,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-008.csv,f8d692fa45cb465106871ad13185a99836db0ce1825054507320f6e6c3788daa,7921,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7918,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1993475417394982,False,False,3,charge-efficiency-v1
9,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.77291855621003,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,248692.2621358042,256193.63018978658,7501.368053982397,0.0,0.0,3.894842538961307,1.1134997960564441,2.781342742904863,71.41091623299882,0.04285019989531501,0.18775827176631357,96485.33212,3.8837509559283694,0.0017750927838316858,0.012743373676619343,2.7076841609568287e-05,0.010835795387811214,0.010808718546201647,0.0,0.0017480159422221175,0.0019075782888081287,0.00015956234658601122,0.012213977660446348,0.012486012668496405,0.0002720350080500575,99.71522383968069,99.99273746027198,3.8949912718292072,-0.00014873286790040297,-0.003818713244825237,0.003818713244825237,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-009.csv,c7f9b08daab23737f73d4c47f9941cf1c73ac591ea40373bdc5d684e728eed10,7837,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7834,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.19974851706549931,False,False,3,charge-efficiency-v1
10,virtual,14.55,3.0000000000000004,2.98859524764611,4.85,4.8685080428538905,0,100.0,20.0,99.77389685526444,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.8685080428538905,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,279789.81173427805,287295.06936802313,7505.257633745092,0.0,0.0,3.8948614990795463,1.1120936749163968,2.7827678241631495,71.44715735901745,0.042833541294128044,0.1877433902522917,96485.33212,3.8837985844965166,0.0019635794516017603,0.012886569935542491,2.6965625528934745e-05,0.01079534963903792,0.010768384013508986,0.0,0.0019366138260728256,0.002091220296504571,0.00015460647043174527,0.013051612512201804,0.013310173220193098,0.00025856070799129376,99.71596128422938,99.99243797065466,3.894980135688449,-0.0001186366089025448,-0.0030459776022993784,0.0030459776022993784,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-010.csv,e33275632ff2ea5ca84d66cc15042adf7d0cf5212977e3c67bd1dc9b48e40454,7890,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7887,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20042937824878457,False,False,3,charge-efficiency-v1
