cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707779,2.9211048257123347,2.9357103498409005,0.014605524128561673,2.9211048257124808,3.8948064342832587,0.0,31074.339034327535,event: W10_CAPACITY_WINDOW [experiment],31074.339034327535,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.698766883508,99.99094063381493,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.342424127871233,2794.636753395111,3011.525245217765,1644.65820625352,1800.0,0.0,0.0,0.0,2890.990342973626,18905.18606235964,0.4220000000204891,0.75,0.5630000000819564,0.5619999999180436,0.375,0.0,0.0,0.0,0.8430000001098961,142.23399999993853,3.3946015443781197,297.1551267139358,296.15,329.42347961267717,296.15,33.27347961267719,4.8121694308125,4.805112711157759,-0.007056719654741528,0.009362606981468957,0.0003565379156175042,0.003481426999194488,0.0038379649148119924,0.0038379649148119924,0.0002993161013434642,0.00027099291183925467,2.8323189504209545e-05,0.0002993161013434642,0.00027099291183925467,5.39688394090884e-09,2.031290991380558e-09,-0.19573581574334042,0.0002960243688931996,0.00038484163921737036,0.24834214100120144,0.33499999999999996,0.7499977798172334,0.6649974408030994,2.280417357540916e-16,2.9357103498409005,1.36144319853189e-15
2,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707779,2.9211048257123347,2.9357103498409005,0.014605524128561673,2.9211048257124816,3.8948064342832596,31074.339034327535,62143.711392058,event: W10_CAPACITY_WINDOW [experiment],62143.711392058,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.7012302398009,99.98952380051426,SOC_UPPER_BOUND_NOT_REACHED,3,3,28.446210875150523,2783.5030586657335,3007.8442593623768,1653.4009888699602,1800.0,0.0,0.0,0.0,2890.9903429736296,18905.187496983614,0.4059999999590218,0.8130000000819564,0.5619999999180436,0.5780000002123415,0.3910000000614673,0.0,0.0,0.0,0.796000000089407,137.21899999980815,3.394271113386206,297.15856931584693,296.1807374557232,329.66389146925883,296.15,33.51389146925885,4.8051866592741765,4.805109620997337,-7.703827683958053e-05,0.017762838811506754,0.0006890889042677501,0.004925583850936967,0.005614672755204717,0.005614672755204717,0.0005529965623146217,0.0005249655654969542,2.8030996817667432e-05,0.0005529965623146217,0.0005249655654969542,5.767069846614089e-09,2.8737766049304077e-09,-0.19549337561733424,0.0005920316077094867,0.0007621257153687111,0.2475680818268145,0.33499999999999996,0.7499955597629423,0.6649949318639929,2.280417357540916e-16,2.9357103498409005,1.36144319853189e-15
3,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707775,2.921104825712335,2.9357103498409014,0.014605524128561675,2.9211048257123355,3.894806434283113,62143.711392058,93218.00877256268,event: W10_CAPACITY_WINDOW [experiment],93218.00877256268,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.70474172190895,99.99071114491532,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.887075017053967,2786.161054402987,3005.2482416988482,1658.8222585949525,1800.0,0.0,0.0,0.0,2890.9903429736296,18905.1884078172,0.4369999999180436,0.7660000000614673,0.5470000000204891,0.546000000089407,0.5,0.0,0.0,0.0,0.7970000000204891,137.76499999989755,3.3940005940847806,297.16126102201565,296.18072419813296,329.5733486908926,296.15,33.423348690892624,4.805167595401516,4.8051081509848945,-5.944441662109057e-05,0.02571593697228991,0.0010015795605988259,0.006033600714811554,0.00703518027541038,0.00703518027541038,0.0007942633918840091,0.0007664522457058654,2.781114617814368e-05,0.0007942633918840091,0.0007664522457058654,6.114928273302623e-09,3.520152256303482e-09,-0.19633194915272242,0.0008880274924933929,0.0011381586421777001,0.2469469790663576,0.33499999999999996,0.7499933397938064,0.6649924312450297,6.841252072622748e-16,2.9357103498409014,1.5127146650354329e-15
4,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707784,2.921104825712334,2.9357103498409005,0.014605524128561672,2.9211048257123355,3.894806434283114,93218.00877256268,124297.17404797082,event: W10_CAPACITY_WINDOW [experiment],124297.17404797082,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.70724408509838,99.9913492529575,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.460235380313954,2789.393285891683,3002.973571585855,1663.1587496612656,1800.0,0.0,0.0,0.0,2890.9903429736296,18905.189089915395,0.43700000015087426,0.7970000000204891,0.5469999997876585,0.5470000000204891,0.375,0.0,0.0,0.0,0.7970000000204891,142.625,3.393761928297008,297.1635625511794,296.18072011892474,329.52139638271217,296.15,33.37139638271219,4.80516298271886,4.805107206410571,-5.577630828934588e-05,0.033258177269473777,0.0012972705840180246,0.006967750551150143,0.008265021135168167,0.008265021135168167,0.0010224815106254872,0.0009948527676208446,2.7628743004642648e-05,0.0010224815106254872,0.0009948527676208446,6.444088601692732e-09,4.0650885283701075e-09,-0.1973205276869869,0.001184016754308459,0.0015132009557987658,0.24640812195386325,0.33499999999999996,0.7499911198743427,0.6649899372136441,2.280417357540916e-16,2.9357103498409005,1.5127146650354335e-15
5,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707779,2.9211048257123347,2.9357103498409005,0.014605524128561673,2.9211048257124816,3.8948064342832596,124297.17404797082,155380.06000079628,event: W10_CAPACITY_WINDOW [experiment],155380.06000079628,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.70887175372754,99.99138394347017,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.10261864255367,2791.9059601619997,3000.907474942644,1666.7898919532927,1800.0,0.0,0.0,0.0,2890.990342973615,18905.189664151345,0.5470000000204891,0.9840000001713634,0.703999999910593,0.6869999999180436,0.4839999999385327,0.0,0.0,0.0,1.0309999999590218,183.9069999998901,3.3935440582120386,297.16561800074385,296.1807251772836,329.46877681078394,296.15,33.31877681078396,4.805179722395071,4.805110822867134,-6.889952793631693e-05,0.04045819036493015,0.0015786027159626044,0.007790783176198949,0.009369385892161554,0.009369385892161554,0.001240198385466905,0.0012127283038467721,2.7470081620132886e-05,0.001240198385466905,0.0012127283038467721,6.757267533759049e-09,4.5451941618913195e-09,-0.19779404932701478,0.001480001782653062,0.0018873795249874092,0.24592350096905136,0.33499999999999996,0.7499888999866302,0.664987448926159,2.280417357540916e-16,2.9357103498409005,1.36144319853189e-15
6,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707775,2.921104825712335,2.9357103498409014,0.014605524128561675,2.921104825712481,3.8948064342832587,155380.06000079628,186466.66580065925,event: W10_CAPACITY_WINDOW [experiment],186466.66580065925,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.71174592619005,99.99284650117335,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.789522417445678,2794.6887754736467,2998.9833148398816,1669.9635458969142,1800.0,0.0,0.0,0.0,2890.990342973615,18905.19029826147,0.5309999999590218,1.0160000000614673,0.625,0.6400000001303852,0.4529999999795109,0.0,0.0,0.0,0.8589999999385327,197.56200000015087,3.393342007993818,297.1675000205545,296.18073395919487,329.41847870757147,296.15,33.26847870757149,4.805138168676959,4.805113600046638,-2.4568630321297746e-05,0.04735668382647873,0.0018474856938080885,0.008534897202123708,0.010382382895931797,0.010382382895931797,0.0014484611030605226,0.0014211330176123515,2.7328085448171183e-05,0.0014484611030605226,0.0014211330176123515,7.0565907241376276e-09,4.979254223728923e-09,-0.19859112188428388,0.0017759840710454,0.0022608033677187223,0.24547847781503873,0.33499999999999996,0.7499866801194672,0.6649849656576049,6.841252072622748e-16,2.9357103498409014,1.5127146650354329e-15
7,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707784,2.921104825712334,2.9357103498409005,0.014605524128561672,2.921104825712481,3.8948064342832596,186466.66580065925,217556.6521473194,event: W10_CAPACITY_WINDOW [experiment],217556.6521473194,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.71280450562678,99.99261821244492,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.50832128205799,2797.3209500583393,2997.1829993570764,1672.7930387639344,1800.0,0.0,0.0,0.0,2890.990342973615,18905.190694225137,0.5,0.9689999998081475,0.625,0.6720000000204891,0.6089999999385327,0.0,0.0,0.0,1.047000000020489,194.14099999982864,3.3931505195662215,297.16925272048957,296.18074565415054,329.3691675252381,296.15,33.219167525238106,4.805156380530891,4.805112318948452,-4.4061582438637004e-05,0.05399686786562086,0.002105437946253729,0.009219210748839734,0.011324648695093462,0.011324648695093462,0.001648893297932332,0.0016216944837372565,2.719881419507549e-05,0.001648893297932332,0.0016216944837372565,7.343748271750354e-09,5.378422543407772e-09,-0.1991136731417534,0.002071964692291317,0.002633526178740908,0.24506413850046016,0.33499999999999996,0.7499844602648079,0.6649824870509116,2.280417357540916e-16,2.9357103498409005,1.5127146650354335e-15
8,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707779,2.9211048257123347,2.9357103498409005,0.014605524128561673,2.9211048257123347,3.8948064342831126,217556.6521473194,248692.2621358042,event: W10_CAPACITY_WINDOW [experiment],248692.2621358042,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.71528210587826,99.99378701613406,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.25136057481902,2842.246033390165,2995.0801828020813,1675.8509418218655,1800.0,0.0,0.0,0.0,2890.990342973615,18905.191126922233,0.4839999999385327,0.8440000000409782,0.5779999999795109,0.6559999999590218,0.5,0.0,0.0,0.0,1.047000000020489,146.90599999995902,3.3929693693581022,297.1708967019496,296.1806869431036,330.69157242644116,296.15,34.54157242644118,4.80519706115419,4.805125885591493,-7.1175562696979e-05,0.059498147702299775,0.002354855908481019,0.009859121751965329,0.012213977660446348,0.012213977660446348,0.0017750927838316858,0.0017480159422221177,2.707684160956807e-05,0.0017750927838316858,0.0017480159422221177,7.621407641262386e-09,5.751682421135773e-09,-0.1993475417394982,0.0023679413547910144,0.003003431744573959,0.24467672687568312,0.33499999999999996,0.7499822404398392,0.6649800271788988,2.280417357540916e-16,2.9357103498409005,1.36144319853189e-15
9,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707784,2.921104825712334,2.9357103498409005,0.014605524128561672,2.921104825712335,3.8948064342831135,248692.2621358042,279789.81173427805,event: W10_CAPACITY_WINDOW [experiment],279789.81173427805,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.71522383968069,99.99273746027198,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.0130399445045,2803.538945911244,2993.9047708129137,1677.9112973137353,1800.0,0.0,0.0,0.0,2890.990342973615,18905.191201517824,0.42199999978765845,0.75,0.5470000000204891,0.5779999999795109,0.3910000000614673,0.0,0.0,0.0,0.7970000000204891,139.43799999984913,3.3927935846115513,297.17245690892497,296.18076392052546,329.2536541426287,296.15,33.10365414262873,4.805185466601585,4.805129645441555,-5.5821160029445593e-05,0.06572017457065726,0.0025943883334494777,0.010457224178752325,0.013051612512201802,0.013051612512201802,0.0019635794516017603,0.0019366138260728258,2.6965625528934528e-05,0.0019635794516017603,0.0019366138260728258,7.888064614166201e-09,6.10054762381619e-09,-0.19974851706549931,0.002663917601381627,0.0033749231382671496,0.24430779841701042,0.33499999999999996,0.7499800206179897,0.6649775567611307,2.280417357540916e-16,2.9357103498409005,1.5127146650354335e-15
10,virtual,4.8685080428538905,0,0.9737016085707781,3.8948064342831126,0.9737016085707779,2.9211048257123347,2.9357103498409005,0.014605524128561673,2.9211048257124936,3.8948064342832716,279789.81173427805,310891.25134429085,event: W10_CAPACITY_WINDOW [experiment],310891.25134429085,3.8948064342831126,EXPECTED_PROTOCOL_EVENT,3.0,2.98859524764611,99.71596128422938,99.99243797065466,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.79120859868559,2807.097579560506,2992.39187182528,1679.9769737606202,1800.0,0.0,0.0,0.0,2890.990342973615,18905.191633294104,0.4059999999590218,0.8440000000409782,0.5309999999590218,0.5779999999795109,0.48499999986961484,0.0,0.0,0.0,0.7969999997876585,136.5470000000205,3.3926263692250247,297.1739451944897,296.18078147724515,329.2153899926089,296.15,33.065389992608914,4.8052102679167366,4.805135787976649,-7.447994008735748e-05,0.07175155888936047,0.002826106947150178,0.011022987900373397,0.013849094847523575,0.013849094847523575,0.00214603709671207,0.002119176393904547,2.6860702807523194e-05,0.00214603709671207,0.002119176393904547,8.14602523185974e-09,6.43054294669177e-09,-0.20042937824878457,0.002959893853159201,0.003745830456480803,0.2439563803118333,0.33499999999999996,0.7499778007961014,0.6649750902274646,2.280417357540916e-16,2.9357103498409005,1.36144319853189e-15
