cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.009362606981468957,0.0003565379156175042,0.003481426999194488,0.0038379649148119924,0.0038379649148119924,0.0002993161013434642,0.00027099291183925467,2.8323189504209545e-05,0.0002993161013434642,0.00027099291183925467,5.39688394090884e-09,2.031290991380558e-09,-0.19573581574334042,329.42347961267717,296.15,33.27347961267719,0.0002960243688931996,0.00038484163921737036,0.24834214100120144,0.33499999999999996,0.7499977798172334,0.6649974408030994
2,virtual,0.017762838811506754,0.0006890889042677501,0.004925583850936967,0.005614672755204717,0.005614672755204717,0.0005529965623146217,0.0005249655654969542,2.8030996817667432e-05,0.0005529965623146217,0.0005249655654969542,5.767069846614089e-09,2.8737766049304077e-09,-0.19549337561733424,329.66389146925883,296.15,33.51389146925885,0.0005920316077094867,0.0007621257153687111,0.2475680818268145,0.33499999999999996,0.7499955597629423,0.6649949318639929
3,virtual,0.02571593697228991,0.0010015795605988259,0.006033600714811554,0.00703518027541038,0.00703518027541038,0.0007942633918840091,0.0007664522457058654,2.781114617814368e-05,0.0007942633918840091,0.0007664522457058654,6.114928273302623e-09,3.520152256303482e-09,-0.19633194915272242,329.5733486908926,296.15,33.423348690892624,0.0008880274924933929,0.0011381586421777001,0.2469469790663576,0.33499999999999996,0.7499933397938064,0.6649924312450297
4,virtual,0.033258177269473777,0.0012972705840180246,0.006967750551150143,0.008265021135168167,0.008265021135168167,0.0010224815106254872,0.0009948527676208446,2.7628743004642648e-05,0.0010224815106254872,0.0009948527676208446,6.444088601692732e-09,4.0650885283701075e-09,-0.1973205276869869,329.52139638271217,296.15,33.37139638271219,0.001184016754308459,0.0015132009557987658,0.24640812195386325,0.33499999999999996,0.7499911198743427,0.6649899372136441
5,virtual,0.04045819036493015,0.0015786027159626044,0.007790783176198949,0.009369385892161554,0.009369385892161554,0.001240198385466905,0.0012127283038467721,2.7470081620132886e-05,0.001240198385466905,0.0012127283038467721,6.757267533759049e-09,4.5451941618913195e-09,-0.19779404932701478,329.46877681078394,296.15,33.31877681078396,0.001480001782653062,0.0018873795249874092,0.24592350096905136,0.33499999999999996,0.7499888999866302,0.664987448926159
6,virtual,0.04735668382647873,0.0018474856938080885,0.008534897202123708,0.010382382895931797,0.010382382895931797,0.0014484611030605226,0.0014211330176123515,2.7328085448171183e-05,0.0014484611030605226,0.0014211330176123515,7.0565907241376276e-09,4.979254223728923e-09,-0.19859112188428388,329.41847870757147,296.15,33.26847870757149,0.0017759840710454,0.0022608033677187223,0.24547847781503873,0.33499999999999996,0.7499866801194672,0.6649849656576049
7,virtual,0.05399686786562086,0.002105437946253729,0.009219210748839734,0.011324648695093462,0.011324648695093462,0.001648893297932332,0.0016216944837372565,2.719881419507549e-05,0.001648893297932332,0.0016216944837372565,7.343748271750354e-09,5.378422543407772e-09,-0.1991136731417534,329.3691675252381,296.15,33.219167525238106,0.002071964692291317,0.002633526178740908,0.24506413850046016,0.33499999999999996,0.7499844602648079,0.6649824870509116
8,virtual,0.059498147702299775,0.002354855908481019,0.009859121751965329,0.012213977660446348,0.012213977660446348,0.0017750927838316858,0.0017480159422221177,2.707684160956807e-05,0.0017750927838316858,0.0017480159422221177,7.621407641262386e-09,5.751682421135773e-09,-0.1993475417394982,330.69157242644116,296.15,34.54157242644118,0.0023679413547910144,0.003003431744573959,0.24467672687568312,0.33499999999999996,0.7499822404398392,0.6649800271788988
9,virtual,0.06572017457065726,0.0025943883334494777,0.010457224178752325,0.013051612512201802,0.013051612512201802,0.0019635794516017603,0.0019366138260728258,2.6965625528934528e-05,0.0019635794516017603,0.0019366138260728258,7.888064614166201e-09,6.10054762381619e-09,-0.19974851706549931,329.2536541426287,296.15,33.10365414262873,0.002663917601381627,0.0033749231382671496,0.24430779841701042,0.33499999999999996,0.7499800206179897,0.6649775567611307
10,virtual,0.07175155888936047,0.002826106947150178,0.011022987900373397,0.013849094847523575,0.013849094847523575,0.00214603709671207,0.002119176393904547,2.6860702807523194e-05,0.00214603709671207,0.002119176393904547,8.14602523185974e-09,6.43054294669177e-09,-0.20042937824878457,329.2153899926089,296.15,33.065389992608914,0.002959893853159201,0.003745830456480803,0.2439563803118333,0.33499999999999996,0.7499778007961014,0.6649750902274646
11,virtual,0.07715061794041844,0.003051401841306929,0.01156275265613167,0.0146141544974386,0.0146141544974386,0.002288925854354919,0.002262165205972649,2.6760648382269988e-05,0.002288925854354919,0.002262165205972649,8.396836800372099e-09,6.745367070659615e-09,-0.20268318588910372,330.2857473694403,296.15,34.13574736944031,0.0032558688496777677,0.004115850583488623,0.2436211130204856,0.33499999999999996,0.7499755809836275,0.66497262959362
12,virtual,0.08286034638319961,0.003269527242231957,0.012076950143086872,0.01534647738531883,0.01534647738531883,0.0024616259983598725,0.0024349598459354805,2.666615242439196e-05,0.0024616259983598725,0.0024349598459354805,8.639669094446533e-09,7.045272151426305e-09,-0.2011154454559922,329.1321583108842,296.15,32.982158310884245,0.003551844298328888,0.0044856832270028235,0.24329810917297945,0.33499999999999996,0.7499733611677626,0.6649701702065406
13,virtual,0.08842760275146588,0.0034817061452628428,0.012570184171203999,0.01605189031646684,0.01605189031646684,0.0026299310953091224,0.002603355377908008,2.6575717401114245e-05,0.0026299310953091224,0.002603355377908008,8.875883430991617e-09,7.332944094968059e-09,-0.20146038593752785,329.09207555324434,296.15,32.942075553244365,0.0038478203955207846,0.004855018859657889,0.24298686120945978,0.33499999999999996,0.7499711413470337,0.6649677141245834
14,virtual,0.09387045744310285,0.003688398106976779,0.013044825556648392,0.01673322366362517,0.01673322366362517,0.0027946959827414336,0.0027682071846791847,2.6488798062248957e-05,0.0027946959827414336,0.0027682071846791847,9.105991312117147e-09,7.609766146179283e-09,-0.20187556986053287,329.0456294555026,296.15,32.895629455502615,0.004143797295569129,0.005223874971690634,0.2426861099024199,0.33499999999999996,0.7499689215202834,0.6649652612314384
15,virtual,0.09918368758746965,0.0038900207867248997,0.013502861571165155,0.017392882357890056,0.017392882357890056,0.0029551212113778677,0.0029287159858765455,2.640522550132222e-05,0.0029551212113778677,0.0029287159858765455,9.330457607450677e-09,7.876897776755453e-09,-0.20213212115571352,329.01966068669583,296.15,32.86966068669585,0.004439775077344166,0.005592282311582153,0.2423948737436328,0.33499999999999996,0.74996670168692,0.6649628113226281
16,virtual,0.10438414576375976,0.004086930255100303,0.013945925366801375,0.018032855621901676,0.018032855621901676,0.003112079546341344,0.0030857552287420474,2.6324317599296567e-05,0.003112079546341344,0.0030857552287420474,9.549678633459947e-09,8.135291857478023e-09,-0.20264353341287825,328.9911756792583,296.15,32.8411756792583,0.004735753803586817,0.005960185974856813,0.242112251966628,0.33499999999999996,0.7499644818464732,0.6649603647632674
17,virtual,0.10948549483254055,0.004279433382032948,0.014375377882308122,0.01865481126434107,0.01865481126434107,0.003266254664672083,0.0032400084299995797,2.6246234672503387e-05,0.003266254664672083,0.0032400084299995797,9.763995942520008e-09,8.385742443501515e-09,-0.20287940340547797,328.9414575199283,296.15,32.791457519928315,0.005031733567847141,0.006327670796949292,0.24183749213512723,0.33499999999999996,0.7499622619982412,0.6649579209892005
18,virtual,0.11449499349095049,0.004467818845704,0.014792414890052001,0.019260233735756,0.019260233735756,0.0034178870768793506,0.0033917167457819678,2.6170331097382857e-05,0.0034178870768793506,0.0033917167457819678,9.973730840440302e-09,8.628947222520535e-09,-0.2032927220780687,328.90072016763963,296.15,32.750720167639656,0.0053277143708783115,0.006694717965118002,0.24156994586632002,0.33499999999999996,0.7499600421422186,0.6649554801255322
19,virtual,0.11891278579582831,0.004653040820096682,0.015199591496268641,0.019852632316365325,0.019852632316365325,0.00352963719365648,0.0035035421807379746,2.6095012918505526e-05,0.00352963719365648,0.0035035421807379746,1.0179945452183698e-08,8.866396780992312e-09,-0.20382065704766422,330.4292063311252,296.15,34.27920633112524,0.005623694621093023,0.007060929892247714,0.24131027764515203,0.33499999999999996,0.7499578222903419,0.6649530448162168
20,virtual,0.12373816629042267,0.00483392758944518,0.015594717809317517,0.0204286453987627,0.0204286453987627,0.003675413661729938,0.003649390705449726,2.6022956280211812e-05,0.003675413661729938,0.003649390705449726,1.0381335414187454e-08,9.096813857776439e-09,-0.20423491707079544,328.841355657824,296.15,32.69135565782403,0.005919675969266791,0.007427160400197863,0.2410556402054731,0.33499999999999996,0.7499556024302306,0.6649506093833388
21,virtual,0.12849212893996764,0.0050113861024312575,0.01598011580867366,0.020991501911104916,0.020991501911104916,0.0038194433833372795,0.0037934906986713227,2.5952684665956835e-05,0.0038194433833372795,0.0037934906986713227,1.0578910285217006e-08,9.321553028669298e-09,-0.20467167979593492,328.7950534522327,296.15,32.64505345223273,0.006215658393458057,0.007792987660664608,0.24080672705986053,0.33499999999999996,0.7499533825620491,0.6649481766320567
22,virtual,0.13317188185649798,0.005185609040194241,0.01635648196036857,0.02154209100056281,0.02154209100056281,0.003961329275867203,0.0039354451619134576,2.58841139537452e-05,0.003961329275867203,0.0039354451619134576,1.0772884521782327e-08,9.541020666115272e-09,-0.20456039574043877,328.75742085620743,296.15,32.607420856207455,0.006511641953849789,0.008158430826469498,0.24056318121000272,0.33499999999999996,0.7499511626853462,0.6649457464350041
