cycle,mode,soc_bin_id,soc_start_pct,soc_end_pct,actual_soc_start_pct,actual_soc_end_pct,soc_coverage_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,soh_pct,q_ref_ah,q_ref_node,lli_pct,negative_lam_pct,positive_lam_pct,external_charge_ah,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,time_start_s,time_end_s,duration_s,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,mean_current_a,mean_voltage_v,maximum_voltage_v,temperature_start_k,temperature_end_k,temperature_mean_k,temperature_max_k,temperature_rise_k,negative_surface_stoichiometry,negative_average_stoichiometry,negative_particle_radial_stoichiometry_gradient,minimum_electrolyte_concentration_mol_m3,negative_reaction_overpotential_v,plating_reaction_overpotential_v,negative_intercalation_current_density_mean_a_m2,negative_intercalation_current_density_max_a_m2,negative_plating_current_density_mean_a_m2,negative_plating_current_density_extreme_a_m2,negative_sei_current_density_mean_a_m2,negative_sei_current_density_max_a_m2,electrolyte_ohmic_loss_mean_v,electrolyte_ohmic_loss_max_v,negative_particle_concentration_overpotential_mean_v,negative_particle_concentration_overpotential_max_v,irreversible_heating_energy_wh,ohmic_heating_energy_wh,reversible_heating_energy_wh,total_heating_energy_wh,soc_crossing_count,soc_crossing_selection_rule,charge_trace_path,trace_start_row,trace_end_row,trace_start_time_s,trace_end_time_s,primary_status,status_flags,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,1.2924955627374852,0.04274926258206297,0.0790790540827406,0.9736922218870097,,,,,0.31872929261924365,0.0,,,8.577417302023157e-05,,,0.0005711636042082357,75.3342796647398,99.99427091021688,-0.0005828895459965011,-0.0450979920396748,0.0450979920396748,SOC_UPPER_BOUND_NOT_REACHED,0.0,400.3544229905359,400.3544229905359,0.11046920719790361,1.1820263555395816,91.45303006194221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7621.8632782397635,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
1,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,0.8502953736689138,0.0790790540827406,0.11540884558341824,0.9736922218870099,,,,,-0.12351361116105358,0.12351361116105358,,,8.644002058586834e-05,,,0.00034111038124933846,114.51223328261268,99.98626795504559,-0.00031078745887769266,-0.03655052920453809,0.03655052920453809,SOC_UPPER_BOUND_NOT_REACHED,400.3544229905359,727.9191468869257,327.56472389638975,0.0,0.8502953736689138,100.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7621.8632782397635,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
1,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,0.7953465250140298,0.11540884558341824,0.15173863708409585,0.9736922218870091,,,,,-0.17850182160429034,0.17850182160429034,,,9.025701053205006e-05,,,0.0007309973330066333,122.42364695939715,99.98037022525394,-0.000665129612227644,-0.0836276505031453,0.0836276505031453,SOC_UPPER_BOUND_NOT_REACHED,727.9191468869257,3601.5680478129525,2873.6489009260267,0.21741799381897728,0.5779285311950525,72.66374002009475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7621.8632782397635,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
1,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7621.8632782397635,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
2,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,1.0637554517674896,0.04298102188937859,0.07931081339005622,0.9736922218870094,,,,,0.09001887244798427,0.0,,,3.8208344133233e-05,,,3.930079145519081e-05,91.53346478922057,99.9958301099729,-3.3151703092482165e-05,-0.0031164778556386,0.0031164778556386,SOC_UPPER_BOUND_NOT_REACHED,31217.970180584616,31530.64069481317,312.670514228553,0.11489898908038403,0.9488564626871057,89.19874028476443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31217.970180584616,38766.2535468327,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
2,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,0.9582188970592174,0.07931081339005622,0.11564060489073384,0.9736922218870094,,,,,-0.015559038216161086,0.015559038216161086,,,2.3888070151107863e-05,,,7.913983178165374e-05,101.61480063431016,99.9910549261101,-1.7314513563682077e-05,-0.0018069476209267505,0.0018069476209267505,SOC_UPPER_BOUND_NOT_REACHED,31530.64069481317,31824.417612653724,293.7769178405547,0.0,0.9582188970592174,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31217.970180584616,38766.2535468327,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
2,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,0.9159841610398953,0.11564060489073384,0.15197039639141147,0.9736922218870094,,,,,-0.057819403625206996,0.057819403625206996,,,4.807281726674714e-05,,,0.00029848058018583194,106.30011558077592,99.98784446469396,-0.00023521061935960486,-0.0256784592314976,0.0256784592314976,SOC_UPPER_BOUND_NOT_REACHED,31824.417612653724,34761.150943114604,2936.733330460879,0.22429387067554848,0.6916902903643468,75.51334616737117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31217.970180584616,38766.2535468327,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
2,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31217.970180584616,38766.2535468327,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
3,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,1.2548584873052107,0.042958747880981765,0.07928853938165939,0.9736922218870094,,,,,0.28110344157040046,0.0,,,6.826146937171295e-05,,,3.896210930555595e-05,77.59378700764886,99.99499355119035,-4.4399730876554244e-05,-0.0035382261287407782,0.0035382261287407782,SOC_UPPER_BOUND_NOT_REACHED,62362.36114255387,62746.95428246418,384.5931399103169,0.11263295372304545,1.1422255335821652,91.02425055394708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62362.36114255387,69971.51540008924,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
3,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.988624058596707,4.85,100.0,4.868461109435048,0,,,,0.8691987556546794,0.07928853938165939,0.11561833088233701,0.9736922218870094,,,,,-0.10458847794220619,0.10458847794220619,,,6.630037274894937e-05,,,6.102443777211003e-05,112.02181498219308,99.98906904672171,-3.231310064488735e-05,-0.003717573274774095,0.003717573274774095,SOC_UPPER_BOUND_NOT_REACHED,62746.95428246418,63071.247377093816,324.2930946296323,0.0,0.8691987556546794,100.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62362.36114255387,69971.51540008924,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,False,False,3,charge-efficiency-v1
