cycle,mode,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,q_ref_ah,q_ref_node,soh_pct,soc_start_pct,soc_at_charge_end_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,soc_anchor_validation_status,time_start_s,time_end_s,duration_s,post_100_charge_ah,post_100_duration_s,external_charge_ah,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,faraday_constant_c_per_mol,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,accounted_charge_ah,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,reversible_plating_inventory_crosscheck_ah,reversible_plating_crosscheck_error_ah,reversible_plating_crosscheck_status,charge_trace_path,charge_trace_sha256,charge_trace_row_count,charge_integration_method,charge_integration_point_count,primary_status,status_flags,negative_electrode_min_potential_v,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.94207471451341,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,INITIAL_SOC_CONFIGURATION,VALID,0.0,7621.8632782397635,7621.8632782397635,0.0,0.0,3.901765935765128,1.123971994554673,2.7777939412104553,71.19324908109168,0.04274926258206297,0.18796320790755622,96485.33212,3.891948817551594,0.0,0.009689821077475876,0.0,0.009350255337948313,0.009350255337948313,0.0,0.0,0.0003395657395275617,0.0003395657395275617,-8.674676171068103e-19,0.002088643762396737,0.002088643762396738,99.74839294885564,99.98803457502906,3.903727282391467,-0.0019613466263388446,-0.05026817750291904,0.05026817750291904,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-001.csv,7d4be7fa8f2b9b6367d7fc9b7fad1a093f55984f5a412ea14ea5b09b1dd3574e,8053,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8050,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.195890040577929,False,False,3,charge-efficiency-v1
2,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.80436898929518,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,31217.970180584616,38766.2535468327,7548.28336624808,0.0,0.0,3.8947959274406223,1.1270559846648265,2.767739942775796,71.06251506724138,0.04298102188937859,0.18794482620059047,96485.33212,3.885244667873879,0.0004096866185485875,0.009790084135564163,2.6423613961044142e-05,0.009225915667031105,0.00919949205307006,0.0,0.00038326300458754335,0.0005641684685330576,0.00018090546394551425,0.0038429673469416105,0.004480622445013761,0.0006376550980721507,99.75476867736637,99.99096826842211,3.8952627204889665,-0.0004667930483441829,-0.01198504509711053,0.01198504509711053,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-002.csv,79b6348b4f12307870eb564fdc6cc8097ad83ecb82aeae614688b227abddb349,7968,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7965,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.19532601895104612,False,False,3,charge-efficiency-v1
3,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.80461534337242,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,62362.36114255387,69971.51540008924,7609.15425753536,0.0,0.0,3.894766871502608,1.1239449078678145,2.7708219636347935,71.14217756930353,0.042958747880981765,0.1879229996918067,96485.33212,3.8852566615263218,0.0006304463641269093,0.0100239159147933,2.6159696167350754e-05,0.009145762485163512,0.009119602788996161,0.0,0.0006042866679595585,0.0008781534296297888,0.00027386676167023025,0.005628108253285638,0.006112173363966061,0.00048406511068042283,99.75582081572402,99.98997097386885,3.895134196187669,-0.0003673246850608436,-0.009431236764092354,0.009431236764092354,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-003.csv,b31884379334e9f766c19751433361df1029470ee0c4f372ce42f8cb8f02e147,7983,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7980,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.19654937782682733,False,False,3,charge-efficiency-v1
4,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.80641185294209,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,93567.6237135646,101182.37247046645,7614.748756901859,0.0,0.0,3.894794338154763,1.1214885455651882,2.7733057925895745,71.20544890962032,0.04293453642638963,0.18790205157811932,96485.33212,3.8853441238960476,0.0009414532462292527,0.010258139763978786,2.5968047364473908e-05,0.009081311317592822,0.009055343270228347,0.0,0.0009154851988647788,0.0011768284463859649,0.0002613432475211861,0.007050294840207727,0.0074626273854597296,0.0004123325452520029,99.7573629455569,99.98986157023442,3.895073142959049,-0.00027880480428610355,-0.007158396055854208,0.007158396055854208,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-004.csv,52f0616446313736954bc58f9c0c3013b59a7c0420cf6d44e64f158628446a63,8067,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8064,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.19720444216849037,False,False,3,charge-efficiency-v1
5,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.80788672516032,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,124778.48128913164,132398.54602340856,7620.0647342769325,0.0,0.0,3.8947767010625634,1.119402699064648,2.7753740019979154,71.25887348665572,0.04291169091891565,0.18788188516065424,96485.33212,3.885415927476406,0.001237679326828215,0.010489660086911646,2.5810156692003365e-05,0.009025873479808275,0.009000063323116272,0.0,0.0012118691701362117,0.0014637866071033712,0.00025191743696715944,0.008281810300613411,0.008648829227644275,0.00036701892703086374,99.75965827299923,99.99073861505481,3.8950349271635205,-0.0002582261009571596,-0.006630061766742904,0.006630061766742904,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-005.csv,9cc4b1a09d329be390bf3523b9961a916740e0187cf0ab3ea2205e1cadd3ad8c,8015,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8012,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.1979760971302691,False,False,3,charge-efficiency-v1
6,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.80915407815115,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,155994.65510162042,163619.44347703058,7624.788375410178,0.0,0.0,3.8947861986247037,1.117563261978558,2.7772229366461456,71.30617176436583,0.042889889527528355,0.18786238590276272,96485.33212,3.8854776280638843,0.0015225666508714723,0.010717138430132651,2.567358563346808e-05,0.008976620076468773,0.008950946490835306,0.0,0.0014968930652380042,0.0017405183536638772,0.00024362528842587295,0.009387800632083177,0.009722588766619585,0.0003347881345364071,99.76099919004267,99.99081787672684,3.895006987977682,-0.00022078935297820124,-0.005668843980605781,0.005668843980605781,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-006.csv,53057eaba92b31cf891a680bba641fa20bad60f73ad0ad811b1bef979efb9c4e,8032,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8029,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.21341581593110076,False,False,3,charge-efficiency-v1
7,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.81033079670458,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,187215.5530253123,194844.89211933175,7629.339094019422,0.0,0.0,3.8948393602283824,1.1159061000726755,2.778933260155707,71.34911104505112,0.0428689287024538,0.18784356257467316,96485.33212,3.8855349161490245,0.0017975124240852637,0.010939869760200522,2.555140300333791e-05,0.00893161078678818,0.008906059383784842,0.0,0.0017719610210819258,0.002008258973412342,0.00023629795233041603,0.010402347585566843,0.010712580766555074,0.0003102331809882314,99.7611083996334,99.98977147299986,3.8949875066661277,-0.00014814643774530012,-0.0038036597672827573,0.0038036597672827573,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-007.csv,99228dddf3b15c8c915e6641f59988b3d0392793977125b1e535f34f7a767e32,8007,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8004,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.1989349883463799,False,False,3,charge-efficiency-v1
8,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.81140486611879,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,218441.00169481372,226073.74030763237,7632.738612818641,0.0,0.0,3.894788570332234,1.1143919341178563,2.780396636214378,71.38761414145785,0.042848756482055765,0.18782534139016896,96485.33212,3.885587206800745,0.0020636910449027203,0.011157072386216736,2.5441414352471783e-05,0.008890061637271197,0.008864620222918725,0.0,0.0020382496305502485,0.0022670107489455387,0.00022876111839529017,0.0113461064019036,0.011636740143452357,0.00029063374154875664,99.76375191193743,99.99135400285563,3.894971221883608,-0.00018265155137386913,-0.004689639708948015,0.004689639708948015,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-008.csv,51e976fca61f4d1e36d770a307d617b4647aa1c75bd6ee533e51dfb7e3cc77aa,8014,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8011,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.19949480661366717,False,False,3,charge-efficiency-v1
9,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.81239038763101,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,249669.85015477493,257306.55082309604,7636.700668321111,0.0,0.0,3.8947634289943642,1.1129900980179306,2.7817733309764336,71.42342228715785,0.042829278519952094,0.18780765361761817,96485.33212,3.885635186532292,0.0023210578475760524,0.011369469327275707,2.5338496524472762e-05,0.008851263172574442,0.00882592467604997,0.0,0.0022957193510515796,0.002518206154701265,0.00022248680364968547,0.012232760541308129,0.01250726178541485,0.00027450124410672086,99.76562780696467,99.99223783956243,3.8949580992560984,-0.00019467026173414226,-0.0049982563840702005,0.0049982563840702005,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-009.csv,76d8fc090a732ebf39969306c19d5a09965aba1abb3c9c4ebefcea62a52f79b2,8022,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8019,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.20047696028828493,False,False,3,charge-efficiency-v1
10,virtual,14.55,3.0000000000000004,2.988624058596707,4.85,4.868461109435048,0,100.0,20.0,99.81327412937657,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.868461109435048,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,280902.66124324955,288545.779577528,7643.118334278479,0.0,0.0,3.894780326877578,1.1116826465130383,2.783097680364539,71.45711559541876,0.04281040606627759,0.1877903864716115,96485.33212,3.885678211155482,0.0025710134965204463,0.011579297374378383,2.5241859522801523e-05,0.008814699103604752,0.00878945724408195,0.0,0.002545771636997645,0.0027645982707736314,0.00021882663377598664,0.013072000203366895,0.013332908577515672,0.00026090837414877686,99.76629963802367,99.9919723719498,3.8949474034074885,-0.00016707652991065913,-0.004289754899850883,0.004289754899850883,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-010.csv,b16153c1f33373d843947e59be205758f2f3a3bfdabecf026ff77e553a29601c,8058,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8055,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED;NON_MONOTONIC_SOC,-0.2077633523795293,False,False,3,charge-efficiency-v1
