cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.9210766656610296,3.894768887548039,0.0,31217.970180584616,event: W10_CAPACITY_WINDOW [experiment],31217.970180584616,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.74839294885564,99.98803457502906,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.33258734793491,2928.7057468581575,3009.162915038654,1656.662028995017,1800.000000000001,0.0,0.0,0.0,2890.962473232128,18905.144429112723,0.4380000000819564,0.7809999999590218,0.5620000001508743,0.5629999998491257,0.4059999999590218,0.0,0.0,0.0,0.7970000000204891,137.3279999999795,3.3943610279055565,297.1541373763345,296.15,327.95356093404513,296.15,31.80356093404515,4.812088703052864,4.805067427460281,-0.007021275592583365,0.01088493355649689,0.00035736233886146575,0.0034856050080801448,0.0038429673469416105,0.0038429673469416105,0.0004096866185485875,0.0003832630045875434,2.6423613961044088e-05,0.0004096866185485875,0.0003832630045875434,5.397801534964835e-09,2.0337284945327374e-09,-0.195890040577929,0.000294409871685275,0.00037853589554970313,0.24833360527353454,0.33499999999999996,0.7499977919259625,0.6649974827362948,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
2,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.921076665661176,3.8947688875481856,31217.970180584616,62362.36114255387,event: W10_CAPACITY_WINDOW [experiment],62362.36114255387,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.75476867736637,99.99096826842211,SOC_UPPER_BOUND_NOT_REACHED,3,3,28.42861585494038,2848.8074584837273,3005.1671621476225,1665.8801297617892,1800.0,0.0,0.0,0.0,2890.9624732321317,18905.14512248904,0.40699999989010394,0.7809999999590218,0.5470000000204891,0.5620000001508743,0.3910000000614673,0.0,0.0,0.0,0.7970000000204891,139.0470000000205,3.3940244991946447,297.1575896330878,296.18043668732525,330.8747371988585,296.15,34.72473719885852,4.805115227227212,4.805064445706496,-5.078152071558151e-05,0.01885520978530053,0.0006918728796854222,0.004936235373600216,0.005628108253285638,0.005628108253285638,0.0006304463641269093,0.0006042866679595585,2.6159696167350754e-05,0.0006304463641269093,0.0006042866679595585,5.77016856619054e-09,2.879990818893384e-09,-0.19532601895104612,0.0005888147413628531,0.0007500432022737868,0.2475578502174236,0.33499999999999996,0.7499955838894399,0.6649950122127051,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
3,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.9210766656611753,3.8947688875481847,62362.36114255387,93567.6237135646,event: W10_CAPACITY_WINDOW [experiment],93567.6237135646,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.75582081572402,99.98997097386885,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.867947312918453,2906.963055154704,3002.6581731308606,1671.665081936877,1800.0,0.0,0.0,0.0,2890.962473232139,18905.145840243218,0.40600000019185245,0.7819999998901039,0.5619999999180436,0.5470000000204891,0.375,0.0,0.0,0.0,0.7810000001918525,137.93800000008196,3.393751249371839,297.160293215616,296.18037913909785,328.6430711533256,296.15,32.493071153325616,4.805085041544035,4.805063818882644,-2.122266139092943e-05,0.027771692524780178,0.0010050845467421106,0.0060452102934656134,0.007050294840207724,0.007050294840207724,0.0009414532462292527,0.0009154851988647788,2.5968047364473908e-05,0.0009414532462292527,0.0009154851988647788,6.1188294691133385e-09,3.5269255608407935e-09,-0.19654937782682733,0.0008832215393113074,0.0011206793797242653,0.2469319873364579,0.33499999999999996,0.7499933758384553,0.664992547482125,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
4,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.9210766656611757,3.894768887548185,93567.6237135646,124778.48128913164,event: W10_CAPACITY_WINDOW [experiment],124778.48128913164,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.7573629455569,99.98986157023442,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.440846558866486,2910.6745790660602,3000.4902652397273,1676.1430660372062,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.146345433066,0.4220000000204891,0.8589999999385327,0.5630000000819564,0.5470000000204891,0.375,0.0,0.0,0.0,0.9059999999590218,139.0,3.3935096814354324,297.1626093020976,296.18037202475665,328.5671621335277,296.15,32.41716213352771,4.805106104955012,4.805057769640959,-4.8335314053460365e-05,0.036252556528253876,0.001301444015005952,0.0069803662856074596,0.008281810300613411,0.008281810300613411,0.001237679326828215,0.0012118691701362115,2.5810156692003582e-05,0.001237679326828215,0.0012118691701362115,6.4487337567358946e-09,4.072449015309522e-09,-0.19720444216849037,0.0011776330601662721,0.0014899858391572707,0.24638847243731704,0.33499999999999996,0.7499911677520489,0.6649900915941698,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
5,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.973692221887009,2.921076665661029,2.9356820489893387,0.014605383328305147,2.9210766656610296,3.8947688875480386,124778.48128913164,155994.65510162042,event: W10_CAPACITY_WINDOW [experiment],155994.65510162042,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.75965827299923,99.99073861505481,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.08285653062204,2914.5042151564203,2998.593116793551,1679.884545796339,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.14660497973,0.4220000000204891,0.8440000000409782,0.5309999999590218,0.7809999999590218,0.375,0.0,0.0,0.0,0.7970000000204891,137.98500000010245,3.3932879917142973,297.16467939832825,296.1803726749917,328.47514886702317,296.15,32.32514886702319,4.8050848753120325,4.805054359112415,-3.0516199617913742e-05,0.04437886406955727,0.0015834043919932227,0.0078043962400899496,0.009387800632083172,0.009387800632083172,0.001522566650871472,0.001496893065238004,2.567358563346808e-05,0.001522566650871472,0.001496893065238004,6.76261189631491e-09,4.553136707349677e-09,-0.1979760971302691,0.0014720507735574984,0.001858054621649785,0.2458992631887414,0.33499999999999996,0.7499889596191984,0.6649876439367662,5.701098353612968e-16,2.9356820489893387,1.5127292480565086e-15
6,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.9210766656610296,3.894768887548039,155994.65510162042,187215.5530253123,event: W10_CAPACITY_WINDOW [experiment],187215.5530253123,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.76099919004267,99.99081787672684,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.769382337849557,2918.102039876069,2996.8933856553385,1683.0235675409212,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.14707504958,0.4220000000204891,0.8910000000614673,0.5470000000204891,0.5309999999590218,0.375,0.0,0.0,0.0,0.8279999999795109,138.2029999999795,3.393082630174795,297.16657854369714,296.1803810976611,328.38633428786375,296.15,32.23633428786377,4.805092070542223,4.8050523860860785,-3.9684456144328806e-05,0.052196175447818405,0.0018528777365509844,0.008549469849015856,0.01040234758556684,0.01040234758556684,0.0017975124240852637,0.0017719610210819258,2.555140300333791e-05,0.0017975124240852637,0.0017719610210819258,7.062592126804736e-09,4.987756828862274e-09,-0.21341581593110076,0.0017664755204549465,0.002225009066592065,0.24544971236666346,0.33499999999999996,0.7499867514335967,0.6649852036897074,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
7,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.973692221887009,2.921076665661029,2.9356820489893387,0.014605383328305147,2.921076665661029,3.894768887548038,187215.5530253123,218441.00169481372,event: W10_CAPACITY_WINDOW [experiment],218441.00169481372,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.7611083996334,99.98977147299986,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.487810616480466,2921.694528242894,2995.352013024198,1685.8047421358497,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.147102249844,0.4369999999180436,0.8280000002123415,0.5319999998901039,0.5930000001098961,0.3910000000614673,0.0,0.0,0.0,0.7970000000204891,138.03099999995902,3.392886549027085,297.168353648125,296.18039110494044,328.3042846613212,296.15,32.15428466132124,4.805145099629195,4.805052272926537,-9.282670265786663e-05,0.05974167375698869,0.0021113919783794276,0.009234714423524169,0.011346106401903595,0.011346106401903595,0.0020636910449027207,0.0020382496305502485,2.5441414352472217e-05,0.0020636910449027207,0.0020382496305502485,7.3503751231869455e-09,5.387468568741089e-09,-0.1989349883463799,0.002060907720249361,0.0025909203350522603,0.24503092403068444,0.33499999999999996,0.7499845431920983,0.664982770379772,5.701098353612968e-16,2.9356820489893387,1.5127292480565086e-15
8,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.921076665661029,3.8947688875480386,218441.00169481372,249669.85015477493,event: W10_CAPACITY_WINDOW [experiment],249669.85015477493,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.76375191193743,99.99135400285563,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.23039137990575,2924.337116952326,2993.945375873528,1688.2257286128806,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.14737391044,0.4369999999180436,0.8600000001024455,0.546000000089407,0.5629999998491257,0.6560000001918525,0.0,0.0,0.0,0.7970000000204891,138.5779999999795,3.392701133117792,297.1700106973544,296.18040506626573,328.2397921564369,296.15,32.08979215643694,4.805089063554037,4.805047217140848,-4.1846413189716714e-05,0.06703183219339337,0.002360181288528538,0.009872579252779592,0.012232760541308129,0.012232760541308129,0.0023210578475760524,0.0022957193510515796,2.5338496524472762e-05,0.0023210578475760524,0.0022957193510515796,7.627334585377282e-09,5.759535101467939e-09,-0.19949480661366717,0.0023553475759001685,0.0029559644237480143,0.24463705257961038,0.33499999999999996,0.7499823348931809,0.6649803428365822,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
9,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.9736922218870094,2.9210766656610287,2.9356820489893374,0.014605383328305145,2.92107666566103,3.8947688875480395,249669.85015477493,280902.66124324955,event: W10_CAPACITY_WINDOW [experiment],280902.66124324955,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.76562780696467,99.99223783956243,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.9923442633274,2927.707679784601,2992.63978872836,1690.3608555448227,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.14794692138,0.4220000000204891,0.7970000000204891,0.5620000001508743,0.578999999910593,0.375,0.0,0.0,0.0,0.8129999998491257,139.56300000008196,3.392525088843186,297.17158635279526,296.1804215484421,328.1687376561752,296.15,32.01873765617523,4.805061621743424,4.805045317892072,-1.630385135253931e-05,0.07409997802160717,0.0026002707178387867,0.01047172948552811,0.013072000203366897,0.013072000203366897,0.0025710134965204463,0.002545771636997645,2.5241859522801523e-05,0.0025710134965204463,0.002545771636997645,7.894611448298814e-09,6.1090118909193535e-09,-0.20047696028828493,0.0026497952314770146,0.0033201396125974725,0.2442638753168994,0.33499999999999996,0.7499801265357641,0.6649779210715764,1.1402196707225935e-16,2.9356820489893374,1.210183398445207e-15
10,virtual,4.868461109435048,0,0.9736922218870095,3.894768887548038,0.973692221887009,2.921076665661029,2.9356820489893387,0.014605383328305147,2.92107666566103,3.894768887548039,280902.66124324955,312141.8903542409,event: W10_CAPACITY_WINDOW [experiment],312141.8903542409,3.894768887548038,EXPECTED_PROTOCOL_EVENT,3.0,2.988624058596707,99.76629963802367,99.9919723719498,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.77015545778374,2933.6608385714285,2991.4241365246885,1692.2632037245785,1800.0,0.0,0.0,0.0,2890.9624732321245,18905.14830348076,0.4059999999590218,0.8590000001713634,0.5469999997876585,0.5780000002123415,0.375,0.0,0.0,0.0,0.7970000000204891,141.31300000008196,3.3923542415927814,297.1730881032824,296.18043901707983,328.05814851579385,296.15,31.90814851579387,4.805075544993004,4.805042593005062,-3.295198794184273e-05,0.08099529441889786,0.002832519507122734,0.011038479608056241,0.013870999115178976,0.013870999115178976,0.0028162868770485886,0.002791136005743899,2.515087130468968e-05,0.0028162868770485886,0.002791136005743899,8.153162089122903e-09,6.439582991974592e-09,-0.2077633523795293,0.0029442508174923887,0.0036832885634652257,0.24390816807435312,0.33499999999999996,0.7499779181188689,0.6649755061310532,5.701098353612968e-16,2.9356820489893387,1.5127292480565086e-15
