cycle,mode,soc_bin_id,soc_start_pct,soc_end_pct,actual_soc_start_pct,actual_soc_end_pct,soc_coverage_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,soh_pct,q_ref_ah,q_ref_node,lli_pct,negative_lam_pct,positive_lam_pct,external_charge_ah,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,time_start_s,time_end_s,duration_s,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,mean_current_a,mean_voltage_v,maximum_voltage_v,temperature_start_k,temperature_end_k,temperature_mean_k,temperature_max_k,temperature_rise_k,negative_surface_stoichiometry,negative_average_stoichiometry,negative_particle_radial_stoichiometry_gradient,minimum_electrolyte_concentration_mol_m3,negative_reaction_overpotential_v,plating_reaction_overpotential_v,negative_intercalation_current_density_mean_a_m2,negative_intercalation_current_density_max_a_m2,negative_plating_current_density_mean_a_m2,negative_plating_current_density_extreme_a_m2,negative_sei_current_density_mean_a_m2,negative_sei_current_density_max_a_m2,electrolyte_ohmic_loss_mean_v,electrolyte_ohmic_loss_max_v,negative_particle_concentration_overpotential_mean_v,negative_particle_concentration_overpotential_max_v,irreversible_heating_energy_wh,ohmic_heating_energy_wh,reversible_heating_energy_wh,total_heating_energy_wh,soc_crossing_count,soc_crossing_selection_rule,charge_trace_path,trace_start_row,trace_end_row,trace_start_time_s,trace_end_time_s,primary_status,status_flags,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,1.030440579915221,0.04274926258206297,0.07904529164511757,0.9727873385516655,,,,,0.05757946440591699,0.0,,,1.4701614603679002e-05,,,0.0014905959060687024,94.40499117685187,99.9928402511434,-0.0014315205630339722,-0.1389231549044536,0.1389231549044536,SOC_UPPER_BOUND_NOT_REACHED,0.0,290.62529083214224,290.62529083214224,0.10994142642059652,0.9204991534946245,89.33063889723347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7467.237401700683,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,0.9645397549634951,0.07904529164511757,0.11534132070817216,0.972787338551665,,,,,-0.008413656477083704,0.008413656477083704,,,1.4200638222867116e-05,,,0.0012450435867443074,100.8550796943027,99.98278216236717,-0.0010931713360533557,-0.11333605799324767,0.11333605799324767,SOC_UPPER_BOUND_NOT_REACHED,290.62529083214224,578.3604653439219,287.73517451177963,0.0,0.9645397549634951,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7467.237401700683,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,0.9380668270576048,0.11534132070817216,0.15163734977122675,0.9727873385516654,,,,,-0.035313307080555176,0.035313307080555176,,,5.9135749056619325e-05,,,0.002901856417710424,103.7012833726321,99.9368066784374,-0.0023681965802725413,-0.2524549970177247,0.2524549970177247,SOC_UPPER_BOUND_NOT_REACHED,578.3604653439219,3435.4796560638993,2857.1191907199773,0.21312825897401144,0.7249385680835934,77.28005587378865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7467.237401700683,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7467.237401700683,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,1.0620543648400758,0.04303313983310736,0.07932916889616196,0.9727873385516654,,,,,0.0892288415541991,0.0,,,1.1369787209279973e-05,,,0.0001469432601074929,91.59487223595639,99.99640463468958,-0.00012012831310559413,-0.01131093822336327,0.01131093822336327,SOC_UPPER_BOUND_NOT_REACHED,31056.74330866438,31368.171215978287,311.42790731390943,0.10147726827856679,0.9605770965615089,90.44519078890586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31056.74330866438,38558.39011001038,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,0.9672201185052641,0.07932916889616196,0.11562519795921655,0.9727873385516654,,,,,-0.005714386029600796,0.005714386029600796,,,1.6890555942035093e-05,,,0.00029730213997211825,100.57558976905949,99.98478464411731,-0.0001670267127146241,-0.017268738472142837,0.017268738472142837,SOC_UPPER_BOUND_NOT_REACHED,31368.171215978287,31682.50668031541,314.3354643371236,0.0,0.9672201185052641,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31056.74330866438,38558.39011001038,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,0.9049363013935544,0.11562519795921655,0.15192122702227115,0.9727873385516654,,,,,-0.06824116844295162,0.06824116844295162,,,5.685342360214974e-05,,,0.0010618212974934163,107.49787991194785,99.95688853632684,-0.000728543436255058,-0.08050770370612156,0.08050770370612156,SOC_UPPER_BOUND_NOT_REACHED,31682.50668031541,34548.587214558764,2866.080534243354,0.2253063443324478,0.6796299570611066,75.10251893028406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31056.74330866438,38558.39011001038,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31056.74330866438,38558.39011001038,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,1.068470290246964,0.0429488779320397,0.07924490699509429,0.9727873385516652,,,,,0.0956575824170855,0.0,,,1.0006451435084151e-05,,,0.00011106848987178092,91.04486548959795,99.99762564495757,-9.57056630934705e-05,-0.008957260109810756,0.008957260109810756,SOC_UPPER_BOUND_NOT_REACHED,62147.904483588834,62469.37142098065,321.46693739181205,0.09491838814699576,0.9735519020999683,91.11642232700206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62147.904483588834,69714.70245576143,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.9914040661061176,4.85,100.0,4.863936692758327,0,,,,0.9659261129971555,0.07924490699509429,0.11554093605814889,0.9727873385516654,,,,,-0.006990154997035564,0.006990154997035564,,,1.4614605229189878e-05,,,0.00022226847445901143,100.71032612766005,99.98665224588187,-0.00010795363716264994,-0.011176179596975845,0.011176179596975845,SOC_UPPER_BOUND_NOT_REACHED,62469.37142098065,62792.86448272958,323.4930617489364,0.0,0.9659261129971555,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62147.904483588834,69714.70245576143,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
