cycle,mode,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,q_ref_ah,q_ref_node,soh_pct,soc_start_pct,soc_at_charge_end_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,soc_anchor_validation_status,time_start_s,time_end_s,duration_s,post_100_charge_ah,post_100_duration_s,external_charge_ah,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,faraday_constant_c_per_mol,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,accounted_charge_ah,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,reversible_plating_inventory_crosscheck_ah,reversible_plating_crosscheck_error_ah,reversible_plating_crosscheck_status,charge_trace_path,charge_trace_sha256,charge_trace_row_count,charge_integration_method,charge_integration_point_count,primary_status,status_flags,negative_electrode_min_potential_v,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.93057518950555,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,INITIAL_SOC_CONFIGURATION,VALID,0.0,7467.237401700683,7467.237401700683,0.0,0.0,3.9018597143998663,1.1221932726277217,2.779666441772145,71.23952794903795,0.04274926258206297,0.18780738658731116,96485.33212,3.887772575375144,0.0,0.012975347840063767,0.0,0.012825075557012835,0.012825075557012835,0.0,0.0,0.0001502722830509323,0.0001502722830509323,-8.674676171068103e-19,0.007286584745559401,0.007286584745559402,99.63896346727347,99.96765482205699,3.908034507960767,-0.006174793560900671,-0.15825257730595776,0.15825257730595776,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-001.csv,3fa7f2ed8663e602b9b9c6dfc2964951bca1e55add9d7daf9811d2bbc8b7f5b7,7891,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7888,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.1960100983368847,False,False,3,charge-efficiency-v1
2,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.72702772574921,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,31056.74330866438,38558.39011001038,7501.646801346004,0.0,0.0,3.8911011899856636,1.1080988491496035,2.78300234083606,71.52222995378627,0.04303313983310736,0.18772186560534498,96485.33212,3.8778721555983195,0.00021639870952787013,0.012706975708211271,2.924126901584736e-05,0.012392380733107038,0.012363139464091191,0.0,0.00018715744051202277,0.000314594975104233,0.00012743753459221023,0.01384676622333814,0.016177102226833016,0.002330336003494877,99.66001823798901,99.97774678989379,3.8926930686004977,-0.001591878614834119,-0.04091074832314973,0.04091074832314973,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-002.csv,28e691fcbd7d4ff3dd5e05a428b3c27af536e08ebeffbde429a18c0b978105ef,7848,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7845,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20292643474832223,False,False,3,charge-efficiency-v1
3,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.7370325046492,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,62147.904483588834,69714.70245576143,7566.797972172593,0.0,0.0,3.891113719294877,1.0976208152936093,2.7934929040012673,71.79160275242448,0.0429488779320397,0.1876557603915635,96485.33212,3.8783587817102667,0.00036818083187056176,0.012534113188097617,2.826343578373429e-05,0.012088347918367381,0.012060084482583647,0.0,0.00033991739608682747,0.00044576526973023596,0.00010584787364340849,0.0204183570570148,0.02217560291453761,0.0017572458575228107,99.67220342285648,99.98214256503014,3.8922819599240164,-0.0011682406291395608,-0.030023297015109137,0.030023297015109137,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-003.csv,fe4e251dae0b48b91ed889e0fa3ada4daef0602aeffd363aaf9fe60c2435056e,7942,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7939,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20384420359164174,False,False,3,charge-efficiency-v1
4,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.74402768973697,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,93304.21826796686,100932.1042302398,7627.885962272933,0.0,0.0,3.8911127726825208,1.0897875838178865,2.8013251888646344,71.99290672147264,0.042879878916288534,0.18759945624787472,96485.33212,3.878699023084477,0.0004934358150850474,0.012403135042033005,2.7524538213975194e-05,0.011844169200669299,0.011816644662455324,0.0,0.0004659112768710722,0.0005589658413637054,9.305456449263321e-05,0.025573686209143895,0.02704791352438967,0.0014742273152457755,99.68097173422487,99.98465464841368,3.892082949626671,-0.0009701769441501362,-0.024933148968625224,0.024933148968625224,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-004.csv,51ffed9771f507880f3f052ad5ecb8208e87405009d957031445a7dfbe791e6e,7963,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,7960,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.21932840509063822,False,False,3,charge-efficiency-v1
5,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.74959643681431,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,124521.62159006082,132207.30392878118,7685.6823387203685,0.0,0.0,3.891107932219151,1.0832899407590812,2.80781799146007,72.15985884664818,0.04281971031406911,0.18754939381594352,96485.33212,3.878969883416899,0.0006029130190573834,0.012296586393072795,2.690437936165202e-05,0.011635774890669524,0.011608870511307871,0.0,0.0005760086396957314,0.000660811502403271,8.480286270753955e-05,0.02996702023663662,0.031264302371276476,0.0012972821346398551,99.68805674338287,99.98640031836273,3.891960838925554,-0.0008529067064029228,-0.021919379294022785,0.021919379294022785,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-005.csv,934d4622603a4a26f4ffc4c3f2869558e448bca69078023546411483757672ca,8018,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8015,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.20876444920237866,False,False,3,charge-efficiency-v1
6,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.75423720749593,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,155796.8225172654,163537.79669792482,7740.974180659421,0.0,0.0,3.8911945495395597,1.0776004171190894,2.8135941324204703,72.30669391108701,0.04276553809695526,0.18750364367620642,96485.33212,3.879195607564909,0.0007020880872504247,0.012208382273183719,2.635804312462039e-05,0.011453154908885889,0.011426796865761268,0.0,0.0006757300441258043,0.0007552273642978311,7.949732017202679e-05,0.03386357932714744,0.035036865660938464,0.0011732863337910251,99.69163860038634,99.9852964147229,3.8918751880846334,-0.0006806385450737196,-0.01749176342658731,0.01749176342658731,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-006.csv,a86790a210320c29661d3122767b2ea05e7c81f9aea90ad13a1b09bdbf196cf5,8074,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8074,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.21074732747652963,False,False,3,charge-efficiency-v1
7,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.75857066217625,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,187127.31589596134,194921.60752323156,7794.291627270234,0.0,0.0,3.8911422518397156,1.0725004061972767,2.8186418456424387,72.4373889006447,0.04271572293893725,0.18746169287803938,96485.33212,3.879406384057168,0.0007944382353868467,0.012126897410575505,2.586291446125019e-05,0.011283693227433686,0.011257830312972436,0.0,0.0007685753209255965,0.00084320418314182,7.462886221622353e-05,0.03740294619590838,0.038483322057807016,0.0010803758618986373,99.69839530340997,99.98771472645727,3.891819219094255,-0.0006769672545394734,-0.01739764857528419,0.01739764857528419,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-007.csv,7bc0e6952f6650b7d85ba0b075d416cf3d9bc427b311118074b1d12363addb4c,8159,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8171,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.22079463242020791,False,False,3,charge-efficiency-v1
8,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.76276831224604,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,218511.12775504572,226358.77077005783,7847.643015012111,0.0,0.0,3.891126974247545,1.0677660880332431,2.823360886214302,72.55895027070596,0.042669610327152774,0.1874231981677014,96485.33212,3.8796105550991467,0.0008807341397557694,0.01205132141496069,2.5405137711377503e-05,0.0111242573055893,0.011098852167877923,0.0,0.0008553290020443919,0.0009270641093713893,7.17351073269974e-05,0.04066958060797838,0.04167697935810573,0.0010073987501273488,99.70403383840679,99.98926873928083,3.8917885411244795,-0.0006615668769343053,-0.017001934948736468,0.017001934948736468,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-008.csv,0d4241854538eb8543c12406fdb3f52f563ec6fdcac45e1167e125344a187409,8191,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8200,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.22107592146963131,False,False,3,charge-efficiency-v1
9,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.76701758796752,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,249948.29214226676,257849.39144138322,7901.099299116472,0.0,0.0,3.8911631241157165,1.0633568569983283,2.827806267117388,72.67251916507662,0.04262692431731618,0.18738822374961897,96485.33212,3.8798172371801396,0.0009631780482923579,0.011971551381521246,2.497678284293914e-05,0.010964768579082813,0.010939791796239873,0.0,0.0009382012654494188,0.0010067828024384329,6.858153698901409e-05,0.04371907248973014,0.04466746339210961,0.0009483909023794701,99.70841913911909,99.98956365676833,3.891774001415748,-0.0006108773000312873,-0.01569909254755573,0.01569909254755573,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-009.csv,bc16c553276845b20134a4f28d9d4ef3d027e7d91c2c7d5159284154375d1d23,8235,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8241,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.22168718374770033,False,False,3,charge-efficiency-v1
10,virtual,14.55,3.0000000000000004,2.9914040661061176,4.85,4.863936692758327,0,100.0,20.0,99.77109627939974,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.863936692758327,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,VALID,281438.9129795743,289394.47469787137,7955.561718297082,0.0,0.0,3.8912686719506757,1.059163588244109,2.832105083706567,72.78102137025776,0.04258746553558053,0.18735616698302152,96485.33212,3.8800156221492967,0.0010416709276242374,0.011890751608483062,2.4572101020674513e-05,0.010807297817813102,0.010782725716792427,0.0,0.0010170988266035629,0.0010834537906699595,6.635496406639661e-05,0.04659060496946074,0.047489991608655344,0.000899386639194602,99.71081282866706,99.98791334846712,3.89176408946935,-0.0004954175186742127,-0.012731516645080744,0.012731516645080744,SOC_UPPER_BOUND_NOT_REACHED,,,,charge_timeseries/cycle-010.csv,01a1f0523d9798bcf4237e2d0ab6b3b436869e0bfed08bc42d7a96469e560fbc,8318,STAGE_LOCAL_TRAPEZOID_WITH_EXACT_SOC_BOUNDARIES_V1,8327,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,-0.22167318268902297,False,False,3,charge-efficiency-v1
