cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516652,2.9183620156549965,2.9329538257332746,0.014591810078274982,2.9183620156551853,3.8911493542068505,0.0,31056.74330866438,event: W10_CAPACITY_WINDOW [experiment],31056.74330866438,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.63896346727347,99.96765482205699,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.202002413343465,2775.484472366893,3005.4487804912574,1659.102146429189,1800.0,0.0,0.0,0.0,2888.275809308627,18901.23009765507,0.4059999999590218,0.7970000000204891,0.5470000000204891,0.5309999999590218,0.375,0.0,0.0,0.0,0.8119999999180436,134.875,3.4072052418191463,297.158428502722,296.15,330.246242246217,296.15,34.096242246217,4.8121948784828135,4.801470231382757,-0.010724647100056828,0.042147048553317745,0.002825575571078383,0.011021190652259757,0.01384676622333814,0.01384676622333814,0.00021639870952787013,0.00018715744051202277,2.924126901584736e-05,0.00021639870952787013,0.00018715744051202277,8.145216772521112e-09,6.429912001447891e-09,-0.1960100983368847,0.0002963386991865491,0.00038408476412143955,0.24406927725870614,0.33499999999999996,0.7499977774597562,0.6649974458363188,2.282560598040086e-16,2.9329538257332746,1.05989546840999e-15
2,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516652,2.9183620156549965,2.9329538257332746,0.014591810078274982,2.918362015655116,3.891149354206781,31056.74330866438,62147.904483588834,event: W10_CAPACITY_WINDOW [experiment],62147.904483588834,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.66001823798901,99.97774678989379,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.10777771840828,2797.7853326322165,2988.732116400603,1690.0215745947762,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.23856426982,0.42199999978765845,0.75,0.5470000000204891,0.5779999999795109,0.3910000000614673,0.0,0.0,0.0,0.7970000000204891,142.88999999989755,3.4060320983830548,297.17055956390595,296.1805637755904,329.36594083092206,296.15,33.21594083092208,4.8014434993271635,4.801482238054799,3.873872763549002e-05,0.07212928656394979,0.004831141006224369,0.01558721605079043,0.0204183570570148,0.0204183570570148,0.00036818083187056176,0.0003399173960868275,2.8263435783734236e-05,0.00036818083187056176,0.0003399173960868275,1.037768057582504e-08,9.093618851326275e-09,-0.20292643474832223,0.0005925475477397413,0.0007550553038271346,0.24125183557196078,0.33499999999999996,0.7499955558933921,0.6649949788822297,2.282560598040086e-16,2.9329538257332746,1.05989546840999e-15
3,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516657,2.918362015654996,2.9329538257332746,0.01459181007827498,2.9183620156551147,3.8911493542067803,62147.904483588834,93304.21826796686,event: W10_CAPACITY_WINDOW [experiment],93304.21826796686,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.67220342285648,99.98214256503014,SOC_UPPER_BOUND_NOT_REACHED,3,3,23.484962015751528,2857.050706644331,2977.0958661672644,1709.1664373452459,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.240002896797,0.4220000000204891,0.7809999999590218,0.5310000001918525,0.578999999910593,0.375,0.0,0.0,0.0,0.8900000001303852,136.43699999991804,3.405121167085095,297.1803814494019,296.18050334933525,329.0029926208217,296.15,32.85299262082174,4.80145859259866,4.801485631170483,2.703857182329017e-05,0.09681749621378799,0.006478156499289492,0.0190955297098544,0.025573686209143895,0.025573686209143895,0.0004934358150850475,0.0004659112768710722,2.7524538213975303e-05,0.0004934358150850475,0.0004659112768710722,1.2211046463474077e-08,1.1140237945931019e-08,-0.20384420359164174,0.0008886661513400895,0.001121891615525783,0.2390412288992455,0.33499999999999996,0.749993335003865,0.664992539420757,2.282560598040086e-16,2.9329538257332746,1.2113091067542745e-15
4,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516657,2.918362015654996,2.9329538257332746,0.01459181007827498,2.918362015655114,3.89114935420678,93304.21826796686,124521.62159006082,event: W10_CAPACITY_WINDOW [experiment],124521.62159006082,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.68097173422487,99.98465464841368,SOC_UPPER_BOUND_NOT_REACHED,3,3,22.295593325126017,2914.2244629414145,2968.1108609186044,1723.2550450877889,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.241550512394,0.6559999999590218,0.75,0.5310000001918525,0.5779999999795109,0.39099999982863665,0.0,0.0,0.0,0.7970000000204891,135.85900000017136,3.4043026136234813,297.18906323634286,296.1804832323715,328.7156437735178,296.15,32.56564377351782,4.801471995164442,4.801500871687794,2.8876523352039385e-05,0.1183339615190846,0.007910292193976837,0.022056728042659783,0.02996702023663662,0.02996702023663662,0.0006029130190573834,0.0005760086396957314,2.690437936165202e-05,0.0006029130190573834,0.0005760086396957314,1.3805234279518658e-08,1.2867652937134356e-08,-0.21932840509063822,0.0011847084623468618,0.001485383121007544,0.2371572065891149,0.33499999999999996,0.7499911146865325,0.6649901222022455,2.282560598040086e-16,2.9329538257332746,1.2113091067542745e-15
5,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516652,2.9183620156549965,2.9329538257332746,0.014591810078274982,2.9183620156551138,3.891149354206779,124521.62159006082,155796.8225172654,event: W10_CAPACITY_WINDOW [experiment],155796.8225172654,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.68805674338287,99.98640031836273,SOC_UPPER_BOUND_NOT_REACHED,3,3,21.33085314882413,2969.331261829982,2960.3957718905563,1734.6244518510057,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.242779175576,0.40600000019185245,0.7659999998286366,0.5470000000204891,0.5620000001508743,0.39000000013038516,0.0,0.0,0.0,1.0939999998081475,145.73499999986961,3.403546815485359,297.197024755261,296.18049404315497,328.4553857347299,296.15,32.305385734729896,4.801465385775637,4.801499810824938,3.44250493009568e-05,0.13768232542800263,0.00919509580424201,0.024668483522905425,0.03386357932714744,0.03386357932714744,0.0007020880872504247,0.0006757300441258042,2.63580431246205e-05,0.0007020880872504247,0.0006757300441258042,1.5235431433786856e-08,1.4391187515422088e-08,-0.20876444920237866,0.001480680902929521,0.0018459522545128948,0.23548609855187363,0.33499999999999996,0.7499888948932282,0.6649877244175076,2.282560598040086e-16,2.9329538257332746,1.05989546840999e-15
6,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516648,2.918362015654997,2.9329538257332772,0.014591810078274986,2.918362015655114,3.891149354206779,155796.8225172654,187127.31589596134,event: W10_CAPACITY_WINDOW [experiment],187127.31589596134,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.69163860038634,99.9852964147229,SOC_UPPER_BOUND_NOT_REACHED,3,3,20.508739239789982,3022.9768648698237,2953.3685325276515,1744.1200440221564,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.24338872789,0.42199999978765845,0.8600000001024455,0.5630000000819564,0.5779999999795109,0.40600000019185245,0.0,0.0,0.0,0.8439999998081475,142.60999999986961,3.4028395028061147,297.20448855246485,296.18053523159097,328.2113645064542,296.15,32.0613645064542,4.801536392648552,4.801484552764195,-5.183988435764064e-05,0.15543551121514554,0.010370775111231608,0.027032171084676773,0.03740294619590838,0.03740294619590838,0.0007944382353868467,0.0007685753209255967,2.5862914461249973e-05,0.0007944382353868467,0.0007685753209255967,1.654416690581743e-08,1.5769985067272832e-08,-0.21074732747652963,0.0017765870619115276,0.002203835951902988,0.2339680468480094,0.33499999999999996,0.7499866755970358,0.6649853444909201,6.847681794120258e-16,2.9329538257332772,1.816963660131411e-15
7,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516652,2.9183620156549965,2.9329538257332746,0.014591810078274982,2.9183620156551138,3.891149354206779,187127.31589596134,218511.12775504572,event: W10_CAPACITY_WINDOW [experiment],218511.12775504572,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.69839530340997,99.98771472645727,SOC_UPPER_BOUND_NOT_REACHED,3,3,19.78732082531483,3074.730918143124,2946.8832530324653,1752.8901352693292,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.244422505522,0.4220000000204891,0.8440000000409782,0.546000000089407,0.5629999998491257,0.375,0.0,0.0,0.0,0.7970000000204891,148.11000000010245,3.4021582591856943,297.2115848259556,296.18057884444875,328.0026195087447,296.15,31.852619508744738,4.801488565261907,4.801489619105562,1.0538436550078245e-06,0.17193612624313914,0.01146148379052821,0.02920809681745017,0.04066958060797838,0.04066958060797838,0.0008807341397557694,0.000855329002044392,2.5405137711377395e-05,0.0008807341397557694,0.000855329002044392,1.7758326008640997e-08,1.7039229164440245e-08,-0.22079463242020791,0.002072428559642958,0.002559228092039234,0.2325669094703699,0.33499999999999996,0.7499844567858028,0.6649829811331881,2.282560598040086e-16,2.9329538257332746,1.05989546840999e-15
8,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516648,2.918362015654997,2.9329538257332772,0.014591810078274986,2.9183620156551138,3.8911493542067785,218511.12775504572,249948.29214226676,event: W10_CAPACITY_WINDOW [experiment],249948.29214226676,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.70403383840679,99.98926873928083,SOC_UPPER_BOUND_NOT_REACHED,3,3,19.14165673816803,3125.8980748023146,2940.5746897973863,1762.028593674243,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.245562900294,0.4220000000204891,0.9220000000204891,0.5620000001508743,0.5779999999795109,0.375,0.0,0.0,0.0,0.9060000001918525,140.8279999999795,3.401501292969889,297.21841213788935,296.1805957801401,327.7851076989771,296.15,31.635107698977095,4.801466552874386,4.8014835416608985,1.6988786512683873e-05,0.18743938929895876,0.012483588084506975,0.03123548440522317,0.04371907248973014,0.04371907248973014,0.0009631780482923579,0.0009382012654494186,2.4976782842939358e-05,0.0009631780482923579,0.0009382012654494186,1.8896125853939035e-08,1.8221803724251534e-08,-0.22107592146963131,0.002368205704968318,0.0029122523585698445,0.23125880013627625,0.33499999999999996,0.7499822384572128,0.6649806335218157,6.847681794120258e-16,2.9329538257332772,1.816963660131411e-15
9,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516652,2.9183620156549965,2.9329538257332746,0.014591810078274982,2.9183620156551138,3.891149354206779,249948.29214226676,281438.9129795743,event: W10_CAPACITY_WINDOW [experiment],281438.9129795743,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.70841913911909,99.98956365676833,SOC_UPPER_BOUND_NOT_REACHED,3,3,18.555463822171397,3175.584999770441,2934.517679654752,1772.4411558691072,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.245728882437,0.4220000000204891,0.8120000001508743,0.5629999998491257,0.5940000000409782,0.3910000000614673,0.0,0.0,0.0,0.8130000000819564,141.88999999989755,3.4008779847425172,297.2250296049248,296.1805570403246,327.59974099459873,296.15,31.449740994598756,4.801491901029294,4.801472837175011,-1.9063854283629666e-05,0.20210602765719443,0.01344887889433442,0.03314172607512632,0.04659060496946074,0.04659060496946074,0.0010416709276242374,0.0010170988266035626,2.457210102067473e-05,0.0010416709276242374,0.0010170988266035626,1.9970690749160793e-08,1.933369005072e-08,-0.22168718374770033,0.0026639181940595336,0.003263008010122803,0.2300269780735053,0.33499999999999996,0.7499800206135446,0.6649783009967328,2.282560598040086e-16,2.9329538257332746,1.05989546840999e-15
10,virtual,4.863936692758327,0,0.9727873385516654,3.8911493542066617,0.9727873385516657,2.918362015654996,2.9329538257332746,0.01459181007827498,2.918362015655114,3.89114935420678,281438.9129795743,312983.9962913786,event: W10_CAPACITY_WINDOW [experiment],312983.9962913786,3.8911493542066617,EXPECTED_PROTOCOL_EVENT,3.0,2.9914040661061176,99.71081282866706,99.98791334846712,SOC_UPPER_BOUND_NOT_REACHED,3,3,18.017330790141063,3224.8839454220656,2928.525158500816,1784.135283584059,1800.0,0.0,0.0,0.0,2888.2758093086304,18901.245784198574,0.40600000019185245,0.875,0.5319999998901039,0.5930000001098961,0.48400000017136335,0.0,0.0,0.0,0.8129999998491257,142.53099999995902,3.4002742171428686,297.2314729889418,296.1804663461481,327.41463724408885,296.15,31.264637244088874,4.801604430214354,4.801479852019635,-0.00012457819471922704,0.21607067178298678,0.01436610373329741,0.034946693238666775,0.04931279697196418,0.04931279697196418,0.00111725951216816,0.0010930729116094648,2.4186600558695264e-05,0.00111725951216816,0.0010930729116094648,2.0991757413983143e-08,2.0386481704352695e-08,-0.22167318268902297,0.002959565434508704,0.003611573129163048,0.22885915113964878,0.33499999999999996,0.7499778032592412,0.6649759830386912,2.282560598040086e-16,2.9329538257332746,1.2113091067542745e-15
