cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.042147048553317745,0.002825575571078383,0.011021190652259757,0.01384676622333814,0.01384676622333814,0.00021639870952787013,0.00018715744051202277,2.924126901584736e-05,0.00021639870952787013,0.00018715744051202277,8.145216772521112e-09,6.429912001447891e-09,-0.1960100983368847,330.246242246217,296.15,34.096242246217,0.0002963386991865491,0.00038408476412143955,0.24406927725870614,0.33499999999999996,0.7499977774597562,0.6649974458363188
2,virtual,0.07212928656394979,0.004831141006224369,0.01558721605079043,0.0204183570570148,0.0204183570570148,0.00036818083187056176,0.0003399173960868275,2.8263435783734236e-05,0.00036818083187056176,0.0003399173960868275,1.037768057582504e-08,9.093618851326275e-09,-0.20292643474832223,329.36594083092206,296.15,33.21594083092208,0.0005925475477397413,0.0007550553038271346,0.24125183557196078,0.33499999999999996,0.7499955558933921,0.6649949788822297
3,virtual,0.09681749621378799,0.006478156499289492,0.0190955297098544,0.025573686209143895,0.025573686209143895,0.0004934358150850475,0.0004659112768710722,2.7524538213975303e-05,0.0004934358150850475,0.0004659112768710722,1.2211046463474077e-08,1.1140237945931019e-08,-0.20384420359164174,329.0029926208217,296.15,32.85299262082174,0.0008886661513400895,0.001121891615525783,0.2390412288992455,0.33499999999999996,0.749993335003865,0.664992539420757
4,virtual,0.1183339615190846,0.007910292193976837,0.022056728042659783,0.02996702023663662,0.02996702023663662,0.0006029130190573834,0.0005760086396957314,2.690437936165202e-05,0.0006029130190573834,0.0005760086396957314,1.3805234279518658e-08,1.2867652937134356e-08,-0.21932840509063822,328.7156437735178,296.15,32.56564377351782,0.0011847084623468618,0.001485383121007544,0.2371572065891149,0.33499999999999996,0.7499911146865325,0.6649901222022455
5,virtual,0.13768232542800263,0.00919509580424201,0.024668483522905425,0.03386357932714744,0.03386357932714744,0.0007020880872504247,0.0006757300441258042,2.63580431246205e-05,0.0007020880872504247,0.0006757300441258042,1.5235431433786856e-08,1.4391187515422088e-08,-0.20876444920237866,328.4553857347299,296.15,32.305385734729896,0.001480680902929521,0.0018459522545128948,0.23548609855187363,0.33499999999999996,0.7499888948932282,0.6649877244175076
6,virtual,0.15543551121514554,0.010370775111231608,0.027032171084676773,0.03740294619590838,0.03740294619590838,0.0007944382353868467,0.0007685753209255967,2.5862914461249973e-05,0.0007944382353868467,0.0007685753209255967,1.654416690581743e-08,1.5769985067272832e-08,-0.21074732747652963,328.2113645064542,296.15,32.0613645064542,0.0017765870619115276,0.002203835951902988,0.2339680468480094,0.33499999999999996,0.7499866755970358,0.6649853444909201
7,virtual,0.17193612624313914,0.01146148379052821,0.02920809681745017,0.04066958060797838,0.04066958060797838,0.0008807341397557694,0.000855329002044392,2.5405137711377395e-05,0.0008807341397557694,0.000855329002044392,1.7758326008640997e-08,1.7039229164440245e-08,-0.22079463242020791,328.0026195087447,296.15,31.852619508744738,0.002072428559642958,0.002559228092039234,0.2325669094703699,0.33499999999999996,0.7499844567858028,0.6649829811331881
8,virtual,0.18743938929895876,0.012483588084506975,0.03123548440522317,0.04371907248973014,0.04371907248973014,0.0009631780482923579,0.0009382012654494186,2.4976782842939358e-05,0.0009631780482923579,0.0009382012654494186,1.8896125853939035e-08,1.8221803724251534e-08,-0.22107592146963131,327.7851076989771,296.15,31.635107698977095,0.002368205704968318,0.0029122523585698445,0.23125880013627625,0.33499999999999996,0.7499822384572128,0.6649806335218157
9,virtual,0.20210602765719443,0.01344887889433442,0.03314172607512632,0.04659060496946074,0.04659060496946074,0.0010416709276242374,0.0010170988266035626,2.457210102067473e-05,0.0010416709276242374,0.0010170988266035626,1.9970690749160793e-08,1.933369005072e-08,-0.22168718374770033,327.59974099459873,296.15,31.449740994598756,0.0026639181940595336,0.003263008010122803,0.2300269780735053,0.33499999999999996,0.7499800206135446,0.6649783009967328
10,virtual,0.21607067178298678,0.01436610373329741,0.034946693238666775,0.04931279697196418,0.04931279697196418,0.00111725951216816,0.0010930729116094648,2.4186600558695264e-05,0.00111725951216816,0.0010930729116094648,2.0991757413983143e-08,2.0386481704352695e-08,-0.22167318268902297,327.41463724408885,296.15,31.264637244088874,0.002959565434508704,0.003611573129163048,0.22885915113964878,0.33499999999999996,0.7499778032592412,0.6649759830386912
