W10 PyBaMM run started
cycle=1 UDDS window error=4.850e-14
cycle=2 UDDS window error=3.070e-14
cycle=3 UDDS window error=3.047e-14
cycle=4 UDDS window error=3.036e-14
cycle=5 UDDS window error=3.013e-14
cycle=6 UDDS window error=3.013e-14
cycle=7 UDDS window error=3.013e-14
cycle=8 UDDS window error=3.002e-14
cycle=9 UDDS window error=3.013e-14
cycle=10 UDDS window error=3.036e-14
cycle=11 UDDS window error=3.002e-14
cycle=12 UDDS window error=3.036e-14
cycle=13 UDDS window error=3.059e-14
cycle=14 UDDS window error=3.047e-14
cycle=15 UDDS window error=3.024e-14
cycle=16 UDDS window error=3.047e-14
cycle=17 UDDS window error=3.036e-14
cycle=18 UDDS window error=3.047e-14
cycle=19 UDDS window error=3.070e-14
cycle=20 UDDS window error=3.047e-14
cycle=21 UDDS window error=3.047e-14
cycle=22 UDDS window error=3.047e-14
cycle=23 UDDS window error=3.104e-14
cycle=24 UDDS window error=3.059e-14
cycle=25 UDDS window error=3.104e-14
resume checkpoint=cycle-025.pkl transaction=27 phase=CYCLE_COMPLETED
cycle=26 UDDS window error=4.839e-14
cycle=27 UDDS window error=4.655e-14
cycle=28 UDDS window error=4.782e-14
cycle=29 UDDS window error=4.621e-14
cycle=30 UDDS window error=3.406e-14
cycle=31 UDDS window error=3.428e-14
cycle=32 UDDS window error=3.520e-14
resume checkpoint=cycle-032.pkl transaction=34 phase=CYCLE_COMPLETED
cycle=33 UDDS window error=3.474e-14
cycle=34 UDDS window error=3.474e-14
cycle=35 UDDS window error=3.474e-14
cycle=36 UDDS window error=3.474e-14
cycle=37 UDDS window error=3.463e-14
cycle=38 UDDS window error=3.509e-14
cycle=39 UDDS window error=0.000e+00
cycle=40 UDDS window error=3.704e-14
resume checkpoint=cycle-040.pkl transaction=42 phase=CYCLE_COMPLETED
cycle=41 UDDS window error=3.176e-14
cycle=42 UDDS window error=2.924e-14
cycle=43 UDDS window error=2.672e-14
cycle=44 UDDS window error=2.454e-14
cycle=45 UDDS window error=2.259e-14
cycle=46 UDDS window error=2.500e-14
cycle=47 UDDS window error=2.213e-14
cycle=48 UDDS window error=2.167e-14
cycle=49 UDDS window error=2.110e-14
cycle=50 UDDS window error=2.179e-14
cycle=51 UDDS window error=2.213e-14
cycle=52 UDDS window error=2.156e-14
cycle=53 UDDS window error=2.179e-14
cycle=54 UDDS window error=2.167e-14
cycle=55 UDDS window error=2.270e-14
cycle=56 UDDS window error=2.305e-14
cycle=57 UDDS window error=2.454e-14
cycle=58 UDDS window error=2.568e-14
