cycle,mode,soc_bin_id,soc_start_pct,soc_end_pct,actual_soc_start_pct,actual_soc_end_pct,soc_coverage_pct,soc_definition,soc_reference_capacity_ah,capacity_reference_node,soc_anchor_pct,soc_anchor_source,configured_charge_current_a,configured_nominal_charge_rate_c,effective_charge_rate_c,nominal_capacity_ah,soh_pct,q_ref_ah,q_ref_node,lli_pct,negative_lam_pct,positive_lam_pct,external_charge_ah,negative_particle_lithium_mol_start,negative_particle_lithium_mol_end,intercalated_charge_increment_ah,total_plating_inventory_start_ah,total_plating_inventory_end_ah,reversible_plating_inventory_start_ah,reversible_plating_inventory_end_ah,reversible_plating_increment_ah,reversible_plating_depletion_ah,dead_lithium_inventory_start_ah,dead_lithium_inventory_end_ah,dead_lithium_increment_ah,sei_inventory_start_ah,sei_inventory_end_ah,sei_increment_ah,useful_charge_efficiency_pct,reversible_retention_pct,charge_balance_error_ah,charge_balance_error_pct,charge_balance_abs_error_pct,charge_balance_status,time_start_s,time_end_s,duration_s,cc_charge_ah,cv_charge_ah,cv_charge_fraction_pct,mean_current_a,mean_voltage_v,maximum_voltage_v,temperature_start_k,temperature_end_k,temperature_mean_k,temperature_max_k,temperature_rise_k,negative_surface_stoichiometry,negative_average_stoichiometry,negative_particle_radial_stoichiometry_gradient,minimum_electrolyte_concentration_mol_m3,negative_reaction_overpotential_v,plating_reaction_overpotential_v,negative_intercalation_current_density_mean_a_m2,negative_intercalation_current_density_max_a_m2,negative_plating_current_density_mean_a_m2,negative_plating_current_density_extreme_a_m2,negative_sei_current_density_mean_a_m2,negative_sei_current_density_max_a_m2,electrolyte_ohmic_loss_mean_v,electrolyte_ohmic_loss_max_v,negative_particle_concentration_overpotential_mean_v,negative_particle_concentration_overpotential_max_v,irreversible_heating_energy_wh,ohmic_heating_energy_wh,reversible_heating_energy_wh,total_heating_energy_wh,soc_crossing_count,soc_crossing_selection_rule,charge_trace_path,trace_start_row,trace_end_row,trace_start_time_s,trace_end_time_s,primary_status,status_flags,is_valid_for_efficiency_analysis,is_valid_for_mechanism_analysis,output_schema_version,charge_efficiency_algorithm_version
1,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,0.9955692666879538,0.04274926258206297,0.07906956290436219,0.9734378442486621,,,,,0.022099394269229876,0.0,,,1.0180755759730298e-05,,,0.0008042274448007185,97.77700827257172,99.99678292901022,-0.0007823800304986861,-0.07858619753314576,0.07858619753314576,SOC_UPPER_BOUND_NOT_REACHED,0.0,280.62649422582456,280.62649422582456,0.11031227246408162,0.8852569942238722,88.91967880536662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7505.133721536173,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,0.977724007745758,0.07906956290436219,0.11538986322666141,0.973437844248662,,,,,0.004220279050732578,0.0,,,7.230536515911749e-06,,,0.0006701047938338353,99.56161826209237,99.99326144741856,-0.0006114508839862864,-0.06253818860355578,0.06253818860355578,SOC_UPPER_BOUND_NOT_REACHED,280.62649422582456,565.3236619450964,284.6971677192719,0.0,0.977724007745758,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7505.133721536173,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,0.9602106391511342,0.11538986322666141,0.1517101635489606,0.9734378442486615,,,,,-0.013481279670639524,0.013481279670639524,,,4.290943983545509e-05,,,0.0015498642452422926,101.37753161214926,99.9735397044406,-0.0013386991119654912,-0.1394172338216286,0.1394172338216286,SOC_UPPER_BOUND_NOT_REACHED,565.3236619450964,3480.2445128975996,2914.9208509525033,0.21317405107573018,0.7470365880754041,77.79924087654508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7505.133721536173,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
1,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,INITIAL_SOC_CONFIGURATION,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-001.csv,,,0.0,7505.133721536173,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,1.0237652011623146,0.043004524411041814,0.07932482473334104,0.9734378442486623,,,,,0.05030234871592528,0.0,,,1.1420277291427473e-05,,,6.970976832014041e-05,95.08409185460553,99.99755723307467,-5.6121847884504916e-05,-0.005481906185206131,0.005481906185206131,SOC_UPPER_BOUND_NOT_REACHED,31099.43306914321,31389.247141863932,289.81407272071925,0.11020221187625072,0.9135629892860639,89.23559701471251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31099.43306914321,38585.845500428666,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,0.9642303917700716,0.07932482473334104,0.11564512505564024,0.9734378442486615,,,,,-0.009256953596978118,0.009256953596978118,,,9.74146518755364e-06,,,0.00014815058777042055,100.95490170784676,99.99486625615509,-0.00010839093456971316,-0.011241186286478288,0.011241186286478288,SOC_UPPER_BOUND_NOT_REACHED,31389.247141863932,31677.67594891412,288.4288070501862,0.0,0.9642303917700716,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31099.43306914321,38585.845500428666,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,60-80,60.0,80.0,60.0,80.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,0.9460452342041462,0.11564512505564024,0.15196542537793944,0.9734378442486615,,,,,-0.027599628869485922,0.027599628869485922,,,4.57299090286483e-05,,,0.0005769023559318376,102.8954862890419,99.97811744962229,-0.0004156134399898592,-0.04393166679175664,0.04393166679175664,SOC_UPPER_BOUND_NOT_REACHED,31677.67594891412,34578.85681771835,2901.18086880423,0.22231950134263836,0.7237257328615079,76.50011930669858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31099.43306914321,38585.845500428666,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
2,virtual,80-100,80.0,100.0,80.0,,0.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-002.csv,,,31099.43306914321,38585.845500428666,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,20-40,20.0,40.0,20.0,40.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,1.0297951195667396,0.0429631472520681,0.07928344757436731,0.9734378442486618,,,,,0.056334310026559524,0.0,,,1.0941183724190527e-05,,,5.297945524976311e-05,94.52733128684967,99.99776991645405,-4.0955347455406965e-05,-0.003977038410576067,0.003977038410576067,SOC_UPPER_BOUND_NOT_REACHED,62180.149308581575,62475.53181843022,295.3825098486484,0.10627459058557027,0.9235205289811694,89.68002580646501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62180.149308581575,69730.9589476784,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
3,virtual,40-60,40.0,60.0,40.0,60.0,100.0,NEGATIVE_PARTICLE_LITHIUM_DELTA_OVER_FROZEN_Q_REF_V1,4.86718922124331,0,20.0,W10_80_PERCENT_DISCHARGE_WINDOW,14.55,3.0000000000000004,2.989405042338429,4.85,100.0,4.86718922124331,0,,,,0.9177920198172703,0.07928344757436731,0.11560374789666653,0.973437844248662,,,,,-0.05568452185375227,0.05568452185375227,,,1.6673988114250288e-06,,,0.00010294642242758209,106.06301027137614,99.99578363926412,-6.591639887842948e-05,-0.0071820627609677015,0.0071820627609677015,SOC_UPPER_BOUND_NOT_REACHED,62475.53181843022,62733.14828237838,257.61646394815557,0.0,0.9177920198172703,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FIRST_UPWARD_CROSSING,charge_timeseries/cycle-003.csv,,,62180.149308581575,69730.9589476784,SOC_UPPER_BOUND_NOT_REACHED,SOC_UPPER_BOUND_NOT_REACHED,False,False,3,charge-efficiency-v1
