cycle,mode,q_ref_ah,q_ref_node,step5_target_ah,window_target_ah,delta_q5_actual_ah,actual_udds_remaining_target_ah,udds_profile_available_ah,udds_guard_ah,udds_actual_ah,window_actual_ah,start_time_s,end_time_s,termination_event,termination_time_s,termination_value,termination_classification,configured_nominal_charge_rate_c,effective_charge_rate_c,useful_charge_efficiency_pct,reversible_retention_pct,charge_efficiency_status,complete_soc_bin_count,output_schema_version,duration_3c_cc_s,duration_4v_cv_s,duration_c4_cc_s,duration_4p2v_cv_s,duration_post_charge_rest_s,duration_rpt_recovery_cc_s,duration_rpt_recovery_cv_s,duration_rpt_recovery_rest_s,duration_step5_c4_discharge_s,duration_step6_udds_s,wall_clock_3c_cc_s,wall_clock_4v_cv_s,wall_clock_c4_cc_s,wall_clock_4p2v_cv_s,wall_clock_post_charge_rest_s,wall_clock_rpt_recovery_cc_s,wall_clock_rpt_recovery_cv_s,wall_clock_rpt_recovery_rest_s,wall_clock_step5_c4_discharge_s,wall_clock_step6_udds_s,terminal_voltage_v,temperature_k,temperature_min_k,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,charge_ah,discharge_ah,net_ah,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction,step5_relative_error,udds_profile_net_discharge_ah,udds_profile_target_error
1,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486613,2.9203135327459866,2.9349151004097207,0.014601567663729933,2.920313532746174,3.8937513769948353,0.0,31099.43306914321,event: W10_CAPACITY_WINDOW [experiment],31099.43306914321,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.65319999872567,99.98589169368329,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.293758135442875,2820.0216134239067,3009.5009791188404,1648.3173708579834,1800.0,0.0,0.0,0.0,2890.2072076667228,18904.092139940316,0.4220000000204891,0.75,0.5619999999180436,0.5779999999795109,0.4059999999590218,0.0,0.0,0.0,0.7970000000204891,136.39100000006147,3.391268850699499,297.1571956081773,296.15,330.44864409629395,296.15,34.29864409629397,4.8122379128485235,4.804057478182844,-0.008180434665679748,0.017601621671460066,0.0010521635585997195,0.0061996768735743365,0.007251840432174056,0.007251840432174056,0.00020338429065811566,0.00017427288129683602,2.9111409361279642e-05,0.00020338429065811566,0.00017427288129683602,6.171198110543885e-09,3.617090145751773e-09,-0.19590867672976703,0.00029646196587407303,0.00038333288567571344,0.24688864262434987,0.33499999999999996,0.749997776535256,0.6649974508363105,6.843105789556009e-16,2.9349151004097207,1.361812097424081e-15
2,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486622,2.9203135327459857,2.934915100409719,0.014601567663729928,2.920313532745986,3.8937513769946483,31099.43306914321,62180.149308581575,event: W10_CAPACITY_WINDOW [experiment],62180.149308581575,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.66233514485906,99.98856767860518,SOC_UPPER_BOUND_NOT_REACHED,3,3,27.266526649793988,2792.074578763694,3002.688145028796,1664.383180843175,1800.0,0.0,0.0,0.0,2890.2072076667246,18904.096600486177,0.42199999978765845,0.7660000000614673,0.5470000000204891,0.5779999999795109,0.375,0.0,0.0,0.0,0.7970000000204891,134.56200000015087,3.3905991531907005,297.1635623158956,296.1806139273433,330.6086965822374,296.15,34.45869658223745,4.804039522027059,4.80406095162322,2.142959616069362e-05,0.032276039933123,0.0019352262838141301,0.008770357584129711,0.010705583867943841,0.010705583867943841,0.0003633053323921419,0.00033474314283359584,2.856218955854604e-05,0.0003633053323921419,0.00033474314283359584,7.1541732465102695e-09,5.116762000261123e-09,-0.1970389372022567,0.0005928674478639095,0.0007580414552137427,0.24540326861486117,0.33499999999999996,0.7499955534941412,0.664994959024323,2.2810352631853363e-16,2.934915100409719,1.0591871868853966e-15
3,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486622,2.9203135327459857,2.934915100409719,0.014601567663729928,2.920313532745986,3.8937513769946483,62180.149308581575,93325.26472803348,event: W10_CAPACITY_WINDOW [experiment],93325.26472803348,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.668290056322,99.98870895873809,SOC_UPPER_BOUND_NOT_REACHED,3,3,26.294744062409137,2852.4650849561326,2996.064002960953,1675.985807117334,1800.0,0.0,0.0,0.0,2890.2072076667246,18904.098572688352,0.40699999989010394,0.7809999999590218,0.5470000000204891,0.5619999999180436,0.375,0.0,0.0,0.0,0.921000000089407,136.06199999991804,3.3900457961810853,297.16863299704335,296.1804754753035,331.69687793876454,296.15,35.54687793876457,4.804158739110293,4.804085079828237,-7.365928205604888e-05,0.04477010646475321,0.0027142555624393404,0.010750979802553653,0.013465235364992993,0.013465235364992993,0.00046863967165170536,0.0004404931864663042,2.8146485185401185e-05,0.00046863967165170536,0.0004404931864663042,8.021351910085491e-09,6.27218306708467e-09,-0.19887006894260834,0.0008892327234946151,0.0011313383459423676,0.24421770737550638,0.33499999999999996,0.7499933307545739,0.6649924765999997,2.2810352631853363e-16,2.934915100409719,1.0591871868853966e-15
4,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486613,2.9203135327459866,2.9349151004097207,0.014601567663729933,2.9203135327461394,3.8937513769948007,93325.26472803348,124407.86094179965,event: W10_CAPACITY_WINDOW [experiment],124407.86094179965,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.66941759358116,99.98941309544966,SOC_UPPER_BOUND_NOT_REACHED,3,3,25.561164760777014,2787.8846085497394,2991.849965169434,1682.9935223435687,1800.0,0.0,0.0,0.0,2890.2072076667246,18904.09974527592,0.6720000000204891,0.75,0.5309999999590218,0.5780000002123415,0.375,0.0,0.0,0.0,0.7970000000204891,136.61000000010245,3.3895610909998437,297.1729701636765,296.1806454270874,329.452263593525,296.15,33.302263593525026,4.804121513096606,4.804087411838724,-3.410125788239071e-05,0.056916423997961374,0.0034121245093402513,0.012408588873928879,0.015820713383269132,0.015820713383269132,0.000629962868448078,0.0006021603717760891,2.7802496671988858e-05,0.000629962868448078,0.0006021603717760891,8.79819379745698e-09,7.2391489576437575e-09,-0.20030483391825885,0.0011855670955895903,0.0015026210989930178,0.24320164078648096,0.33499999999999996,0.7499911082467832,0.6649900075696918,6.843105789556009e-16,2.9349151004097207,1.361812097424081e-15
5,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486618,2.920313532745986,2.9349151004097207,0.014601567663729931,2.9203135327459875,3.8937513769946492,124407.86094179965,155511.80144821608,event: W10_CAPACITY_WINDOW [experiment],155511.80144821608,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.6742519918984,99.99129934909328,SOC_UPPER_BOUND_NOT_REACHED,3,3,24.958291788289095,2807.359117081958,2987.2604176925956,1690.054844221093,1800.0,0.0,0.0,0.0,2890.20720766671,18904.10062796579,0.43700000015087426,0.7970000000204891,0.5469999997876585,0.5940000000409782,0.6409999998286366,0.0,0.0,0.0,0.8279999999795109,137.39099999982864,3.389118020654754,297.1768788842517,296.18063609362054,329.3256175817305,296.15,33.175617581730535,4.804075016894027,4.804087037585929,1.2020691902314695e-05,0.06811305598668582,0.004053488774957476,0.013870193385165343,0.01792368216012282,0.01792368216012282,0.0007787540496102454,0.0007512523140837595,2.7501735526485834e-05,0.0007787540496102454,0.0007512523140837595,9.512143104589703e-09,8.091757127361364e-09,-0.20154383212155474,0.0014818766163955388,0.0018724251285817672,0.2422942208191559,0.33499999999999996,0.7499888859253772,0.6649875483728951,2.2810352631853363e-16,2.9349151004097207,1.5131245526934236e-15
6,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486622,2.9203135327459857,2.934915100409719,0.014601567663729928,2.920313532745986,3.8937513769946483,155511.80144821608,186696.00388783318,event: W10_CAPACITY_WINDOW [experiment],186696.00388783318,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.67990618004588,99.99190336452972,SOC_UPPER_BOUND_NOT_REACHED,3,3,24.43589835248403,2883.5625335042437,2984.255980247482,1697.6394713970994,1800.0,0.0,0.0,0.0,2890.20720766671,18904.101348449098,0.4220000000204891,0.75,0.5309999999590218,0.5940000000409782,0.375,0.0,0.0,0.0,0.7810000001918525,136.5930000001099,3.388704060199414,297.18048910946095,296.1804787025408,330.22953825759873,296.15,34.079538257598756,4.804113224630213,4.8040839174090815,-2.9307221131702477e-05,0.07792164796980217,0.004652783910101602,0.015198022563907445,0.019850806474009046,0.019850806474009046,0.0008687439477960678,0.0008415146941991255,2.7229253596942307e-05,0.0008687439477960678,0.0008415146941991255,1.0179267996581533e-08,8.86631263962248e-09,-0.20282743718109583,0.0017781632364375355,0.002239052951637177,0.24146536365781068,0.33499999999999996,0.7499866637757269,0.6649851102978718,2.2810352631853363e-16,2.934915100409719,1.0591871868853966e-15
7,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486622,2.9203135327459857,2.934915100409719,0.014601567663729928,2.9203135327459866,3.893751376994649,186696.00388783318,217841.12115677152,event: W10_CAPACITY_WINDOW [experiment],217841.12115677152,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.67885693477352,99.99087805341114,SOC_UPPER_BOUND_NOT_REACHED,3,3,23.969276153619596,2845.6978113918494,2979.5988309661752,1701.5420232656943,1800.0,0.0,0.0,0.0,2890.207207666739,18904.10211949426,0.39099999982863665,0.7660000000614673,0.5619999999180436,0.5779999999795109,0.375,0.0,0.0,0.0,0.7809999999590218,139.34400000004098,3.3883157512078323,297.18386145106007,296.1806293731661,329.10272671038416,296.15,32.952726710384184,4.804132004673188,4.804081328796421,-5.0675876766881345e-05,0.08776205650309521,0.0052130175116743525,0.016414252641931384,0.021627270153605736,0.021627270153605736,0.0010001018655103034,0.0009731205347088296,2.698133080147381e-05,0.0010001018655103034,0.0009731205347088296,1.080291592976957e-08,9.575754013166792e-09,-0.20377485623082925,0.002074428025437669,0.0026062880604484917,0.24069849959890685,0.33499999999999996,0.7499844417898093,0.6649826681843982,2.2810352631853363e-16,2.934915100409719,1.0591871868853966e-15
8,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486618,2.920313532745986,2.9349151004097207,0.014601567663729931,2.920313532746139,3.8937513769948007,217841.12115677152,249006.3763023476,event: W10_CAPACITY_WINDOW [experiment],249006.3763023476,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.68247243111732,99.99227632205097,SOC_UPPER_BOUND_NOT_REACHED,3,3,23.548041939383577,2864.9243377770354,2976.3149041238544,1706.1584849814635,1800.0,0.0,0.0,0.0,2890.207207666739,18904.102169087593,0.4059999999590218,0.7809999999590218,0.5630000000819564,0.5619999999180436,0.48499999986961484,0.0,0.0,0.0,0.7970000000204891,136.4210000000894,3.3879443784687906,297.18705194194774,296.18063742768027,329.0066090485083,296.15,32.856609048508346,4.804093555931749,4.804084622521002,-8.933410746259085e-06,0.0970891074881024,0.005742880289960086,0.017546937170949507,0.023289817460909593,0.023289817460909593,0.0011245316038914412,0.0010977801830653435,2.67514208260977e-05,0.0011245316038914412,0.0010977801830653435,1.1392760513349345e-08,1.0236447987034374e-08,-0.20451094024259073,0.0023706736998718725,0.002972385271789335,0.2399807239934153,0.33499999999999996,0.7499822199472511,0.6649802336379428,2.2810352631853363e-16,2.9349151004097207,1.5131245526934236e-15
9,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486622,2.9203135327459857,2.934915100409719,0.014601567663729928,2.9203135327459857,3.893751376994648,249006.3763023476,280191.2255983101,event: W10_CAPACITY_WINDOW [experiment],280191.2255983101,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.68539966049681,99.99314856671423,SOC_UPPER_BOUND_NOT_REACHED,3,3,23.161226006262325,2883.8434323924353,2973.25890940595,1710.2757751126874,1800.0,0.0,0.0,0.0,2890.20720766671,18904.102745378477,0.4220000000204891,0.796000000089407,0.5629999998491257,0.5779999999795109,0.375,0.0,0.0,0.0,0.7970000000204891,138.0470000000205,3.387589388402851,297.1901013052096,296.1806510444836,328.9146860805158,296.15,32.764686080515844,4.804076330544313,4.804088341647878,1.2011103565079395e-05,0.1059823516986853,0.006246864446981535,0.01861132668438004,0.024858191131361576,0.024858191131361576,0.001243327762249978,0.001216791992237473,2.6535770012504987e-05,0.001243327762249978,0.001216791992237473,1.1953801920783127e-08,1.0857292109288659e-08,-0.20607840603439637,0.0026669011558340117,0.0033373988772922303,0.23930352393188792,0.33499999999999996,0.7499799982413313,0.6649778062974662,2.2810352631853363e-16,2.934915100409719,1.0591871868853966e-15
10,virtual,4.86718922124331,0,0.973437844248662,3.893751376994648,0.9734378442486622,2.9203135327459857,2.934915100409719,0.014601567663729928,2.920313532745986,3.8937513769946483,280191.2255983101,311395.2363809553,event: W10_CAPACITY_WINDOW [experiment],311395.2363809553,3.893751376994648,EXPECTED_PROTOCOL_EVENT,3.0,2.989405042338429,99.6872515453405,99.99309629267789,SOC_UPPER_BOUND_NOT_REACHED,3,3,22.80274630048835,2902.5720487609956,2970.3574259508123,1713.9683954971351,1800.0,0.0,0.0,0.0,2890.20720766671,18904.10295846907,0.40600000019185245,0.7819999998901039,0.5619999999180436,0.5779999999795109,0.375,0.0,0.0,0.0,0.7969999997876585,138.31299999984913,3.3872465977544772,297.193027717879,296.1806706320057,328.81829447888845,296.15,32.66829447888847,4.8040929754350685,4.804092037399649,-9.380354191179663e-07,0.11450707967911455,0.006728444585240341,0.019618512691360175,0.026346957276600518,0.026346957276600518,0.001357764371268907,0.0013314323963893365,2.6331974879570397e-05,0.001357764371268907,0.0013314323963893365,1.248990764520234e-08,1.1444757496352542e-08,-0.20863043478868923,0.0029631110603247635,0.003701392318617991,0.2386606001396966,0.33499999999999996,0.7499777766670477,0.6649753857410814,2.2810352631853363e-16,2.934915100409719,1.0591871868853966e-15
