cycle,mode,lli_pct,normal_sei_loss_ah,sei_on_cracks_loss_ah,total_sei_loss_ah,sei_loss_ah,total_plated_lithium_ah,dead_lithium_ah,reversible_plated_lithium_ah,plating_loss_ah,dead_lithium_loss_ah,negative_sei_thickness_m,negative_sei_on_cracks_thickness_m,negative_electrode_min_potential_v,temperature_max_k,ambient_temperature_k,temperature_rise_max_k,negative_lam_pct,positive_lam_pct,negative_porosity,positive_porosity,negative_active_material_fraction,positive_active_material_fraction
1,virtual,0.017601621671460066,0.0010521635585997195,0.0061996768735743365,0.007251840432174056,0.007251840432174056,0.00020338429065811566,0.00017427288129683602,2.9111409361279642e-05,0.00020338429065811566,0.00017427288129683602,6.171198110543885e-09,3.617090145751773e-09,-0.19590867672976703,330.44864409629395,296.15,34.29864409629397,0.00029646196587407303,0.00038333288567571344,0.24688864262434987,0.33499999999999996,0.749997776535256,0.6649974508363105
2,virtual,0.032276039933123,0.0019352262838141301,0.008770357584129711,0.010705583867943841,0.010705583867943841,0.0003633053323921419,0.00033474314283359584,2.856218955854604e-05,0.0003633053323921419,0.00033474314283359584,7.1541732465102695e-09,5.116762000261123e-09,-0.1970389372022567,330.6086965822374,296.15,34.45869658223745,0.0005928674478639095,0.0007580414552137427,0.24540326861486117,0.33499999999999996,0.7499955534941412,0.664994959024323
3,virtual,0.04477010646475321,0.0027142555624393404,0.010750979802553653,0.013465235364992993,0.013465235364992993,0.00046863967165170536,0.0004404931864663042,2.8146485185401185e-05,0.00046863967165170536,0.0004404931864663042,8.021351910085491e-09,6.27218306708467e-09,-0.19887006894260834,331.69687793876454,296.15,35.54687793876457,0.0008892327234946151,0.0011313383459423676,0.24421770737550638,0.33499999999999996,0.7499933307545739,0.6649924765999997
4,virtual,0.056916423997961374,0.0034121245093402513,0.012408588873928879,0.015820713383269132,0.015820713383269132,0.000629962868448078,0.0006021603717760891,2.7802496671988858e-05,0.000629962868448078,0.0006021603717760891,8.79819379745698e-09,7.2391489576437575e-09,-0.20030483391825885,329.452263593525,296.15,33.302263593525026,0.0011855670955895903,0.0015026210989930178,0.24320164078648096,0.33499999999999996,0.7499911082467832,0.6649900075696918
5,virtual,0.06811305598668582,0.004053488774957476,0.013870193385165343,0.01792368216012282,0.01792368216012282,0.0007787540496102454,0.0007512523140837595,2.7501735526485834e-05,0.0007787540496102454,0.0007512523140837595,9.512143104589703e-09,8.091757127361364e-09,-0.20154383212155474,329.3256175817305,296.15,33.175617581730535,0.0014818766163955388,0.0018724251285817672,0.2422942208191559,0.33499999999999996,0.7499888859253772,0.6649875483728951
6,virtual,0.07792164796980217,0.004652783910101602,0.015198022563907445,0.019850806474009046,0.019850806474009046,0.0008687439477960678,0.0008415146941991255,2.7229253596942307e-05,0.0008687439477960678,0.0008415146941991255,1.0179267996581533e-08,8.86631263962248e-09,-0.20282743718109583,330.22953825759873,296.15,34.079538257598756,0.0017781632364375355,0.002239052951637177,0.24146536365781068,0.33499999999999996,0.7499866637757269,0.6649851102978718
7,virtual,0.08776205650309521,0.0052130175116743525,0.016414252641931384,0.021627270153605736,0.021627270153605736,0.0010001018655103034,0.0009731205347088296,2.698133080147381e-05,0.0010001018655103034,0.0009731205347088296,1.080291592976957e-08,9.575754013166792e-09,-0.20377485623082925,329.10272671038416,296.15,32.952726710384184,0.002074428025437669,0.0026062880604484917,0.24069849959890685,0.33499999999999996,0.7499844417898093,0.6649826681843982
8,virtual,0.0970891074881024,0.005742880289960086,0.017546937170949507,0.023289817460909593,0.023289817460909593,0.0011245316038914412,0.0010977801830653435,2.67514208260977e-05,0.0011245316038914412,0.0010977801830653435,1.1392760513349345e-08,1.0236447987034374e-08,-0.20451094024259073,329.0066090485083,296.15,32.856609048508346,0.0023706736998718725,0.002972385271789335,0.2399807239934153,0.33499999999999996,0.7499822199472511,0.6649802336379428
9,virtual,0.1059823516986853,0.006246864446981535,0.01861132668438004,0.024858191131361576,0.024858191131361576,0.001243327762249978,0.001216791992237473,2.6535770012504987e-05,0.001243327762249978,0.001216791992237473,1.1953801920783127e-08,1.0857292109288659e-08,-0.20607840603439637,328.9146860805158,296.15,32.764686080515844,0.0026669011558340117,0.0033373988772922303,0.23930352393188792,0.33499999999999996,0.7499799982413313,0.6649778062974662
10,virtual,0.11450707967911455,0.006728444585240341,0.019618512691360175,0.026346957276600518,0.026346957276600518,0.001357764371268907,0.0013314323963893365,2.6331974879570397e-05,0.001357764371268907,0.0013314323963893365,1.248990764520234e-08,1.1444757496352542e-08,-0.20863043478868923,328.81829447888845,296.15,32.66829447888847,0.0029631110603247635,0.003701392318617991,0.2386606001396966,0.33499999999999996,0.7499777766670477,0.6649753857410814
